acertos,acc,f1_macro,recall_macro,specificity_macro,seed,cenario
41/43,0.9534883720930233,0.9534632034632035,0.9545454545454546,0.9545454545454546,87,EffNet_Original + EffNet_RecPlot
40/43,0.9302325581395349,0.9300813008130082,0.9318181818181819,0.9318181818181819,7,EffNet_Original + EffNet_RecPlot
38/43,0.8837209302325582,0.8827059465357338,0.8863636363636364,0.8863636363636364,7,EffNet_Original + EffNet_Original
38/43,0.8837209302325582,0.8827059465357338,0.8863636363636364,0.8863636363636364,42,EffNet_Original + EffNet_Original
38/43,0.8837209302325582,0.8827059465357338,0.8863636363636364,0.8863636363636364,87,EffNet_Original + EffNet_Original
38/43,0.8837209302325582,0.8827059465357338,0.8863636363636364,0.8863636363636364,93,EffNet_Original + EffNet_Original
37/43,0.8604651162790697,0.8585526315789473,0.8636363636363636,0.8636363636363636,107,EffNet_Original + EffNet_Original
36/43,0.8372093023255814,0.833976833976834,0.8409090909090908,0.8409090909090908,7,MobileNet_RecPlot + EffNet_Original
36/43,0.8372093023255814,0.833976833976834,0.8409090909090908,0.8409090909090908,12,EffNet_Original + EffNet_Original
36/43,0.8372093023255814,0.833976833976834,0.8409090909090908,0.8409090909090908,42,MobileNet_Original + EffNet_Original
36/43,0.8372093023255814,0.833976833976834,0.8409090909090908,0.8409090909090908,65,MobileNet_Original + EffNet_Original
36/43,0.8372093023255814,0.833976833976834,0.8409090909090908,0.8409090909090908,87,MobileNet_Original + EffNet_Original
36/43,0.8372093023255814,0.8357883251500273,0.8398268398268398,0.8398268398268398,107,EffNet_Original + EffNet_RecPlot
35/43,0.813953488372093,0.8088888888888889,0.8181818181818181,0.8181818181818181,7,MobileNet_Original + EffNet_Original
35/43,0.813953488372093,0.8088888888888889,0.8181818181818181,0.8181818181818181,12,EffNet_Original + EffNet_RecPlot
35/43,0.813953488372093,0.8114035087719298,0.8170995670995671,0.8170995670995671,65,EffNet_Original + EffNet_RecPlot
35/43,0.813953488372093,0.8088888888888889,0.8181818181818181,0.8181818181818181,65,EffNet_Original + EffNet_Original
35/43,0.813953488372093,0.8088888888888889,0.8181818181818181,0.8181818181818181,107,MobileNet_Original + EffNet_Original
34/43,0.7906976744186046,0.7831932773109244,0.7954545454545454,0.7954545454545454,12,MobileNet_Original + EffNet_Original
34/43,0.7906976744186046,0.7831932773109244,0.7954545454545454,0.7954545454545454,121,MobileNet_Original + EffNet_Original
34/43,0.7906976744186046,0.7831932773109244,0.7954545454545454,0.7954545454545454,121,EffNet_Original + EffNet_Original
33/43,0.7674418604651163,0.7567873303167421,0.7727272727272727,0.7727272727272727,42,MobileNet_RecPlot + EffNet_Original
33/43,0.7674418604651163,0.7567873303167421,0.7727272727272727,0.7727272727272727,93,MobileNet_Original + EffNet_Original
33/43,0.7674418604651163,0.7567873303167421,0.7727272727272727,0.7727272727272727,107,MobileNet_RecPlot + EffNet_Original
32/43,0.7441860465116279,0.729559748427673,0.75,0.75,42,EffNet_Original + EffNet_RecPlot
32/43,0.7441860465116279,0.7391064533921676,0.7478354978354979,0.7478354978354979,65,MobileNet_Original + EffNet_RecPlot
32/43,0.7441860465116279,0.7391064533921676,0.7478354978354979,0.7478354978354979,65,MobileNet_RecPlot + EffNet_Original
32/43,0.7441860465116279,0.729559748427673,0.75,0.75,65,MobileNet_Original + MobileNet_Original
32/43,0.7441860465116279,0.7391064533921676,0.7478354978354979,0.7478354978354979,87,MobileNet_Original + EffNet_RecPlot
32/43,0.7441860465116279,0.729559748427673,0.75,0.75,87,MobileNet_RecPlot + EffNet_Original
32/43,0.7441860465116279,0.7419530823786142,0.7467532467532467,0.7467532467532467,107,MobileNet_Original + EffNet_RecPlot
31/43,0.7209302325581395,0.7081447963800905,0.7261904761904762,0.7261904761904762,7,MobileNet_Original + EffNet_RecPlot
31/43,0.7209302325581395,0.7013888888888888,0.7272727272727273,0.7272727272727273,12,MobileNet_Original + MobileNet_Original
31/43,0.7209302325581395,0.7013888888888888,0.7272727272727273,0.7272727272727273,42,MobileNet_Original + MobileNet_Original
31/43,0.7209302325581395,0.7013888888888888,0.7272727272727273,0.7272727272727273,93,MobileNet_RecPlot + EffNet_Original
31/43,0.7209302325581395,0.7013888888888888,0.7272727272727273,0.7272727272727273,93,EffNet_Original + EffNet_RecPlot
31/43,0.7209302325581395,0.7013888888888888,0.7272727272727273,0.7272727272727273,107,MobileNet_Original + MobileNet_RecPlot
31/43,0.7209302325581395,0.7013888888888888,0.7272727272727273,0.7272727272727273,107,MobileNet_Original + MobileNet_Original
30/43,0.6976744186046512,0.6950354609929078,0.7002164502164503,0.7002164502164503,7,MobileNet_RecPlot + EffNet_RecPlot
30/43,0.6976744186046512,0.6721407624633431,0.7045454545454546,0.7045454545454546,12,MobileNet_Original + MobileNet_RecPlot
30/43,0.6976744186046512,0.6721407624633431,0.7045454545454546,0.7045454545454546,12,MobileNet_RecPlot + EffNet_Original
30/43,0.6976744186046512,0.6721407624633431,0.7045454545454546,0.7045454545454546,42,MobileNet_Original + MobileNet_RecPlot
30/43,0.6976744186046512,0.6721407624633431,0.7045454545454546,0.7045454545454546,121,EffNet_Original + EffNet_RecPlot
29/43,0.6744186046511628,0.6416666666666666,0.6818181818181819,0.6818181818181819,7,MobileNet_Original + MobileNet_RecPlot
29/43,0.6744186046511628,0.6595022624434389,0.6796536796536796,0.6796536796536796,12,MobileNet_Original + EffNet_RecPlot
29/43,0.6744186046511628,0.6416666666666666,0.6818181818181819,0.6818181818181819,87,MobileNet_Original + MobileNet_Original
29/43,0.6744186046511628,0.6742424242424242,0.6753246753246753,0.6753246753246753,87,EffNet_RecPlot + EffNet_RecPlot
29/43,0.6744186046511628,0.6728260869565217,0.6731601731601732,0.6731601731601732,107,EffNet_RecPlot + EffNet_RecPlot
29/43,0.6744186046511628,0.6416666666666666,0.6818181818181819,0.6818181818181819,121,MobileNet_RecPlot + EffNet_Original
29/43,0.6744186046511628,0.6416666666666666,0.6818181818181819,0.6818181818181819,121,MobileNet_Original + MobileNet_Original
28/43,0.6511627906976745,0.6098003629764065,0.6590909090909091,0.6590909090909091,7,MobileNet_Original + MobileNet_Original
28/43,0.6511627906976745,0.6504065040650406,0.6504329004329004,0.6504329004329004,7,EffNet_RecPlot + EffNet_RecPlot
28/43,0.6511627906976745,0.6312178387650085,0.6569264069264069,0.6569264069264069,42,MobileNet_Original + EffNet_RecPlot
28/43,0.6511627906976745,0.6217008797653959,0.6580086580086579,0.6580086580086579,65,MobileNet_Original + MobileNet_RecPlot
28/43,0.6511627906976745,0.6098003629764065,0.6590909090909091,0.6590909090909091,93,MobileNet_Original + EffNet_RecPlot
28/43,0.6511627906976745,0.6098003629764065,0.6590909090909091,0.6590909090909091,93,MobileNet_Original + MobileNet_Original
28/43,0.6511627906976745,0.6217008797653959,0.6580086580086579,0.6580086580086579,121,MobileNet_Original + EffNet_RecPlot
27/43,0.627906976744186,0.6260869565217391,0.6298701298701299,0.6298701298701299,12,EffNet_RecPlot + EffNet_RecPlot
27/43,0.627906976744186,0.6260869565217391,0.6298701298701299,0.6298701298701299,65,MobileNet_RecPlot + EffNet_RecPlot
27/43,0.627906976744186,0.5763546798029556,0.6363636363636364,0.6363636363636364,93,MobileNet_Original + MobileNet_RecPlot
27/43,0.627906976744186,0.6228070175438596,0.6309523809523809,0.6309523809523809,93,EffNet_RecPlot + EffNet_RecPlot
27/43,0.627906976744186,0.5763546798029556,0.6363636363636364,0.6363636363636364,121,MobileNet_Original + MobileNet_RecPlot
26/43,0.6046511627906976,0.5904761904761904,0.6093073593073594,0.6093073593073594,7,MobileNet_RecPlot + MobileNet_RecPlot
26/43,0.6046511627906976,0.5904761904761904,0.6093073593073594,0.6093073593073594,42,MobileNet_RecPlot + MobileNet_RecPlot
26/43,0.6046511627906976,0.6046511627906976,0.604978354978355,0.604978354978355,65,EffNet_RecPlot + EffNet_RecPlot
26/43,0.6046511627906976,0.5904761904761904,0.6093073593073594,0.6093073593073594,87,MobileNet_RecPlot + EffNet_RecPlot
26/43,0.6046511627906976,0.6012002182214948,0.6071428571428572,0.6071428571428572,107,MobileNet_RecPlot + EffNet_RecPlot
25/43,0.5813953488372093,0.575657894736842,0.5844155844155844,0.5844155844155844,12,MobileNet_RecPlot + EffNet_RecPlot
25/43,0.5813953488372093,0.5700000000000001,0.5854978354978355,0.5854978354978355,12,MobileNet_RecPlot + MobileNet_RecPlot
25/43,0.5813953488372093,0.5700000000000001,0.5854978354978355,0.5854978354978355,42,MobileNet_RecPlot + EffNet_RecPlot
25/43,0.5813953488372093,0.5793478260869566,0.5833333333333333,0.5833333333333333,42,EffNet_RecPlot + EffNet_RecPlot
25/43,0.5813953488372093,0.5038461538461538,0.5909090909090909,0.5909090909090909,87,MobileNet_Original + MobileNet_RecPlot
25/43,0.5813953488372093,0.5622171945701357,0.5865800865800865,0.5865800865800865,87,MobileNet_RecPlot + MobileNet_RecPlot
25/43,0.5813953488372093,0.575657894736842,0.5844155844155844,0.5844155844155844,107,MobileNet_RecPlot + MobileNet_RecPlot
25/43,0.5813953488372093,0.5700000000000001,0.5854978354978355,0.5854978354978355,121,EffNet_RecPlot + EffNet_RecPlot
24/43,0.5581395348837209,0.5542825968357883,0.5606060606060606,0.5606060606060606,65,MobileNet_RecPlot + MobileNet_RecPlot
24/43,0.5581395348837209,0.5328759291023442,0.5638528138528138,0.5638528138528138,93,MobileNet_RecPlot + EffNet_RecPlot
24/43,0.5581395348837209,0.542296918767507,0.5627705627705628,0.5627705627705628,121,MobileNet_RecPlot + EffNet_RecPlot
22/43,0.5116279069767442,0.4537205081669691,0.5194805194805194,0.5194805194805194,93,MobileNet_RecPlot + MobileNet_RecPlot
22/43,0.5116279069767442,0.483704974271012,0.5173160173160173,0.5173160173160173,121,MobileNet_RecPlot + MobileNet_RecPlot
