cenario,acc_mean,acc_std,f1_mean,f1_std,recall_mean,recall_std,spec_mean,spec_std
EffNet_Original + EffNet_Original,0.8546511627906976,0.036770670467074176,0.8519294272373162,0.03915552369180522,0.8579545454545454,0.035934973411004344,0.8579545454545454,0.035934973411004344
EffNet_Original + EffNet_RecPlot,0.813953488372093,0.0930232558139535,0.8053393283583703,0.10195787203859905,0.8179112554112554,0.09087181186352379,0.8179112554112554,0.09087181186352379
MobileNet_Original + EffNet_Original,0.811046511627907,0.02618585177813032,0.8053602705808588,0.028843684882669637,0.8153409090909091,0.025590718783172785,0.8153409090909091,0.025590718783172785
MobileNet_RecPlot + EffNet_Original,0.7441860465116279,0.049723021751148753,0.7289267518061322,0.058905827241819454,0.7497294372294372,0.04859897861324175,0.7497294372294372,0.04859897861324175
MobileNet_Original + EffNet_RecPlot,0.6976744186046512,0.044819726123694455,0.6813165161866612,0.056983991340674715,0.7027867965367965,0.04324726357163356,0.7027867965367965,0.04324726357163356
MobileNet_Original + MobileNet_Original,0.6947674418604651,0.036108081593495246,0.6670825592975607,0.04673421374246848,0.7017045454545454,0.0352874433754613,0.7017045454545454,0.0352874433754613
MobileNet_Original + MobileNet_RecPlot,0.6598837209302326,0.04640769117840195,0.6206991842124628,0.06528119391145941,0.667478354978355,0.04538362845511203,0.667478354978355,0.04538362845511203
EffNet_RecPlot + EffNet_RecPlot,0.627906976744186,0.03729226631336152,0.6250459972759049,0.039436769041350954,0.6291937229437229,0.03608453673082173,0.6291937229437229,0.03608453673082173
MobileNet_RecPlot + EffNet_RecPlot,0.6017441860465116,0.04556766353603057,0.5917036961023782,0.051521988256988616,0.6053841991341992,0.044700797280339634,0.6053841991341992,0.044700797280339634
MobileNet_RecPlot + MobileNet_RecPlot,0.5668604651162791,0.0371625536896961,0.547566943691641,0.0508779841695736,0.5715638528138528,0.03627184897676726,0.5715638528138528,0.03627184897676726
