cenario,acc_mean,acc_std,f1_mean,f1_std,recall_mean,recall_std,spec_mean,spec_std
EffNet_Original + EffNet_Original,0.8546511627906976,0.036770670467074176,0.8519294272373162,0.039155523691805215,0.8579545454545454,0.03593497341100437,0.8579545454545454,0.03593497341100437
EffNet_Original + EffNet_RecPlot,0.75,0.03460575856478345,0.736095410589812,0.04145971557332617,0.7555465367965368,0.03374341900457519,0.7555465367965368,0.03374341900457519
EffNet_RecPlot + EffNet_RecPlot,0.6133720930232558,0.03716255368969618,0.604088413459267,0.04026865970896773,0.6171536796536796,0.03679539996061174,0.6171536796536796,0.03679539996061174
MobileNet_Original + EffNet_Original,0.811046511627907,0.026185851778130338,0.8053602705808588,0.02884368488266963,0.8153409090909091,0.025590718783172803,0.8153409090909091,0.025590718783172803
MobileNet_Original + EffNet_RecPlot,0.6686046511627907,0.03677067046707413,0.6465656443902669,0.04748225016557376,0.674512987012987,0.03574823633200947,0.674512987012987,0.03574823633200947
MobileNet_Original + MobileNet_Original,0.6947674418604651,0.036108081593495225,0.6670825592975607,0.046734213742468514,0.7017045454545454,0.03528744337546124,0.7017045454545454,0.03528744337546124
MobileNet_Original + MobileNet_RecPlot,0.7034883720930233,0.0523717035562606,0.6785720247562558,0.06995893541318156,0.7099567099567099,0.051149552637487876,0.7099567099567099,0.051149552637487876
MobileNet_RecPlot + EffNet_Original,0.7848837209302325,0.049333031245573096,0.7751577811559776,0.05634382451525169,0.7897727272727273,0.04821182598999184,0.7897727272727273,0.04821182598999184
MobileNet_RecPlot + EffNet_RecPlot,0.625,0.04016019071008823,0.616237196765111,0.04365262339909228,0.6286525974025974,0.03966095320930651,0.6286525974025974,0.03966095320930651
MobileNet_RecPlot + MobileNet_RecPlot,0.6569767441860466,0.05382674998677619,0.6488969263715791,0.06067450112297534,0.6604437229437229,0.05301531346972508,0.6604437229437229,0.05301531346972508
