seed,banda,queda_prob,sample,target_class
7,Minkowski (P),0.2019416093826294,0,0
7,Minkowski (G),0.04572564363479614,0,0
7,Minkowski (H),-0.05137413740158081,0,0
7,Euclidiana (P),0.07292020320892334,0,0
7,Euclidiana (G),0.19007214903831482,0,0
7,Euclidiana (H),-0.052508533000946045,0,0
7,Manhattan (P),0.2038884162902832,0,0
7,Manhattan (G),-0.057228803634643555,0,0
7,Manhattan (H),-0.05449533462524414,0,0
12,Minkowski (P),0.1461380422115326,0,0
12,Minkowski (G),0.06327325105667114,0,0
12,Minkowski (H),0.02653515338897705,0,0
12,Euclidiana (P),-0.05140203237533569,0,0
12,Euclidiana (G),0.034578800201416016,0,0
12,Euclidiana (H),0.03755161166191101,0,0
12,Manhattan (P),0.1370311677455902,0,0
12,Manhattan (G),-0.035088419914245605,0,0
12,Manhattan (H),0.02669811248779297,0,0
42,Minkowski (P),-0.003959126770496368,0,0
42,Minkowski (G),-0.1000186875462532,0,0
42,Minkowski (H),-0.013429857790470123,0,0
42,Euclidiana (P),-0.0014368854463100433,0,0
42,Euclidiana (G),-0.001962423324584961,0,0
42,Euclidiana (H),-0.00874641165137291,0,0
42,Manhattan (P),-0.003933887928724289,0,0
42,Manhattan (G),-0.01741495355963707,0,0
42,Manhattan (H),-0.05382759869098663,0,0
65,Minkowski (P),-0.015698105096817017,0,0
65,Minkowski (G),-0.03021380305290222,0,0
65,Minkowski (H),-0.044634342193603516,0,0
65,Euclidiana (P),0.064846932888031,0,0
65,Euclidiana (G),-0.03600090742111206,0,0
65,Euclidiana (H),-0.08505505323410034,0,0
65,Manhattan (P),0.0086803138256073,0,0
65,Manhattan (G),-0.03130996227264404,0,0
65,Manhattan (H),-0.07385790348052979,0,0
87,Minkowski (P),0.06363192200660706,0,0
87,Minkowski (G),0.04178008437156677,0,0
87,Minkowski (H),-0.01904928684234619,0,0
87,Euclidiana (P),-0.20780697464942932,0,0
87,Euclidiana (G),-0.07938066124916077,0,0
87,Euclidiana (H),-0.11033090949058533,0,0
87,Manhattan (P),0.11787760257720947,0,0
87,Manhattan (G),-0.19220295548439026,0,0
87,Manhattan (H),-0.06675875186920166,0,0
93,Minkowski (P),-0.10036113858222961,0,0
93,Minkowski (G),0.03220021724700928,0,0
93,Minkowski (H),-0.027376949787139893,0,0
93,Euclidiana (P),-0.09236636757850647,0,0
93,Euclidiana (G),0.03947168588638306,0,0
93,Euclidiana (H),-0.05752366781234741,0,0
93,Manhattan (P),0.0354609489440918,0,0
93,Manhattan (G),0.041293948888778687,0,0
93,Manhattan (H),0.04351615905761719,0,0
107,Minkowski (P),-0.05126678943634033,0,0
107,Minkowski (G),-0.09665954113006592,0,0
107,Minkowski (H),0.02039925754070282,0,0
107,Euclidiana (P),-0.027668356895446777,0,0
107,Euclidiana (G),-0.0476851761341095,0,0
107,Euclidiana (H),0.016510039567947388,0,0
107,Manhattan (P),0.08607952296733856,0,0
107,Manhattan (G),-0.18723279237747192,0,0
107,Manhattan (H),-0.27977168560028076,0,0
121,Minkowski (P),0.11123430728912354,0,0
121,Minkowski (G),0.07168525457382202,0,0
121,Minkowski (H),0.03895771503448486,0,0
121,Euclidiana (P),-0.030500710010528564,0,0
121,Euclidiana (G),0.044237375259399414,0,0
121,Euclidiana (H),-0.012394428253173828,0,0
121,Manhattan (P),0.055099546909332275,0,0
121,Manhattan (G),-0.10146450996398926,0,0
121,Manhattan (H),-0.08236974477767944,0,0
7,Minkowski (P),-0.19419538974761963,1,0
7,Minkowski (G),-0.3131979703903198,1,0
7,Minkowski (H),-0.025531470775604248,1,0
7,Euclidiana (P),-0.24690783023834229,1,0
7,Euclidiana (G),-0.19176048040390015,1,0
7,Euclidiana (H),-0.34205251932144165,1,0
7,Manhattan (P),-0.24988585710525513,1,0
7,Manhattan (G),-0.040663331747055054,1,0
7,Manhattan (H),-0.3402400016784668,1,0
12,Minkowski (P),0.1749204695224762,1,0
12,Minkowski (G),0.2375105321407318,1,0
12,Minkowski (H),0.038852810859680176,1,0
12,Euclidiana (P),0.1603989601135254,1,0
12,Euclidiana (G),0.10280430316925049,1,0
12,Euclidiana (H),0.02543187141418457,1,0
12,Manhattan (P),-0.0003783106803894043,1,0
12,Manhattan (G),-0.014468550682067871,1,0
12,Manhattan (H),0.24472814798355103,1,0
42,Minkowski (P),0.20057278871536255,1,0
42,Minkowski (G),0.17238199710845947,1,0
42,Minkowski (H),0.1353638470172882,1,0
42,Euclidiana (P),0.013561546802520752,1,0
42,Euclidiana (G),0.22612830996513367,1,0
42,Euclidiana (H),0.1676476001739502,1,0
42,Manhattan (P),0.09313085675239563,1,0
42,Manhattan (G),0.08786609768867493,1,0
42,Manhattan (H),0.22300001978874207,1,0
65,Minkowski (P),-0.4470849931240082,1,0
65,Minkowski (G),-0.2048402726650238,1,0
65,Minkowski (H),-0.02595043182373047,1,0
65,Euclidiana (P),-0.38893577456474304,1,0
65,Euclidiana (G),-0.060979247093200684,1,0
65,Euclidiana (H),-0.16547086834907532,1,0
65,Manhattan (P),-0.18880102038383484,1,0
65,Manhattan (G),-0.1355058252811432,1,0
65,Manhattan (H),-0.1926042139530182,1,0
87,Minkowski (P),-0.23059311509132385,1,0
87,Minkowski (G),-0.22757330536842346,1,0
87,Minkowski (H),-0.18637564778327942,1,0
87,Euclidiana (P),-0.3938242495059967,1,0
87,Euclidiana (G),-0.17901048064231873,1,0
87,Euclidiana (H),-0.1496318280696869,1,0
87,Manhattan (P),-0.16953179240226746,1,0
87,Manhattan (G),-0.05640989542007446,1,0
87,Manhattan (H),-0.24589690566062927,1,0
93,Minkowski (P),-0.46936750411987305,1,0
93,Minkowski (G),-0.4559999704360962,1,0
93,Minkowski (H),-0.0682716965675354,1,0
93,Euclidiana (P),-0.4543766379356384,1,0
93,Euclidiana (G),-0.21770882606506348,1,0
93,Euclidiana (H),-0.3574215769767761,1,0
93,Manhattan (P),-0.3868798613548279,1,0
93,Manhattan (G),-0.21046173572540283,1,0
93,Manhattan (H),-0.3943858742713928,1,0
