seed,banda,queda_prob,sample,target_class
7,Minkowski (P),-0.014860391616821289,0,0
7,Minkowski (G),-0.06109127402305603,0,0
7,Minkowski (H),-0.1524660587310791,0,0
7,Euclidiana (P),-0.22130534052848816,0,0
7,Euclidiana (G),0.04632243514060974,0,0
7,Euclidiana (H),-0.09182566404342651,0,0
7,Manhattan (P),0.051213040947914124,0,0
7,Manhattan (G),0.06807361543178558,0,0
7,Manhattan (H),0.004479005932807922,0,0
12,Minkowski (P),0.0022461190819740295,0,0
12,Minkowski (G),-0.02025209739804268,0,0
12,Minkowski (H),-0.13633107766509056,0,0
12,Euclidiana (P),-0.06615940108895302,0,0
12,Euclidiana (G),-0.041792239993810654,0,0
12,Euclidiana (H),-0.024591486901044846,0,0
12,Manhattan (P),-0.0025848709046840668,0,0
12,Manhattan (G),0.01197967678308487,0,0
12,Manhattan (H),0.004269283264875412,0,0
42,Minkowski (P),-0.01477956771850586,0,0
42,Minkowski (G),-0.06050986051559448,0,0
42,Minkowski (H),-0.04246699810028076,0,0
42,Euclidiana (P),0.03417903184890747,0,0
42,Euclidiana (G),0.03680223226547241,0,0
42,Euclidiana (H),-0.04985800385475159,0,0
42,Manhattan (P),0.062436774373054504,0,0
42,Manhattan (G),0.04922787845134735,0,0
42,Manhattan (H),0.0187646746635437,0,0
65,Minkowski (P),0.011109024286270142,0,0
65,Minkowski (G),0.029253453016281128,0,0
65,Minkowski (H),-0.11588504910469055,0,0
65,Euclidiana (P),-0.05682116746902466,0,0
65,Euclidiana (G),-0.036536723375320435,0,0
65,Euclidiana (H),-0.10348716378211975,0,0
65,Manhattan (P),0.03385093808174133,0,0
65,Manhattan (G),0.05809211730957031,0,0
65,Manhattan (H),0.009476631879806519,0,0
87,Minkowski (P),-0.016192078590393066,0,0
87,Minkowski (G),-0.08211402595043182,0,0
87,Minkowski (H),-0.010329663753509521,0,0
87,Euclidiana (P),0.07684750854969025,0,0
87,Euclidiana (G),-0.022943153977394104,0,0
87,Euclidiana (H),-0.1410214751958847,0,0
87,Manhattan (P),-0.08303703367710114,0,0
87,Manhattan (G),-0.023082897067070007,0,0
87,Manhattan (H),0.023421823978424072,0,0
93,Minkowski (P),0.04260358214378357,0,0
93,Minkowski (G),-0.12828388810157776,0,0
93,Minkowski (H),0.03747677803039551,0,0
93,Euclidiana (P),-0.10925823450088501,0,0
93,Euclidiana (G),-0.047470420598983765,0,0
93,Euclidiana (H),-0.09458515048027039,0,0
93,Manhattan (P),-0.04923444986343384,0,0
93,Manhattan (G),0.052065759897232056,0,0
93,Manhattan (H),0.010382801294326782,0,0
107,Minkowski (P),-0.010347880423069,0,0
107,Minkowski (G),-0.02898585796356201,0,0
107,Minkowski (H),-0.11554821580648422,0,0
107,Euclidiana (P),-0.10993828624486923,0,0
107,Euclidiana (G),-0.11271155625581741,0,0
107,Euclidiana (H),-0.17058085650205612,0,0
107,Manhattan (P),-0.027355171740055084,0,0
107,Manhattan (G),0.0023355633020401,0,0
107,Manhattan (H),-7.495284080505371e-06,0,0
121,Minkowski (P),0.0037382841110229492,0,0
121,Minkowski (G),-0.07895123958587646,0,0
121,Minkowski (H),-0.08613468706607819,0,0
121,Euclidiana (P),-0.1127604991197586,0,0
121,Euclidiana (G),0.014831595122814178,0,0
121,Euclidiana (H),-0.055894121527671814,0,0
121,Manhattan (P),-0.09008428454399109,0,0
121,Manhattan (G),0.0033464953303337097,0,0
121,Manhattan (H),0.007073648273944855,0,0
7,Minkowski (P),0.0002313554286956787,1,0
7,Minkowski (G),-0.04086916148662567,1,0
7,Minkowski (H),-0.01810269057750702,1,0
7,Euclidiana (P),-0.08800353109836578,1,0
7,Euclidiana (G),0.13341714441776276,1,0
7,Euclidiana (H),-0.041690632700920105,1,0
7,Manhattan (P),-0.04137025773525238,1,0
7,Manhattan (G),0.005800008773803711,1,0
7,Manhattan (H),-0.0045925527811050415,1,0
12,Minkowski (P),0.004458695650100708,1,0
12,Minkowski (G),0.021368473768234253,1,0
12,Minkowski (H),-0.04888811707496643,1,0
12,Euclidiana (P),0.043712615966796875,1,0
12,Euclidiana (G),0.1424749344587326,1,0
12,Euclidiana (H),-0.04400542378425598,1,0
12,Manhattan (P),-0.00048363208770751953,1,0
12,Manhattan (G),0.05413210391998291,1,0
12,Manhattan (H),-0.0033636093139648438,1,0
42,Minkowski (P),-0.007638026028871536,1,0
42,Minkowski (G),-0.012078020721673965,1,0
42,Minkowski (H),-0.11879700049757957,1,0
42,Euclidiana (P),-0.17867426201701164,1,0
42,Euclidiana (G),0.015496350824832916,1,0
42,Euclidiana (H),-0.13645358011126518,1,0
42,Manhattan (P),-0.022827457636594772,1,0
42,Manhattan (G),-0.0033561140298843384,1,0
42,Manhattan (H),0.0014201216399669647,1,0
65,Minkowski (P),-0.018788427114486694,1,0
65,Minkowski (G),-0.011765331029891968,1,0
65,Minkowski (H),-0.026411771774291992,1,0
65,Euclidiana (P),-0.003588438034057617,1,0
65,Euclidiana (G),0.05115847289562225,1,0
65,Euclidiana (H),-0.0401211678981781,1,0
65,Manhattan (P),0.048009052872657776,1,0
65,Manhattan (G),0.01814669370651245,1,0
65,Manhattan (H),-0.0033080875873565674,1,0
87,Minkowski (P),-0.061856478452682495,1,0
87,Minkowski (G),-0.08814480900764465,1,0
87,Minkowski (H),-0.006826579570770264,1,0
87,Euclidiana (P),0.06812824308872223,1,0
87,Euclidiana (G),0.12281472235918045,1,0
87,Euclidiana (H),-0.06125149130821228,1,0
87,Manhattan (P),0.045707330107688904,1,0
87,Manhattan (G),-0.0001701265573501587,1,0
87,Manhattan (H),-0.008494824171066284,1,0
93,Minkowski (P),-0.03912582993507385,1,0
93,Minkowski (G),-0.03956538438796997,1,0
93,Minkowski (H),-0.13780423998832703,1,0
93,Euclidiana (P),-0.05504204332828522,1,0
93,Euclidiana (G),0.067263662815094,1,0
93,Euclidiana (H),-0.03505754470825195,1,0
93,Manhattan (P),-0.03643374145030975,1,0
93,Manhattan (G),0.01849699765443802,1,0
93,Manhattan (H),0.00164872407913208,1,0
107,Minkowski (P),-0.019084230065345764,1,0
107,Minkowski (G),-0.09932640194892883,1,0
107,Minkowski (H),-0.03254745900630951,1,0
107,Euclidiana (P),-0.0857812911272049,1,0
107,Euclidiana (G),0.006915539503097534,1,0
107,Euclidiana (H),-0.05416485667228699,1,0
107,Manhattan (P),-0.0016757696866989136,1,0
107,Manhattan (G),0.0008410215377807617,1,0
107,Manhattan (H),-0.0033339709043502808,1,0
121,Minkowski (P),0.00719035416841507,1,0
121,Minkowski (G),-0.004436314105987549,1,0
121,Minkowski (H),-0.05298715829849243,1,0
121,Euclidiana (P),-0.056767672300338745,1,0
121,Euclidiana (G),0.02566874772310257,1,0
121,Euclidiana (H),-0.04189165681600571,1,0
121,Manhattan (P),-0.01901751011610031,1,0
121,Manhattan (G),0.007313475012779236,1,0
121,Manhattan (H),-0.003918692469596863,1,0
7,Minkowski (P),0.03121444582939148,2,0
7,Minkowski (G),0.05005411058664322,2,0
7,Minkowski (H),0.012499094009399414,2,0
7,Euclidiana (P),0.0052816420793533325,2,0
7,Euclidiana (G),-0.3881741166114807,2,0
7,Euclidiana (H),0.030991077423095703,2,0
7,Manhattan (P),-0.030245721340179443,2,0
7,Manhattan (G),-0.007935866713523865,2,0
7,Manhattan (H),-0.0035795867443084717,2,0
12,Minkowski (P),0.021188125014305115,2,0
12,Minkowski (G),0.028357744216918945,2,0
12,Minkowski (H),0.009222239255905151,2,0
12,Euclidiana (P),0.005806714296340942,2,0
12,Euclidiana (G),-0.21882960945367813,2,0
12,Euclidiana (H),0.023327957838773727,2,0
12,Manhattan (P),-0.05707230418920517,2,0
12,Manhattan (G),-0.0075006261467933655,2,0
12,Manhattan (H),-0.00781773030757904,2,0
42,Minkowski (P),0.008540458977222443,2,0
