sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,recplot,0,0.00914756735022115,0.32288330918018815,7,0,0,True
1,recplot,0,0.13853304613989342,0.31715263668488425,7,0,1,False
2,recplot,0,0.4435344827586207,0.5980083061542311,7,0,0,True
3,recplot,0,0.5912478198826701,0.5460701459010459,7,0,0,True
4,recplot,0,0.24100408062322246,0.4402984153141023,7,0,0,True
5,recplot,0,0.2927237604636188,0.5602555617615321,7,0,0,True
6,recplot,0,0.25121555915721233,0.5775858189899025,7,0,0,True
7,recplot,0,0.5069069069069069,0.5943703157051221,7,0,0,True
8,recplot,0,0.23080696590630365,0.37821552708854433,7,0,0,True
9,recplot,0,0.13396588726985204,0.20259359831212287,7,0,0,True
10,recplot,0,0.15025787965616047,0.29211169741189236,7,0,0,True
11,recplot,0,0.23871763255240444,0.4130774396037008,7,0,0,True
12,recplot,0,0.14933577645442053,0.2750404125701686,7,0,0,True
13,recplot,0,0.0,0.2743066780419532,7,0,0,True
14,recplot,0,0.6098812961180622,0.4838465874453584,7,0,0,True
15,recplot,0,0.2538730634682659,0.49488609487032215,7,0,0,True
16,recplot,0,0.12493003470278742,0.1019947692433251,7,0,0,True
17,recplot,0,0.0493517356754496,0.33971045201617395,7,0,0,True
18,recplot,0,0.07132196162046908,0.3154290036289072,7,0,0,True
19,recplot,0,0.674341007674341,0.5416627940794808,7,0,0,True
0,recplot,0,0.0,0.31993757130565453,12,0,1,False
1,recplot,0,0.0,0.31914404166387783,12,0,0,True
2,recplot,0,0.2673904809998738,0.42894700564621885,12,0,0,True
3,recplot,0,0.18938136999288932,0.21996995775410047,12,0,0,True
4,recplot,0,0.08228189366979402,0.24200057646044013,12,0,0,True
5,recplot,0,0.2523702594810379,0.33183145396576064,12,0,0,True
6,recplot,0,0.0,0.17010600847653098,12,0,0,True
7,recplot,0,0.4885790566597449,0.5934225360081348,12,0,0,True
8,recplot,0,0.0901701528123984,0.34721618182213004,12,0,0,True
9,recplot,0,0.0,0.22659119028759636,12,0,0,True
10,recplot,0,0.001996805111821086,0.18973248828362657,12,0,0,True
11,recplot,0,0.49650037230081906,0.4370743059333427,12,0,0,True
12,recplot,0,0.0,0.2129848416180001,12,0,0,True
13,recplot,0,0.4113345521023766,0.23058579156187806,12,0,0,True
14,recplot,0,0.0,0.23107218399173235,12,0,0,True
15,recplot,0,0.010155857214680744,0.21890016837243603,12,0,0,True
16,recplot,0,0.0,0.33839061525224506,12,0,0,True
17,recplot,0,0.1347806422433288,0.45701937301713935,12,0,0,True
18,recplot,0,0.0,0.27491760014382816,12,0,0,True
19,recplot,0,0.0854423534501406,0.27246380038136575,12,0,0,True
0,recplot,0,0.0,0.4555878882715671,42,0,1,False
1,recplot,0,0.0,0.4523941809020047,42,0,0,True
2,recplot,0,0.0,0.47666695571855505,42,0,0,True
3,recplot,0,0.0,0.24688781693246473,42,0,0,True
4,recplot,0,0.0,0.2105435250266911,42,0,0,True
5,recplot,0,0.2513388965001868,0.29472745350112983,42,0,0,True
6,recplot,0,0.0,0.27274985343279967,42,0,0,True
7,recplot,0,0.15768256162174615,0.4016902869735259,42,0,0,True
8,recplot,0,0.0,0.31527311368582794,42,0,0,True
9,recplot,0,0.0,0.15951769585526765,42,0,0,True
10,recplot,0,0.00721876879887708,0.2571642996081158,42,0,0,True
11,recplot,0,0.33813333333333334,0.4991849245365851,42,0,0,True
