sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,orig,0,0.11350271829579496,0.37864751970394417,7,0,0,True
1,orig,0,0.11239193083573487,0.3813832594670814,7,0,0,True
2,orig,0,0.08873942286830115,0.35085660054178835,7,0,0,True
3,orig,0,0.08567719601903938,0.3291748152780076,7,0,0,True
4,orig,0,0.09947414548641542,0.17713984908649053,7,0,0,True
5,orig,0,0.08462120393385929,0.2572643196989255,7,0,0,True
6,orig,0,0.08462120393385929,0.40152916223962065,7,0,0,True
7,orig,0,0.09015859222246361,0.28684631439114766,7,0,0,True
8,orig,0,0.07440316882560753,0.3860098733853756,7,0,0,True
9,orig,0,0.08767746829955565,0.3918576998022798,7,0,0,True
10,orig,0,0.08169864194869585,0.44069072287671485,7,0,0,True
11,orig,0,0.09551359021940836,0.13227493633898108,7,0,0,True
12,orig,0,0.08298262652422575,0.4240726026289194,7,0,0,True
13,orig,0,0.07016421411814885,0.36511588102140813,7,0,0,True
14,orig,0,0.08509028003027354,0.4120252040056805,7,0,0,True
15,orig,0,0.0666383250079711,0.3861744554691645,7,0,0,True
16,orig,0,0.10092145677928917,0.18650044548462358,7,0,0,True
17,orig,0,0.08638233383849318,0.14644188748848772,7,0,0,True
18,orig,0,0.08018512539016252,0.38098480127765505,7,0,0,True
19,orig,0,0.11461572634384717,0.4896839285822145,7,0,0,True
0,orig,0,0.09170020667899488,0.4135774058379692,12,0,0,True
1,orig,0,0.09122539958682178,0.24984799786481657,12,0,1,False
2,orig,0,0.07199316385387737,0.3812275248641358,12,0,0,True
3,orig,0,0.09611183923110529,0.3445816679451236,12,0,0,True
4,orig,0,0.0813489925654563,0.3501512121883292,12,0,0,True
5,orig,0,0.0907510053255081,0.3921364880431459,12,0,0,True
6,orig,0,0.07440316882560753,0.4643456144350487,12,0,0,True
7,orig,0,0.09515495416848538,0.1867712916956287,12,0,0,True
8,orig,0,0.0813489925654563,0.46310066343112083,12,0,0,True
9,orig,0,0.08204851752021564,0.31985064102285027,12,0,0,True
10,orig,0,0.076939585792467,0.5500948219162637,12,0,0,True
11,orig,0,0.060663707461424646,0.43780930755340475,12,0,1,False
12,orig,0,0.08111601852849294,0.27895339378476286,12,0,0,True
13,orig,0,0.06527969429996816,0.38598873658033417,12,0,0,True
14,orig,0,0.09467713787085515,0.35810374458733074,12,0,0,True
15,orig,0,0.06302298485329944,0.3286826738673014,12,0,0,True
16,orig,0,0.0680004256677663,0.26516851157875265,12,0,0,True
17,orig,0,0.062122975976293786,0.3430111061364159,12,0,1,False
18,orig,0,0.10116304586350669,0.41389511345645247,12,0,0,True
19,orig,0,0.13606520262621688,0.3198967393733304,12,0,0,True
0,orig,0,0.08555976203353163,0.42753224584836785,42,0,0,True
1,orig,0,0.0937227550130776,0.33980215838977634,42,0,1,False
2,orig,0,0.09336529033663797,0.33191724764947944,42,0,0,True
3,orig,0,0.09791051307296794,0.40682560280358065,42,0,0,True
4,orig,0,0.08649994586987117,0.348416718093745,42,0,0,True
5,orig,0,0.09384196185286103,0.33911874161889893,42,0,0,True
6,orig,0,0.10213046343070503,0.292005823469815,42,0,0,True
7,orig,0,0.11054553502268452,0.3841542515541128,42,0,0,True
8,orig,0,0.08274894810659186,0.3075276673523595,42,0,0,True
9,orig,0,0.08649994586987117,0.4762624433997631,42,0,0,True
10,orig,0,0.10334212840809147,0.4352183295781459,42,0,0,True
11,orig,0,0.06178586542530681,0.3981823996348558,42,0,0,True
12,orig,0,0.08649994586987117,0.48837626871831,42,0,0,True
13,orig,0,0.08193186718413109,0.2966183979663656,42,0,0,True
14,orig,0,0.08885754583921016,0.42264023750938523,42,0,0,True
15,orig,0,0.07417317778015627,0.34009942775818014,42,0,0,True
16,orig,0,0.07256599337394463,0.32685391355816606,42,0,0,True
17,orig,0,0.07728638900815801,0.6134897262022914,42,0,1,False
18,orig,0,0.08485569127661874,0.3468783623807571,42,0,0,True
19,orig,0,0.09731029958451783,0.365260039286959,42,0,0,True
0,orig,0,0.09004018681438036,0.41330363698335315,65,0,0,True
1,orig,0,0.10104223806911684,0.2876537819850721,65,0,0,True
2,orig,0,0.0925321140866536,0.43354180326941677,65,0,0,True
