sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,recplot,0,0.09063247120191263,0.4274279080193933,7,0,0,True
1,recplot,0,0.08111601852849294,0.4612336948222123,7,0,1,False
2,recplot,0,0.09611183923110529,0.44127237955449194,7,0,0,True
3,recplot,0,0.10809318758970962,0.4249521439178202,7,0,0,True
4,recplot,0,0.05954391891891892,0.4234974657728328,7,0,0,True
5,recplot,0,0.10431338028169014,0.4842446419513591,7,0,0,True
6,recplot,0,0.07256599337394463,0.5238537598593612,7,0,0,True
7,recplot,0,0.05898491083676269,0.5210633708473444,7,0,0,True
8,recplot,0,0.10188844971453667,0.6653788357820904,7,0,0,True
9,recplot,0,0.1046780407264722,0.4044609602899613,7,0,0,True
10,recplot,0,0.09791051307296794,0.43315925096099916,7,0,0,True
11,recplot,0,0.08897569444444445,0.4224259882464483,7,0,0,True
12,recplot,0,0.08591214022938758,0.42674194139520977,7,0,0,True
13,recplot,0,0.11747021489811825,0.4299223553644559,7,0,0,True
14,recplot,0,0.07336898395721925,0.5916033401604273,7,0,0,True
15,recplot,0,0.07867583834909717,0.4569815115751419,7,0,0,True
16,recplot,0,0.10200944328538487,0.6384766666708623,7,0,0,True
17,recplot,0,0.11610320284697509,0.4534861744120143,7,0,0,True
18,recplot,0,0.10870525850640743,0.43143203694451726,7,0,0,True
19,recplot,0,0.08169864194869585,0.41503307847264836,7,0,0,True
0,recplot,0,0.11473953126735532,0.41328279830922265,12,0,1,False
1,recplot,0,0.07016421411814885,0.550674389052307,12,0,0,True
2,recplot,0,0.10699316126185748,0.321134956665684,12,0,0,True
3,recplot,0,0.07705516205194247,0.44019755667978516,12,0,0,True
4,recplot,0,0.10492128151491797,0.41550527501115236,12,0,0,True
5,recplot,0,0.09241319255469685,0.48450153496859927,12,0,0,True
6,recplot,0,0.08673524634542501,0.45465409847163896,12,0,0,True
7,recplot,0,0.09683060109289618,0.44805918926751076,12,0,0,True
8,recplot,0,0.09348441926345609,0.32003846069793523,12,0,0,True
9,recplot,0,0.07613124597898349,0.4779974492092363,12,0,0,True
10,recplot,0,0.09995615957913195,0.45402341923032413,12,0,0,True
11,recplot,0,0.08555976203353163,0.3206016732377406,12,0,0,True
12,recplot,0,0.1037061475860552,0.4563040448584308,12,0,0,True
13,recplot,0,0.10516462944609624,0.44144259141408165,12,0,0,True
14,recplot,0,0.11140642303433002,0.48357129546452965,12,0,0,True
15,recplot,0,0.08274894810659186,0.4395299333799645,12,0,0,True
16,recplot,0,0.1035847811744007,0.4103083325572855,12,0,0,True
17,recplot,0,0.08006887645286268,0.4638930419611602,12,0,0,True
18,recplot,0,0.09004018681438036,0.4573843473505617,12,0,0,True
19,recplot,0,0.0640373197625106,0.2515538053648975,12,0,0,True
0,recplot,0,0.08041769835289052,0.3523892440755428,42,0,1,False
1,recplot,0,0.09539401877319363,0.47172928373639283,42,0,0,True
2,recplot,0,0.0782122905027933,0.5678287720034102,42,0,0,True
3,recplot,0,0.07751771526733948,0.4219113751410418,42,0,0,True
4,recplot,0,0.06902428632296549,0.4454167270144327,42,0,0,True
5,recplot,0,0.06993603411513859,0.438492831970471,42,0,0,True
6,recplot,0,0.0840354288183193,0.4463578970686516,42,0,0,True
7,recplot,0,0.07520891364902507,0.295607955071487,42,0,0,True
8,recplot,0,0.08286577470867501,0.4113042298731905,42,0,0,True
9,recplot,0,0.08356726408982941,0.34381598293354176,42,0,0,True
10,recplot,0,0.07382837577573294,0.2812085197841579,42,0,0,True
11,recplot,0,0.08968512486427796,0.40241575184075973,42,0,0,True
12,recplot,0,0.09467713787085515,0.40425773902665124,42,0,0,True
13,recplot,0,0.0950354609929078,0.3499295161016706,42,0,0,True
14,recplot,0,0.08181524199633503,0.5203033121351446,42,0,0,True
15,recplot,0,0.0903954802259887,0.5149335007720311,42,0,0,True
16,recplot,0,0.09122539958682178,0.3375641294209053,42,0,0,True
17,recplot,0,0.10164654226125137,0.3932796482676576,42,0,0,True
18,recplot,0,0.09755030621172353,0.37884294437029103,42,0,0,True
19,recplot,0,0.08956682227771143,0.600552298595464,42,0,0,True
0,recplot,0,0.08204851752021564,0.42327469425704883,65,0,1,False
1,recplot,0,0.12071468453378001,0.4154756685442908,65,0,0,True
2,recplot,0,0.07302469795787447,0.6714041257208787,65,0,0,True
3,recplot,0,0.07728638900815801,0.43657459682469274,65,0,0,True
4,recplot,0,0.09563318777292576,0.3735076334603521,65,0,0,True
5,recplot,0,0.11042265988050454,0.42074189179147653,65,0,0,True
6,recplot,0,0.10043859649122808,0.3683836718587777,65,0,0,True
7,recplot,0,0.07832814010959493,0.4357248256912118,65,0,0,True
8,recplot,0,0.09707039790118059,0.5441313808739219,65,0,0,True
9,recplot,0,0.08123249299719888,0.37347125564491707,65,0,0,True
10,recplot,0,0.078907761771662,0.36856244509529346,65,0,0,True
11,recplot,0,0.08204851752021564,0.5329615436594697,65,0,0,True
12,recplot,0,0.07187867136601517,0.36031247570812863,65,0,1,False
13,recplot,0,0.08158206703308546,0.46320109045231556,65,0,0,True
14,recplot,0,0.10626102292768959,0.508102419025702,65,0,0,True
15,recplot,0,0.07972027972027972,0.6193186841578493,65,0,0,True
16,recplot,0,0.07867583834909717,0.424329796363878,65,0,1,False
17,recplot,0,0.06947996589940324,0.3864094018323087,65,0,0,True
18,recplot,0,0.07913978494623657,0.3982075406416878,65,0,0,True
19,recplot,0,0.10285714285714286,0.3463765177584336,65,0,0,True
0,recplot,0,0.09205658324265506,0.44681009184299664,87,0,1,False
1,recplot,0,0.10019732514799386,0.4371239780127806,87,0,1,False
2,recplot,0,0.10760401721664276,0.4948192659135134,87,0,0,True
3,recplot,0,0.08053402239448751,0.5614700626912418,87,0,0,True
4,recplot,0,0.09324618736383443,0.4409028560274268,87,0,0,True
5,recplot,0,0.12184216409568523,0.5449911538168752,87,0,0,True
6,recplot,0,0.09767034890079843,0.4244259468857979,87,0,0,True
7,recplot,0,0.08532497026062506,0.5768333344063717,87,0,0,True
8,recplot,0,0.08485569127661874,0.3106392737305031,87,0,0,True
9,recplot,0,0.08909386869234943,0.4792041464345051,87,0,0,True
10,recplot,0,0.09923329682365827,0.48833110040306915,87,0,0,True
11,recplot,0,0.06993603411513859,0.5359350361771676,87,0,0,True
12,recplot,0,0.09671074199541034,0.4004561711947495,87,0,0,True
13,recplot,0,0.09455774893663431,0.47093634222576336,87,0,0,True
14,recplot,0,0.1078485484049012,0.4253876628013342,87,0,0,True
15,recplot,0,0.11042265988050454,0.33406806616261225,87,0,0,True
16,recplot,0,0.08485569127661874,0.6935992954871709,87,0,0,True
17,recplot,0,0.05664350389555696,0.36407458838430107,87,0,0,True
18,recplot,0,0.08767746829955565,0.33488858413406125,87,0,0,True
19,recplot,0,0.11128335732477024,0.5304782393876646,87,0,0,True
0,recplot,0,0.10540808459081397,0.30436535927630953,93,0,0,True
1,recplot,0,0.09515495416848538,0.46608500927902485,93,0,0,True
2,recplot,0,0.0666383250079711,0.6233099381807082,93,0,0,True
3,recplot,0,0.09491599389046476,0.5048564736098045,93,0,0,True
4,recplot,0,0.09384196185286103,0.3346467533185067,93,0,0,True
5,recplot,0,0.08791327913279133,0.2702401567404845,93,0,0,True
6,recplot,0,0.09467713787085515,0.31965420315659687,93,0,0,True
7,recplot,0,0.08286577470867501,0.47627578457642156,93,0,0,True
8,recplot,0,0.09707039790118059,0.49309204011848484,93,0,0,True
9,recplot,0,0.08216519301272375,0.5962302872530343,93,0,0,True
10,recplot,0,0.06925207756232687,0.41834110487562226,93,0,0,True
11,recplot,0,0.06947996589940324,0.3060319168349126,93,0,0,True
12,recplot,0,0.09110676233963905,0.2906188586065644,93,0,1,False
13,recplot,0,0.08638233383849318,0.48573154156413323,93,0,0,True
14,recplot,0,0.08532497026062506,0.3838862366124514,93,0,0,True
15,recplot,0,0.07222222222222222,0.39722094612132536,93,0,0,True
16,recplot,0,0.08791327913279133,0.39426932952341576,93,0,0,True
17,recplot,0,0.0925321140866536,0.4106975556414392,93,0,0,True
18,recplot,0,0.11374986128065698,0.49614308026141285,93,0,0,True
19,recplot,0,0.09839115683484732,0.44680233193938246,93,0,0,True
0,recplot,0,0.09551359021940836,0.5053776195732157,107,0,1,False
1,recplot,0,0.08744175967060354,0.45100333616596366,107,0,0,True
2,recplot,0,0.08697064875988303,0.4161571661385622,107,0,0,True
3,recplot,0,0.06879659211927583,0.44702062480776383,107,0,0,True
4,recplot,0,0.08123249299719888,0.4476190599161401,107,0,0,True
5,recplot,0,0.08862132552337564,0.5082825448033181,107,0,0,True
6,recplot,0,0.1035847811744007,0.4641293451645532,107,0,0,True
7,recplot,0,0.07613124597898349,0.41898824402956747,107,0,0,True
8,recplot,0,0.0907510053255081,0.4467454748705606,107,0,0,True
9,recplot,0,0.09134406263592866,0.44773561262899303,107,0,0,True
10,recplot,0,0.07705516205194247,0.42010496886781523,107,0,0,True
11,recplot,0,0.08065037148702488,0.5638095573593376,107,0,0,True
12,recplot,0,0.08181524199633503,0.4336595670999803,107,0,0,True
13,recplot,0,0.11784361773223435,0.38603297123530567,107,0,0,True
14,recplot,0,0.09241319255469685,0.4209953144144624,107,0,0,True
15,recplot,0,0.10019732514799386,0.47875653030213655,107,0,0,True
16,recplot,0,0.0713065755764304,0.4799806087294542,107,0,0,True
17,recplot,0,0.07913978494623657,0.4484179112889046,107,0,0,True
18,recplot,0,0.09623156744948116,0.49414290448959064,107,0,0,True
19,recplot,0,0.0969504863919554,0.3519643997960357,107,0,0,True
0,recplot,0,0.10577346848832085,0.5026645162745497,121,0,1,False
1,recplot,0,0.08380129589632829,0.6195870101391208,121,0,1,False
2,recplot,0,0.0684552326200362,0.48663717801228357,121,0,0,True
3,recplot,0,0.08555976203353163,0.47707654591529475,121,0,0,True
4,recplot,0,0.09527447342573393,0.4655215964403596,121,0,0,True
5,recplot,0,0.07786489098915261,0.37513863068400516,121,0,0,True
6,recplot,0,0.08614718614718615,0.43291447764572893,121,0,0,True
7,recplot,0,0.07925583396064093,0.3484557409168974,121,0,0,True
8,recplot,0,0.09110676233963905,0.5930836980377694,121,0,0,True
9,recplot,0,0.09851138353765324,0.5445184076302215,121,0,0,True
10,recplot,0,0.10895027624309392,0.4036775140183297,121,0,0,True
11,recplot,0,0.07670850767085077,0.46224480825972525,121,0,0,True
12,recplot,0,0.08992180712423979,0.39507211126378194,121,0,1,False
