dataset,seed,branch,sample,categoria,confianca,margem,acertou,complexidade_heatmap,ssim_vs_grupo_confiante,ensemble_salvaria
displasia,7,mobilenet_orig,34,acerto_confiante,0.9998335838317872,0.9996671566914304,True,0.6110841230971362,,False
displasia,7,mobilenet_orig,8,acerto_confiante,0.999730110168457,0.9994601974613033,True,0.5904950243564245,,False
displasia,7,mobilenet_orig,26,acerto_confiante,0.9995479583740234,0.9990959069109523,True,0.6447261001350907,,False
displasia,7,mobilenet_orig,44,acerto_confiante,0.999446451663971,0.9988928641541861,True,0.6179536120841305,,False
displasia,7,mobilenet_orig,25,acerto_confiante,0.998835027217865,0.9976701078703628,True,0.699037051724266,,False
displasia,7,mobilenet_orig,24,acerto_confiante,0.9986982941627502,0.9973966073011981,True,0.6458653026050367,,False
displasia,7,mobilenet_orig,45,acerto_confiante,0.9986751675605774,0.9973503609653563,True,0.6532044392329471,,False
displasia,7,mobilenet_orig,42,acerto_confiante,0.9982293248176576,0.9964586197165773,True,0.6223453256530477,,False
displasia,7,mobilenet_recplot,0,fronteira,0.5387073159217834,0.07741460204124456,False,0.6097875718909449,0.5015617952292434,True
displasia,7,mobilenet_recplot,16,fronteira,0.531333863735199,0.06266772747039795,False,0.6283293192128692,0.5461206612724285,True
displasia,7,mobilenet_recplot,25,fronteira,0.5421270132064819,0.08425399661064154,True,0.5798238234762456,0.468849275047683,False
displasia,7,mobilenet_recplot,35,fronteira,0.52988600730896,0.059771955013275146,True,0.5910262225872125,0.5415845243090004,False
displasia,7,mobilenet_recplot,2,acerto_confiante,0.9948561191558838,0.9897122341208161,True,0.6246775838124252,,False
displasia,7,mobilenet_recplot,20,acerto_confiante,0.9943172335624696,0.988634458743036,True,0.626365833514682,,False
displasia,7,mobilenet_recplot,37,acerto_confiante,0.9923755526542664,0.9847511146217586,True,0.6172644206281946,,False
displasia,7,mobilenet_recplot,8,acerto_confiante,0.9917880296707152,0.9835760332643986,True,0.6352885163713455,,False
displasia,7,mobilenet_recplot,11,acerto_confiante,0.991429328918457,0.982858636416495,True,0.6103045942722656,,False
displasia,7,mobilenet_recplot,7,acerto_confiante,0.9906612038612366,0.9813224328681827,True,0.6074292651966804,,False
displasia,7,mobilenet_recplot,41,acerto_confiante,0.9905349016189576,0.9810698106884959,True,0.6153140084153133,,False
displasia,7,mobilenet_recplot,23,acerto_confiante,0.9890978932380676,0.9781957650557161,True,0.6256452551685983,,False
displasia,7,mobilenet_recplot,43,erro_confiante,0.9113133549690248,0.8226267099380494,False,0.6455185884705119,0.6077718565967024,True
displasia,7,mobilenet_recplot,26,erro_confiante,0.6749541759490967,0.3499083817005158,False,0.6152749836949606,0.5373490951010287,True
displasia,7,mobilenet_recplot,10,erro_confiante,0.6304803490638733,0.2609606981277466,False,0.624473139250752,0.511216590176979,True
