dataset,branch,categoria,n,complexidade_media,complexidade_std,ssim_medio_vs_confiante,ssim_std_vs_confiante,pct_acerto,pct_ensemble_salvaria
displasia,effnet_orig,acerto_confiante,64,0.596099881285958,0.043235155473120006,,,1.0,0.0
displasia,effnet_orig,erro_confiante,40,0.622519247799455,0.04297713174671842,0.3968182578379992,0.08708796088235247,0.0,0.975
displasia,effnet_orig,fronteira,20,0.62110479619617,0.04683072563320843,0.3892791737086302,0.08092427922760459,0.55,0.45
displasia,effnet_recplot,acerto_confiante,64,0.5876201128866874,0.02849522686004537,,,1.0,0.0
displasia,effnet_recplot,erro_confiante,53,0.5910578028083491,0.026146013257453905,0.37602872859485936,0.1404560537643935,0.0,0.9433962264150944
displasia,effnet_recplot,fronteira,12,0.583053848079715,0.02963955495809471,0.3725326557023519,0.16254284687568346,0.5,0.5
displasia,mobilenet_orig,acerto_confiante,64,0.6262309148458787,0.029133874450078867,,,1.0,0.0
displasia,mobilenet_orig,erro_confiante,8,0.6215398362015085,0.016347569472518343,0.3875774020885209,0.08110647464354238,0.0,1.0
displasia,mobilenet_orig,fronteira,12,0.6218730970397456,0.012211565620707238,0.44833557358090953,0.1136486546250256,0.4166666666666667,0.5833333333333334
displasia,mobilenet_recplot,acerto_confiante,64,0.6134277403214012,0.017227849415462525,,,1.0,0.0
displasia,mobilenet_recplot,erro_confiante,36,0.6093052405044266,0.027369045205235323,0.467731020773312,0.09256658638989178,0.0,1.0
displasia,mobilenet_recplot,fronteira,16,0.5950830500454811,0.019135687895344325,0.4627445903223804,0.07225429158665984,0.5625,0.4375
