seed,branch,amostra,metrica,valor
7,mobilenet_orig,0,faithfulness,0.20618945360183716
7,mobilenet_orig,0,robustness,0.7923030257225037
7,mobilenet_orig,0,complexity,0.521364427762718
7,mobilenet_orig,1,faithfulness,0.045215461403131485
7,mobilenet_orig,1,robustness,1.8169749975204468
7,mobilenet_orig,1,complexity,0.7529726866812356
7,mobilenet_orig,2,faithfulness,0.22409974038600922
7,mobilenet_orig,2,robustness,1.8725112676620483
7,mobilenet_orig,2,complexity,0.6332047540216512
7,mobilenet_orig,3,faithfulness,0.4678284525871277
7,mobilenet_orig,3,robustness,0.8650524616241455
7,mobilenet_orig,3,complexity,0.6210692193870576
7,mobilenet_orig,4,faithfulness,-0.0696433037519455
7,mobilenet_orig,4,robustness,1.4691475629806519
7,mobilenet_orig,4,complexity,0.6493392062056988
7,mobilenet_orig,5,faithfulness,0.008739376440644264
7,mobilenet_orig,5,robustness,1.4517902135849
7,mobilenet_orig,5,complexity,0.5583100772076424
7,mobilenet_orig,6,faithfulness,-0.08481068909168243
7,mobilenet_orig,6,robustness,0.8182498216629028
7,mobilenet_orig,6,complexity,0.5858784738180968
7,mobilenet_orig,7,faithfulness,0.325050413608551
7,mobilenet_orig,7,robustness,1.1223533153533936
7,mobilenet_orig,7,complexity,0.6007271859889889
7,mobilenet_orig,8,faithfulness,0.00624045729637146
7,mobilenet_orig,8,robustness,0.8460623025894165
7,mobilenet_orig,8,complexity,0.5062770211654362
7,mobilenet_orig,9,faithfulness,0.1124960258603096
7,mobilenet_orig,9,robustness,1.060721755027771
7,mobilenet_orig,9,complexity,0.5424392213965448
7,mobilenet_orig,10,faithfulness,0.19848443567752838
7,mobilenet_orig,10,robustness,0.8713003993034363
7,mobilenet_orig,10,complexity,0.6959506187483722
7,mobilenet_orig,11,faithfulness,0.029120728373527527
7,mobilenet_orig,11,robustness,1.1517337560653687
7,mobilenet_orig,11,complexity,0.6549949100239897
7,mobilenet_orig,12,faithfulness,0.2862814664840698
7,mobilenet_orig,12,robustness,0.7664288282394409
7,mobilenet_orig,12,complexity,0.5559582903908735
7,mobilenet_orig,13,faithfulness,-0.15699219703674316
7,mobilenet_orig,13,robustness,0.9525822997093201
7,mobilenet_orig,13,complexity,0.5204616866113885
7,mobilenet_orig,14,faithfulness,-0.15048730373382568
7,mobilenet_orig,14,robustness,0.6827821135520935
7,mobilenet_orig,14,complexity,0.518918440802615
7,mobilenet_orig,15,faithfulness,0.057420551776885986
7,mobilenet_orig,15,robustness,1.0120034217834473
7,mobilenet_orig,15,complexity,0.6613521387224124
7,mobilenet_orig,16,faithfulness,0.1436026245355606
7,mobilenet_orig,16,robustness,0.8628725409507751
7,mobilenet_orig,16,complexity,0.5372164114288934
7,mobilenet_orig,17,faithfulness,-0.31299924850463867
7,mobilenet_orig,17,robustness,1.0703811645507812
7,mobilenet_orig,17,complexity,0.6686096819560394
7,mobilenet_orig,18,faithfulness,0.11250768601894379
7,mobilenet_orig,18,robustness,0.8365676999092102
7,mobilenet_orig,18,complexity,0.7639342579243401
7,mobilenet_orig,19,faithfulness,-0.05399726331233978
7,mobilenet_orig,19,robustness,0.6890021562576294
7,mobilenet_orig,19,complexity,0.5935785722892961
7,mobilenet_orig,20,faithfulness,0.3072870969772339
7,mobilenet_orig,20,robustness,1.7362055778503418
7,mobilenet_orig,20,complexity,0.6508067087904104
7,mobilenet_orig,21,faithfulness,0.027364570647478104
7,mobilenet_orig,21,robustness,1.4637024402618408
7,mobilenet_orig,21,complexity,0.6111266533633709
7,mobilenet_orig,22,faithfulness,-0.3429732322692871
7,mobilenet_orig,22,robustness,0.9946097135543823
7,mobilenet_orig,22,complexity,0.5579077408906234
7,mobilenet_orig,23,faithfulness,-0.2153785526752472
7,mobilenet_orig,23,robustness,0.990991473197937
7,mobilenet_orig,23,complexity,0.48981297232865634
7,mobilenet_orig,24,faithfulness,0.2652910053730011
7,mobilenet_orig,24,robustness,0.9677664041519165
7,mobilenet_orig,24,complexity,0.5353453116769793
7,mobilenet_orig,25,faithfulness,0.07790325582027435
7,mobilenet_orig,25,robustness,0.8381162285804749
7,mobilenet_orig,25,complexity,0.6188575832476221
7,mobilenet_orig,26,faithfulness,-0.13857479393482208
7,mobilenet_orig,26,robustness,0.9988894462585449
7,mobilenet_orig,26,complexity,0.6202056212876661
7,mobilenet_orig,27,faithfulness,0.13360744714736938
7,mobilenet_orig,27,robustness,0.7712273597717285
7,mobilenet_orig,27,complexity,0.5802323985040487
7,mobilenet_orig,28,faithfulness,0.03884183615446091
7,mobilenet_orig,28,robustness,2.2276265621185303
7,mobilenet_orig,28,complexity,0.7644025524791639
7,mobilenet_orig,29,faithfulness,0.23414677381515503
7,mobilenet_orig,29,robustness,0.8043872714042664
7,mobilenet_orig,29,complexity,0.7013054268922785
7,mobilenet_orig,30,faithfulness,-0.2355332374572754
7,mobilenet_orig,30,robustness,0.7183884382247925
7,mobilenet_orig,30,complexity,0.7080622457128931
7,mobilenet_orig,31,faithfulness,0.2490178346633911
7,mobilenet_orig,31,robustness,0.959067165851593
7,mobilenet_orig,31,complexity,0.5166596434016104
7,mobilenet_orig,32,faithfulness,0.12245561182498932
7,mobilenet_orig,32,robustness,0.9829840660095215
7,mobilenet_orig,32,complexity,0.6009240289313983
7,mobilenet_orig,33,faithfulness,-0.08544959127902985
7,mobilenet_orig,33,robustness,0.9879169464111328
7,mobilenet_orig,33,complexity,0.5939508759118207
7,mobilenet_orig,34,faithfulness,0.03148979693651199
7,mobilenet_orig,34,robustness,0.9697877168655396
7,mobilenet_orig,34,complexity,0.5020379748349308
7,mobilenet_orig,35,faithfulness,0.45047298073768616
7,mobilenet_orig,35,robustness,0.911670982837677
7,mobilenet_orig,35,complexity,0.652643176957956
7,mobilenet_orig,36,faithfulness,0.2903359830379486
7,mobilenet_orig,36,robustness,0.9327554106712341
7,mobilenet_orig,36,complexity,0.6804577972927135
7,mobilenet_orig,37,faithfulness,-0.29351019859313965
7,mobilenet_orig,37,robustness,0.8896375298500061
7,mobilenet_orig,37,complexity,0.5511849241812454
7,mobilenet_orig,38,faithfulness,0.13477033376693726
7,mobilenet_orig,38,robustness,0.8048732876777649
7,mobilenet_orig,38,complexity,0.6163773664541056
7,mobilenet_orig,39,faithfulness,0.03172488883137703
7,mobilenet_orig,39,robustness,0.9714418053627014
7,mobilenet_orig,39,complexity,0.6472812212603797
7,mobilenet_orig,40,faithfulness,0.10146170109510422
7,mobilenet_orig,40,robustness,0.9932043552398682
7,mobilenet_orig,40,complexity,0.6128063786316094
7,mobilenet_orig,41,faithfulness,-0.11603747308254242
7,mobilenet_orig,41,robustness,0.7143877148628235
7,mobilenet_orig,41,complexity,0.5518310494259054
7,mobilenet_orig,42,faithfulness,-0.1413264274597168
7,mobilenet_orig,42,robustness,0.72024005651474
7,mobilenet_orig,42,complexity,0.5550413231620935
7,mobilenet_orig,43,faithfulness,0.1889399290084839
7,mobilenet_orig,43,robustness,0.9840659499168396
7,mobilenet_orig,43,complexity,0.6836975096584532
7,mobilenet_orig,44,faithfulness,0.07063084095716476
7,mobilenet_orig,44,robustness,0.9794878959655762
7,mobilenet_orig,44,complexity,0.5641414499444865
7,mobilenet_orig,45,faithfulness,-0.045726507902145386
7,mobilenet_orig,45,robustness,0.6465357542037964
7,mobilenet_orig,45,complexity,0.5813889787324601
7,mobilenet_recplot,0,faithfulness,0.01272418349981308
7,mobilenet_recplot,0,robustness,1.0641356706619263
7,mobilenet_recplot,0,complexity,0.8373188893617285
7,mobilenet_recplot,1,faithfulness,-0.32045942544937134
7,mobilenet_recplot,1,robustness,1.0185091495513916
7,mobilenet_recplot,1,complexity,0.69038520816417
7,mobilenet_recplot,2,faithfulness,0.07751341164112091
7,mobilenet_recplot,2,robustness,1.0
7,mobilenet_recplot,2,complexity,0.5605674545103887
7,mobilenet_recplot,3,faithfulness,-0.057316869497299194
7,mobilenet_recplot,3,robustness,1.0135903358459473
7,mobilenet_recplot,3,complexity,0.6250949788098555
7,mobilenet_recplot,4,faithfulness,0.3081808090209961
7,mobilenet_recplot,4,robustness,1.0007518529891968
7,mobilenet_recplot,4,complexity,0.7062395734751372
7,mobilenet_recplot,5,faithfulness,-0.15519189834594727
7,mobilenet_recplot,5,robustness,1.0102039575576782
7,mobilenet_recplot,5,complexity,0.6291567468921216
7,mobilenet_recplot,6,faithfulness,0.29523780941963196
7,mobilenet_recplot,6,robustness,1.004036784172058
7,mobilenet_recplot,6,complexity,0.6730963279820403
7,mobilenet_recplot,7,faithfulness,0.06088884919881821
7,mobilenet_recplot,7,robustness,1.0007424354553223
7,mobilenet_recplot,7,complexity,0.697398034596908
7,mobilenet_recplot,8,faithfulness,-0.09576448798179626
