sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,recplot,0,0.49034749034749037,0.5350973993800018,7,0,2,False
1,recplot,0,0.0054097375275495895,0.42298103928499403,7,0,2,False
2,recplot,0,0.04748982360922659,0.33324352592646894,7,0,2,False
3,recplot,0,0.0,0.28619463281572766,7,0,0,True
4,recplot,0,0.0,0.35043244724450945,7,0,0,True
5,recplot,0,0.01723089397932293,0.48128680577674315,7,0,0,True
6,recplot,0,0.0,0.3951517032447568,7,0,0,True
7,recplot,0,0.10638297872340426,0.5450173352337597,7,0,1,False
8,recplot,0,0.0,0.26397825877558045,7,0,2,False
9,recplot,0,0.0,0.19304873337264944,7,0,2,False
10,recplot,0,0.0,0.2653688360709175,7,0,0,True
11,recplot,0,0.0025974025974025974,0.31461190439179226,7,0,1,False
12,recplot,0,0.0,0.19574660584352885,7,0,2,False
13,recplot,0,0.0,0.26782420140915253,7,0,2,False
14,recplot,0,0.0,0.25529249842821883,7,0,0,True
15,recplot,0,0.0,0.377069308109339,7,0,1,False
16,recplot,0,0.0,0.13754491442557393,7,0,2,False
17,recplot,0,0.0,0.28555183477671475,7,0,0,True
18,recplot,1,0.0,0.1697029830725716,7,1,1,True
19,recplot,1,0.0,0.26042488365306954,7,1,1,True
0,recplot,0,0.0,0.35259546114877116,12,0,2,False
1,recplot,0,0.20886533365454107,0.41208425916651537,12,0,1,False
2,recplot,0,0.2805920632895241,0.2797110195258701,12,0,2,False
3,recplot,0,0.0,0.37658263532947317,12,0,1,False
4,recplot,0,0.06754600574406978,0.31277911032982647,12,0,0,True
5,recplot,0,0.0,0.1949168970546154,12,0,0,True
6,recplot,0,0.0,0.30521479267536633,12,0,0,True
7,recplot,0,0.4644681161535094,0.5532013426103032,12,0,1,False
8,recplot,0,0.010572953378310341,0.32226620419511803,12,0,0,True
9,recplot,0,0.006216162021255264,0.26332720894250017,12,0,0,True
10,recplot,0,0.046725073007926575,0.41955891442964044,12,0,0,True
11,recplot,0,0.0,0.2868387081712886,12,0,1,False
12,recplot,0,0.022620745873242306,0.32354575604451064,12,0,0,True
13,recplot,0,0.30915731802765456,0.38097428258600413,12,0,0,True
14,recplot,0,0.19789925996657914,0.31285034530727623,12,0,0,True
15,recplot,0,0.0,0.2745238046383175,12,0,1,False
16,recplot,0,0.4052013422818792,0.436859744401882,12,0,0,True
17,recplot,0,0.0813489925654563,0.3834297020349743,12,0,0,True
18,recplot,1,0.0,0.2237090084618299,12,1,1,True
19,recplot,1,0.0,0.21279853654478453,12,1,1,True
0,recplot,0,0.0,0.35370058396329834,42,0,2,False
1,recplot,0,0.01820756625531054,0.25248903638864983,42,0,2,False
2,recplot,0,0.027015963978714697,0.36296643407614665,42,0,2,False
3,recplot,0,0.0,0.18815210610305166,42,0,0,True
4,recplot,0,0.013021096194609871,0.40838019529156727,42,0,0,True
5,recplot,0,0.21324951644100582,0.4777411660455097,42,0,0,True
6,recplot,0,0.08006887645286268,0.3746332151218609,42,0,0,True
7,recplot,0,0.4387901376146789,0.7682844770766459,42,0,1,False
8,recplot,0,0.05826572542408598,0.45645998222583867,42,0,0,True
9,recplot,0,0.0,0.3017906829247809,42,0,0,True
