sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,orig,0,0.0925321140866536,0.3028882990835686,7,0,0,True
1,orig,0,0.1314543404735062,0.31401799405672803,7,0,0,True
2,orig,0,0.09134406263592866,0.26823425146036495,7,0,0,True
3,orig,0,0.06392452030107071,0.281687165878242,7,0,1,False
4,orig,0,0.13786848072562358,0.344795261736894,7,0,0,True
5,orig,0,0.08193186718413109,0.34373359650619034,7,0,0,True
6,orig,0,0.11747021489811825,0.3220911781471194,7,0,0,True
7,orig,0,0.11672415711583398,0.3980862285888226,7,0,0,True
8,orig,0,0.07624664879356569,0.2705044687489797,7,0,0,True
9,orig,0,0.07636207636207636,0.18970414186766812,7,0,0,True
10,orig,0,0.12624845696330378,0.29693451120733916,7,0,0,True
11,orig,0,0.11042265988050454,0.3826019221255831,7,0,0,True
12,orig,0,0.1238521836506159,0.2793400206627161,7,0,0,True
13,orig,0,0.07164975974372664,0.36301958429998044,7,0,0,True
14,orig,0,0.08509028003027354,0.27417981661730667,7,0,0,True
15,orig,0,0.08532497026062506,0.21923094649032812,7,0,2,False
16,orig,0,0.11424447651826357,0.32987969979531157,7,0,0,True
17,orig,0,0.12234399463207336,0.2501727543789597,7,0,0,True
18,orig,1,0.07798066595059076,0.25680202845483674,7,1,1,True
19,orig,1,0.08181524199633503,0.3906032647044013,7,1,1,True
0,orig,0,0.09995615957913195,0.25993858531890884,12,0,0,True
1,orig,0,0.10116304586350669,0.2813483867342243,12,0,0,True
2,orig,0,0.0755546029364484,0.2675036433854802,12,0,0,True
3,orig,0,0.06925207756232687,0.3006638210681235,12,0,1,False
4,orig,0,0.10895027624309392,0.30469603965357084,12,0,0,True
5,orig,0,0.10919540229885058,0.24610971203043155,12,0,0,True
6,orig,0,0.121466085596156,0.37070806948534,12,0,0,True
7,orig,0,0.09205658324265506,0.419451940820442,12,0,0,True
8,orig,0,0.061448968799576946,0.2507899956191222,12,0,0,True
9,orig,0,0.06743246117847267,0.23047344343498077,12,0,0,True
10,orig,0,0.10601719197707736,0.26595875040841155,12,0,0,True
11,orig,0,0.09110676233963905,0.24061175732471193,12,0,0,True
12,orig,0,0.10273596308098011,0.2782325587488252,12,0,0,True
13,orig,0,0.07084933845497225,0.19773080574310803,12,0,0,True
14,orig,0,0.08368426735773675,0.25113119040373705,12,0,0,True
15,orig,0,0.07763341565553528,0.1473554008959694,12,0,0,True
16,orig,0,0.11202216066481994,0.2756632026159559,12,0,0,True
17,orig,0,0.11909009812667261,0.2785341493558262,12,0,0,True
18,orig,1,0.09419973833406019,0.30345526838355164,12,1,1,True
19,orig,1,0.0814655172413793,0.3209544334170852,12,1,1,True
0,orig,0,0.1322202166064982,0.26167796661542736,42,0,0,True
1,orig,0,0.10067997367843826,0.29264975773155993,42,0,0,True
2,orig,0,0.08897569444444445,0.23194657035721916,42,0,0,True
3,orig,0,0.08415253321810522,0.3883664918558119,42,0,0,True
4,orig,0,0.10699316126185748,0.3506793032324352,42,0,0,True
5,orig,0,0.10601719197707736,0.3780394999107316,42,0,0,True
