sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,recplot,0,0.09146275149537793,0.44224747512593604,7,0,2,False
1,recplot,0,0.08169864194869585,0.3900484041026872,7,0,2,False
2,recplot,0,0.11946458449525935,0.3935881573517552,7,0,2,False
3,recplot,0,0.09731029958451783,0.4630065518180905,7,0,0,True
4,recplot,0,0.09336529033663797,0.49735099131411004,7,0,0,True
5,recplot,0,0.0700501119522337,0.39297531852944656,7,0,0,True
6,recplot,0,0.06302298485329944,0.4312714572840603,7,0,0,True
7,recplot,0,0.06482758620689655,0.45658661191031974,7,0,1,False
8,recplot,0,0.06970795139629077,0.35399894003184695,7,0,2,False
9,recplot,0,0.10662697100011026,0.3161324348442443,7,0,2,False
10,recplot,0,0.0882671871611364,0.3564647992119288,7,0,0,True
11,recplot,0,0.07855991402471789,0.5435915529985407,7,0,1,False
12,recplot,0,0.09755030621172353,0.3627983926733231,7,0,2,False
13,recplot,0,0.10067997367843826,0.4040685363480257,7,0,2,False
14,recplot,0,0.13941871026339692,0.40942574632819995,7,0,0,True
15,recplot,0,0.08181524199633503,0.3537907525790454,7,0,1,False
16,recplot,0,0.1035847811744007,0.26686962408310466,7,0,2,False
17,recplot,0,0.07774914089347079,0.43671744581231065,7,0,0,True
18,recplot,1,0.08298262652422575,0.2962210800068623,7,1,1,True
19,recplot,1,0.08228189366979402,0.43832421358404794,7,1,1,True
0,recplot,0,0.08803122289679098,0.4927120587706129,12,0,2,False
1,recplot,0,0.06167354279064847,0.5074177147193619,12,0,1,False
2,recplot,0,0.08123249299719888,0.1819998181671021,12,0,2,False
3,recplot,0,0.07717076312117635,0.4197107438839666,12,0,1,False
4,recplot,0,0.13388317704214214,0.5155116776352611,12,0,0,True
5,recplot,0,0.06675170068027211,0.4867288524934725,12,0,0,True
6,recplot,0,0.11709706144256456,0.5248705067955506,12,0,0,True
7,recplot,0,0.04770852907401608,0.3767535828178783,12,0,1,False
8,recplot,0,0.07682403433476395,0.4534924494700215,12,0,0,True
9,recplot,0,0.0814655172413793,0.37093223504045614,12,0,0,True
10,recplot,0,0.06550589234525958,0.434402456402383,12,0,0,True
11,recplot,0,0.08239861949956859,0.4211243863524546,12,0,1,False
12,recplot,0,0.07543934847835405,0.2697372198441252,12,0,0,True
