sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,orig,0,0.0,0.36915541808204555,7,0,0,True
1,orig,0,0.05263157894736842,0.3974845603611947,7,0,0,True
2,orig,0,0.1111111111111111,0.39465826934778514,7,0,0,True
3,orig,0,0.0,0.3142330236839086,7,0,1,False
4,orig,0,0.0,0.23893547623216133,7,0,0,True
5,orig,0,0.3333333333333333,0.33426255582260184,7,0,0,True
6,orig,0,0.1111111111111111,0.347151355287434,7,0,0,True
7,orig,0,0.08108108108108109,0.40169526415655404,7,0,0,True
8,orig,0,0.05263157894736842,0.37701727301410143,7,0,0,True
9,orig,0,0.0,0.2581819592440433,7,0,0,True
10,orig,0,0.1111111111111111,0.35350700385819217,7,0,0,True
11,orig,0,0.05263157894736842,0.33031246904163486,7,0,0,True
12,orig,0,0.05263157894736842,0.3292908358305369,7,0,0,True
13,orig,0,0.08108108108108109,0.3725477622922011,7,0,0,True
14,orig,0,0.02564102564102564,0.32200559118859784,7,0,0,True
15,orig,0,0.05263157894736842,0.3150017610621174,7,0,2,False
16,orig,0,0.02564102564102564,0.3588865034349866,7,0,0,True
17,orig,0,0.08108108108108109,0.3145679594581367,7,0,0,True
18,orig,1,0.02564102564102564,0.3115392459426923,7,1,1,True
19,orig,1,0.0,0.31279717743043867,7,1,1,True
0,orig,0,0.17647058823529413,0.36442704537847265,12,0,0,True
1,orig,0,0.14285714285714285,0.34858841064951,12,0,0,True
2,orig,0,0.0,0.3290781265025718,12,0,0,True
3,orig,0,0.08108108108108109,0.36656973381029406,12,0,1,False
4,orig,0,0.1111111111111111,0.33938379227555515,12,0,0,True
5,orig,0,0.08108108108108109,0.30376477173008165,12,0,0,True
6,orig,0,0.08108108108108109,0.36279195526162983,12,0,0,True
7,orig,0,0.05263157894736842,0.3114903915831475,12,0,0,True
8,orig,0,0.02564102564102564,0.3745962315591274,12,0,0,True
9,orig,0,0.08108108108108109,0.30424436536336685,12,0,0,True
