dataset,seed,branch,sample,categoria,confianca,margem,acertou,complexidade_heatmap,ssim_vs_grupo_confiante,ensemble_salvaria
pulmao,7,mobilenet_orig,6,acerto_confiante,0.9998317956924438,0.9997238597352407,True,0.4174695852892629,,False
pulmao,7,mobilenet_orig,5,acerto_confiante,0.99970942735672,0.9995034301100532,True,0.3774962914876517,,False
pulmao,7,mobilenet_orig,19,acerto_confiante,0.999171018600464,0.9986012831795962,True,0.4369573694387164,,False
pulmao,7,mobilenet_orig,37,acerto_confiante,0.9982699155807496,0.9969850231427702,True,0.459459666520858,,False
pulmao,7,mobilenet_orig,14,acerto_confiante,0.997645914554596,0.9964024146320298,True,0.3886748453600266,,False
pulmao,7,mobilenet_orig,20,acerto_confiante,0.9973400831222534,0.9958973296452314,True,0.4359547262473799,,False
pulmao,7,mobilenet_orig,36,acerto_confiante,0.9968786835670472,0.9947281952481718,True,0.4381876339021948,,False
pulmao,7,mobilenet_orig,40,acerto_confiante,0.9940892457962036,0.9897686927579344,True,0.4485148944847311,,False
pulmao,7,mobilenet_orig,3,erro_confiante,0.7847478985786438,0.5822452157735825,False,0.5133321590212612,0.506242795751755,True
pulmao,7,mobilenet_orig,15,erro_confiante,0.7793463468551636,0.5758251845836639,False,0.4341203975091639,0.4954006492418097,False
pulmao,7,mobilenet_orig,51,erro_confiante,0.604340136051178,0.36892226338386536,False,0.37398629847844905,0.5501958354990022,True
pulmao,7,mobilenet_orig,7,erro_confiante,0.5716784000396729,0.25477501749992376,False,0.43817815785663194,0.5066533548980191,True
pulmao,7,mobilenet_recplot,8,fronteira,0.3648782968521118,0.0007735490798950195,True,0.4752104362157419,0.43928457864351045,False
pulmao,7,mobilenet_recplot,52,fronteira,0.4977204203605652,0.06334084272384649,False,0.43116721280691567,0.46301779127350867,True
pulmao,7,mobilenet_recplot,58,fronteira,0.4286209642887115,0.01245537400245661,True,0.43460780239264213,0.4184534088096428,False
pulmao,7,mobilenet_recplot,31,acerto_confiante,0.990924835205078,0.9853392136283218,True,0.5456243110551096,,False
pulmao,7,mobilenet_recplot,37,acerto_confiante,0.987546980381012,0.97898861579597,True,0.3402806707256335,,False
pulmao,7,mobilenet_recplot,5,acerto_confiante,0.9866663813591005,0.9766851644963027,True,0.4657186131027615,,False
pulmao,7,mobilenet_recplot,4,acerto_confiante,0.9862754940986632,0.9764719456434249,True,0.4247150127272105,,False
pulmao,7,mobilenet_recplot,20,acerto_confiante,0.9811448454856871,0.968578572385013,True,0.45108956785964766,,False
pulmao,7,mobilenet_recplot,44,acerto_confiante,0.9810566306114196,0.9698903895914553,True,0.4605613233941374,,False
pulmao,7,mobilenet_recplot,43,acerto_confiante,0.9786282777786256,0.960680738091469,True,0.5952368837535859,,False
pulmao,7,mobilenet_recplot,35,acerto_confiante,0.9731616973876952,0.9515748117119073,True,0.41051902988200273,,False
pulmao,7,mobilenet_recplot,49,erro_confiante,0.9379106760025024,0.9027084782719612,False,0.5577861932735014,0.5758233020131814,False
pulmao,7,mobilenet_recplot,7,erro_confiante,0.9220787882804872,0.8620027862489225,False,0.4170703427100415,0.4855788866364936,True
pulmao,7,mobilenet_recplot,41,erro_confiante,0.9190101623535156,0.8608121350407602,False,0.47008594802226517,0.4632069706169803,True
pulmao,7,mobilenet_recplot,11,erro_confiante,0.8833023309707642,0.7805991247296333,False,0.5461073376642258,0.5602778305068365,True
pulmao,7,mobilenet_recplot,36,erro_confiante,0.8425481915473938,0.7267604097723961,False,0.5053200010443878,0.4012172362125931,True
pulmao,7,mobilenet_recplot,2,erro_confiante,0.8110887408256531,0.6470882743597031,False,0.4353098702769598,0.45106510688748086,True
pulmao,7,mobilenet_recplot,14,erro_confiante,0.738616406917572,0.5244878530502319,False,0.620918689438026,0.5422371013934113,True
pulmao,7,mobilenet_recplot,57,erro_confiante,0.7241314649581909,0.5242412835359574,False,0.4011565944970952,0.46451625217955184,True
pulmao,7,effnet_orig,0,fronteira,0.516957700252533,0.09857973456382757,True,0.2464637070858791,0.471086466153135,False
pulmao,7,effnet_orig,3,fronteira,0.5033006072044373,0.08506938815116888,False,0.40052574309192274,0.4154203491110361,True
pulmao,7,effnet_orig,8,fronteira,0.3637940287590027,0.0162173211574555,True,0.33454692787862134,0.4868578077808949,False
pulmao,7,effnet_orig,24,fronteira,0.5292389988899231,0.06198427081108099,True,0.41636994263538035,0.48036102394234365,False
pulmao,7,effnet_orig,35,fronteira,0.517815113067627,0.04143965244293213,True,0.47619403263238774,0.4850905098330781,False
pulmao,7,effnet_orig,19,acerto_confiante,0.9998997449874878,0.9998477173430729,True,0.43994331893414423,,False
pulmao,7,effnet_orig,36,acerto_confiante,0.9997522234916688,0.9995859345945065,True,0.45249978197402224,,False
pulmao,7,effnet_orig,42,acerto_confiante,0.9997404217720032,0.9996083200530848,True,0.46077703144276017,,False
pulmao,7,effnet_orig,39,acerto_confiante,0.9996256828308104,0.999403234294732,True,0.533270366626781,,False
pulmao,7,effnet_orig,29,acerto_confiante,0.999333918094635,0.9987314926693216,True,0.42496752107179736,,False
pulmao,7,effnet_orig,41,acerto_confiante,0.9992588758468628,0.998833825608017,True,0.506771413053172,,False
pulmao,7,effnet_orig,40,acerto_confiante,0.9989868998527528,0.9984145808266477,True,0.4213323615182717,,False
pulmao,7,effnet_orig,5,acerto_confiante,0.998850643634796,0.9979463124764152,True,0.49765391171053286,,False
pulmao,7,effnet_orig,3,erro_confiante,0.5033006072044373,0.08506938815116888,False,0.40052574309192274,0.4154203491110361,True
pulmao,7,effnet_recplot,8,fronteira,0.5183205604553223,0.06374770402908325,False,0.3607503093098435,0.49352165927149705,True
pulmao,7,effnet_recplot,36,fronteira,0.5006393790245056,0.0479044914245606,False,0.17933259997743747,0.5137316502618539,True
pulmao,7,effnet_recplot,42,acerto_confiante,0.9996155500411988,0.9993354315811305,True,0.14083128967340744,,False
pulmao,7,effnet_recplot,25,acerto_confiante,0.9988412261009216,0.9981762411189267,True,0.15196403725057656,,False
pulmao,7,effnet_recplot,46,acerto_confiante,0.998684585094452,0.9980015748296867,True,0.14951884341774735,,False
pulmao,7,effnet_recplot,30,acerto_confiante,0.99857497215271,0.9976465977961197,True,0.10291250555259102,,False
pulmao,7,effnet_recplot,19,acerto_confiante,0.9984897375106812,0.9973812733078375,True,0.19827700406134555,,False
pulmao,7,effnet_recplot,33,acerto_confiante,0.9983437061309814,0.9975070168147795,True,0.15525494971169876,,False
pulmao,7,effnet_recplot,24,acerto_confiante,0.99798583984375,0.9967364328913391,True,0.13811267206105823,,False
pulmao,7,effnet_recplot,6,acerto_confiante,0.9979045391082764,0.9967357285786421,True,0.39435381442460943,,False
pulmao,7,effnet_recplot,49,erro_confiante,0.984235942363739,0.9743849812075496,False,0.30104143652473353,0.6715771817623175,False
pulmao,7,effnet_recplot,11,erro_confiante,0.9598068594932556,0.9226797372102739,False,0.19405609350206324,0.5908683844154445,True
pulmao,7,effnet_recplot,7,erro_confiante,0.9546495079994202,0.9241879452019931,False,0.10702196784461604,0.46752553743830977,False
pulmao,7,effnet_recplot,41,erro_confiante,0.9530270099639891,0.9142787717282771,False,0.2958602439712907,0.4682369238639239,True
pulmao,7,effnet_recplot,1,erro_confiante,0.9269896745681764,0.8889966756105425,False,0.16014989528255655,0.5508056096029631,True
pulmao,7,effnet_recplot,57,erro_confiante,0.8747748732566833,0.7681500539183618,False,0.32209607235507887,0.5188305606479482,True
pulmao,7,effnet_recplot,15,erro_confiante,0.8347581028938293,0.7178621143102646,False,0.3762703647685668,0.5595777152674788,False
pulmao,7,effnet_recplot,0,erro_confiante,0.8282687067985535,0.6776506304740906,False,0.28336663634430104,0.5222612468414404,False
pulmao,12,mobilenet_orig,3,fronteira,0.4962660074234009,0.05122977495193487,False,0.4256160789491236,0.46741939319270126,True
pulmao,12,mobilenet_orig,7,fronteira,0.4709103107452392,0.05387711524963379,False,0.4598128317393751,0.4928643108611612,True
pulmao,12,mobilenet_orig,19,acerto_confiante,0.9996196031570436,0.9994043178157883,True,0.49843726909093466,,False
pulmao,12,mobilenet_orig,58,acerto_confiante,0.9961965680122375,0.9933014658745378,True,0.49740706301132764,,False
pulmao,12,mobilenet_orig,36,acerto_confiante,0.9950007200241088,0.9918127011042088,True,0.4392668346183741,,False
pulmao,12,mobilenet_orig,37,acerto_confiante,0.9944968819618224,0.9905089731328189,True,0.446781034561427,,False
pulmao,12,mobilenet_orig,6,acerto_confiante,0.9921191334724426,0.9870130843482913,True,0.42864203613933854,,False
pulmao,12,mobilenet_orig,42,acerto_confiante,0.991675853729248,0.9868241040967406,True,0.40299803781831034,,False
pulmao,12,mobilenet_orig,29,acerto_confiante,0.9888775944709778,0.9817775981500745,True,0.46869247510585765,,False
pulmao,12,mobilenet_orig,32,acerto_confiante,0.98766827583313,0.9791622078046204,True,0.4042406186009235,,False
pulmao,12,mobilenet_orig,53,erro_confiante,0.6807946562767029,0.3891396224498749,False,0.5133961379556066,0.5097508139802699,True
pulmao,12,mobilenet_orig,55,erro_confiante,0.5609108209609985,0.14082267880439764,False,0.5421892902061795,0.46205179017660714,False
pulmao,12,mobilenet_orig,3,erro_confiante,0.4962660074234009,0.05122977495193487,False,0.4256160789491236,0.46741939319270126,True
pulmao,12,mobilenet_orig,7,erro_confiante,0.4709103107452392,0.05387711524963379,False,0.4598128317393751,0.4928643108611612,True
pulmao,12,mobilenet_orig,51,erro_confiante,0.4008332192897796,0.10083448886871332,False,0.4115467894044157,0.5089692390239224,True
pulmao,12,mobilenet_recplot,1,fronteira,0.4084401428699493,0.0461153090000152,False,0.43592062437981477,0.4170182278096363,True
pulmao,12,mobilenet_recplot,3,fronteira,0.4915006756782532,0.09997197985649109,True,0.46499561473371775,0.37422809506010524,False
pulmao,12,mobilenet_recplot,8,fronteira,0.4474406242370605,0.036967962980270386,True,0.4540063498002902,0.3836597657368234,False
pulmao,12,mobilenet_recplot,23,fronteira,0.4666168987751007,0.03720477223396301,True,0.522108577674554,0.447907436604269,False
pulmao,12,mobilenet_recplot,26,fronteira,0.4689418375492096,0.06356203556060791,False,0.468617775823794,0.5176688577990807,True
pulmao,12,mobilenet_recplot,29,acerto_confiante,0.9978821873664856,0.9960692106978968,True,0.42790310974966533,,False
