dataset,branch,categoria,n,complexidade_media,complexidade_std,ssim_medio_vs_confiante,ssim_std_vs_confiante,pct_acerto,pct_ensemble_salvaria
pulmao,effnet_orig,acerto_confiante,64,0.4153932014488862,0.05907727785265527,,,1.0,0.0
pulmao,effnet_orig,erro_confiante,21,0.4147053235427209,0.04927769730454084,0.4701515287239769,0.06261052457003788,0.0,0.6666666666666666
pulmao,effnet_orig,fronteira,10,0.37863244199773116,0.07525018549235657,0.47301759256837955,0.04230301642268987,0.6,0.3
pulmao,effnet_recplot,acerto_confiante,64,0.25016444765366086,0.1375477142035385,,,1.0,0.0
pulmao,effnet_recplot,erro_confiante,64,0.2671483614642516,0.11625179126435774,0.48903919170722904,0.08177266488090557,0.0,0.609375
pulmao,effnet_recplot,fronteira,21,0.3170843955370626,0.08972078948665384,0.45314563095467086,0.08127183673765423,0.3333333333333333,0.6666666666666666
pulmao,mobilenet_orig,acerto_confiante,64,0.44459211425543765,0.036080463862266265,,,1.0,0.0
pulmao,mobilenet_orig,erro_confiante,43,0.4521044089879975,0.0427738784143171,0.5036410028208985,0.04598336175607494,0.0,0.7906976744186046
pulmao,mobilenet_orig,fronteira,17,0.45781770574513986,0.045102206600294736,0.5056500980418487,0.04346500162487972,0.47058823529411764,0.5294117647058824
pulmao,mobilenet_recplot,acerto_confiante,64,0.48281919440427723,0.06884701954051427,,,1.0,0.0
pulmao,mobilenet_recplot,erro_confiante,64,0.4762909374899234,0.05468465309298646,0.487424294237198,0.06733956136908462,0.0,0.6875
pulmao,mobilenet_recplot,fronteira,24,0.43753592931460283,0.028899469954345836,0.3995767537175634,0.05053160133539474,0.5833333333333334,0.4166666666666667
