branch,metrica,media,std
effnet_orig,complexity,0.47928306223632894,0.13433366120712237
effnet_orig,faithfulness,-0.0012718661593557415,0.19417787583081236
effnet_orig,robustness,0.8288122048696219,0.5184279312800978
effnet_recplot,complexity,0.5635646474651524,0.1925049244029869
effnet_recplot,faithfulness,0.07222866477017408,0.19795047613803626
effnet_recplot,robustness,inf,
mobilenet_orig,complexity,0.5502619316475371,0.09916061504334588
mobilenet_orig,faithfulness,0.024160376108661924,0.1939370057903499
mobilenet_orig,robustness,0.9898921214675499,0.6326675230797371
mobilenet_recplot,complexity,0.6049636725562695,0.14431075572496174
mobilenet_recplot,faithfulness,0.09701904285563519,0.19777615515166713
mobilenet_recplot,robustness,inf,
