seed,branch,amostra,metrica,valor
7,mobilenet_orig,0,faithfulness,0.21483778953552246
7,mobilenet_orig,0,robustness,2.008002996444702
7,mobilenet_orig,0,complexity,0.4072146532885578
7,mobilenet_orig,1,faithfulness,0.16441822052001953
7,mobilenet_orig,1,robustness,1.7806708812713623
7,mobilenet_orig,1,complexity,0.3911413042509319
7,mobilenet_orig,2,faithfulness,-0.03718087822198868
7,mobilenet_orig,2,robustness,1.8597354888916016
7,mobilenet_orig,2,complexity,0.5009849638936513
7,mobilenet_orig,3,faithfulness,0.24048152565956116
7,mobilenet_orig,3,robustness,2.404479503631592
7,mobilenet_orig,3,complexity,0.4973527618694212
7,mobilenet_orig,4,faithfulness,0.27477917075157166
7,mobilenet_orig,4,robustness,1.150090217590332
7,mobilenet_orig,4,complexity,0.3984633512745843
7,mobilenet_orig,5,faithfulness,0.07082652300596237
7,mobilenet_orig,5,robustness,0.959942102432251
7,mobilenet_orig,5,complexity,0.3774962950426729
7,mobilenet_recplot,0,faithfulness,0.11201640218496323
7,mobilenet_recplot,0,robustness,2.2182629108428955
7,mobilenet_recplot,0,complexity,0.5190187672256185
7,mobilenet_recplot,1,faithfulness,0.3341904580593109
7,mobilenet_recplot,1,robustness,1.8203024864196777
7,mobilenet_recplot,1,complexity,0.3910750446793858
7,mobilenet_recplot,2,faithfulness,0.1507762372493744
7,mobilenet_recplot,2,robustness,2.6076509952545166
7,mobilenet_recplot,2,complexity,0.48782961211182807
7,mobilenet_recplot,3,faithfulness,0.47077706456184387
7,mobilenet_recplot,3,robustness,1.661440372467041
7,mobilenet_recplot,3,complexity,0.5126628658887403
7,mobilenet_recplot,4,faithfulness,0.21389250457286835
7,mobilenet_recplot,4,robustness,1.4251986742019653
7,mobilenet_recplot,4,complexity,0.424714859150646
7,mobilenet_recplot,5,faithfulness,0.1520977020263672
7,mobilenet_recplot,5,robustness,3.10209321975708
7,mobilenet_recplot,5,complexity,0.4657183688160864
7,effnet_orig,0,faithfulness,-0.08651585131883621
7,effnet_orig,0,robustness,1.0313090085983276
7,effnet_orig,0,complexity,0.2464636690999341
7,effnet_orig,1,faithfulness,0.24852436780929565
7,effnet_orig,1,robustness,0.4333983361721039
7,effnet_orig,1,complexity,0.38415198005108814
7,effnet_orig,2,faithfulness,-0.0010589202865958214
7,effnet_orig,2,robustness,0.6412392258644104
7,effnet_orig,2,complexity,0.3121553530302124
7,effnet_orig,3,faithfulness,0.09680481255054474
7,effnet_orig,3,robustness,1.1830939054489136
7,effnet_orig,3,complexity,0.36067143451147937
7,effnet_orig,4,faithfulness,-0.06664830446243286
7,effnet_orig,4,robustness,2.3188583850860596
7,effnet_orig,4,complexity,0.44648622737140864
7,effnet_orig,5,faithfulness,0.19620218873023987
7,effnet_orig,5,robustness,1.5431162118911743
7,effnet_orig,5,complexity,0.49765369035925083
7,effnet_recplot,0,faithfulness,0.15928123891353607
7,effnet_recplot,0,robustness,1.3212891817092896
7,effnet_recplot,0,complexity,0.09435219732419811
7,effnet_recplot,1,faithfulness,0.13091622292995453
7,effnet_recplot,1,robustness,1.9767476320266724
7,effnet_recplot,1,complexity,0.32546313387692516
7,effnet_recplot,2,faithfulness,0.4574841558933258
7,effnet_recplot,2,robustness,1.0070205926895142
7,effnet_recplot,2,complexity,0.41764341601867033
