seed,banda,queda_prob,sample,target_class
7,Minkowski (P),-0.08760389685630798,0,0
7,Minkowski (G),0.09415540099143982,0,0
7,Minkowski (H),0.10192161798477173,0,0
7,Euclidiana (P),0.24905788898468018,0,0
7,Euclidiana (G),-0.005029588937759399,0,0
7,Euclidiana (H),0.007335096597671509,0,0
7,Manhattan (P),0.012109607458114624,0,0
7,Manhattan (G),0.02098625898361206,0,0
7,Manhattan (H),0.014318227767944336,0,0
12,Minkowski (P),-0.032696306705474854,0,0
12,Minkowski (G),-0.08835965394973755,0,0
12,Minkowski (H),0.028651714324951172,0,0
12,Euclidiana (P),0.14399144053459167,0,0
12,Euclidiana (G),-0.02570164203643799,0,0
12,Euclidiana (H),-0.07154721021652222,0,0
12,Manhattan (P),-0.016081303358078003,0,0
12,Manhattan (G),0.017467588186264038,0,0
12,Manhattan (H),0.0123959481716156,0,0
42,Minkowski (P),-0.026325196027755737,0,0
42,Minkowski (G),-0.04918462038040161,0,0
42,Minkowski (H),-0.043757855892181396,0,0
42,Euclidiana (P),0.08514270186424255,0,0
42,Euclidiana (G),-0.04648813605308533,0,0
42,Euclidiana (H),-0.01881125569343567,0,0
42,Manhattan (P),-0.011688977479934692,0,0
42,Manhattan (G),0.00452655553817749,0,0
42,Manhattan (H),0.021345555782318115,0,0
65,Minkowski (P),-0.05028212070465088,0,0
65,Minkowski (G),-0.09872990846633911,0,0
65,Minkowski (H),-0.07225567102432251,0,0
65,Euclidiana (P),0.0509972870349884,0,0
65,Euclidiana (G),-0.005041897296905518,0,0
65,Euclidiana (H),-0.018442749977111816,0,0
65,Manhattan (P),0.05852550268173218,0,0
65,Manhattan (G),0.04067862033843994,0,0
65,Manhattan (H),0.014312386512756348,0,0
87,Minkowski (P),0.018091648817062378,0,0
87,Minkowski (G),0.019432663917541504,0,0
87,Minkowski (H),-0.003771841526031494,0,0
87,Euclidiana (P),0.09935620427131653,0,0
87,Euclidiana (G),-0.02983933687210083,0,0
87,Euclidiana (H),-0.01240473985671997,0,0
87,Manhattan (P),0.005180865526199341,0,0
87,Manhattan (G),0.0009592175483703613,0,0
87,Manhattan (H),0.018366634845733643,0,0
93,Minkowski (P),-0.023873627185821533,0,0
93,Minkowski (G),0.05298417806625366,0,0
93,Minkowski (H),0.15986138582229614,0,0
93,Euclidiana (P),0.46434424817562103,0,0
93,Euclidiana (G),0.14093339443206787,0,0
93,Euclidiana (H),0.06148654222488403,0,0
93,Manhattan (P),-0.023771703243255615,0,0
93,Manhattan (G),0.01862233877182007,0,0
93,Manhattan (H),-0.004147350788116455,0,0
107,Minkowski (P),-0.006576806306838989,0,0
107,Minkowski (G),-0.08800289034843445,0,0
107,Minkowski (H),-0.12969470024108887,0,0
107,Euclidiana (P),0.047765836119651794,0,0
107,Euclidiana (G),0.0352356880903244,0,0
107,Euclidiana (H),-0.1238541305065155,0,0
107,Manhattan (P),0.013026073575019836,0,0
107,Manhattan (G),-0.022735103964805603,0,0
107,Manhattan (H),-0.01261378824710846,0,0
