seed,sample,target_class,grupo,prob_base,prob_oclusa,queda_prob
7,0,0,Minkowski (P),0.46304431557655334,0.6250632405281067,-0.16201892495155334
7,0,0,Minkowski (G),0.46304431557655334,0.22666975855827332,0.23637455701828003
7,0,0,Minkowski (H),0.46304431557655334,0.18355141580104828,0.27949289977550507
7,0,0,Euclidiana (P),0.46304431557655334,0.09571025520563126,0.3673340603709221
7,0,0,Euclidiana (G),0.46304431557655334,0.13951291143894196,0.3235314041376114
7,0,0,Euclidiana (H),0.46304431557655334,0.2864949405193329,0.17654937505722046
7,0,0,Manhattan (P),0.46304431557655334,0.1052895337343216,0.35775478184223175
7,0,0,Manhattan (G),0.46304431557655334,0.2064356952905655,0.25660862028598785
7,0,0,Manhattan (H),0.46304431557655334,0.2532691955566406,0.20977512001991272
12,0,0,Minkowski (P),0.4675636291503906,0.314573734998703,0.15298989415168762
12,0,0,Minkowski (G),0.4675636291503906,0.25342848896980286,0.21413514018058777
12,0,0,Minkowski (H),0.4675636291503906,0.2432962954044342,0.22426733374595642
12,0,0,Euclidiana (P),0.4675636291503906,0.1913917362689972,0.27617189288139343
12,0,0,Euclidiana (G),0.4675636291503906,0.20446757972240448,0.26309604942798615
12,0,0,Euclidiana (H),0.4675636291503906,0.08211946487426758,0.38544416427612305
12,0,0,Manhattan (P),0.4675636291503906,0.1949358880519867,0.27262774109840393
12,0,0,Manhattan (G),0.4675636291503906,0.3098253011703491,0.1577383279800415
12,0,0,Manhattan (H),0.4675636291503906,0.35063636302948,0.11692726612091064
42,0,0,Minkowski (P),0.41662508249282837,0.4817764461040497,-0.06515136361122131
42,0,0,Minkowski (G),0.41662508249282837,0.3395642042160034,0.07706087827682495
42,0,0,Minkowski (H),0.41662508249282837,0.2925713360309601,0.12405374646186829
42,0,0,Euclidiana (P),0.41662508249282837,0.1430005133152008,0.27362456917762756
42,0,0,Euclidiana (G),0.41662508249282837,0.12774376571178436,0.288881316781044
42,0,0,Euclidiana (H),0.41662508249282837,0.11151833832263947,0.3051067441701889
42,0,0,Manhattan (P),0.41662508249282837,0.15534614026546478,0.2612789422273636
42,0,0,Manhattan (G),0.41662508249282837,0.32846495509147644,0.08816012740135193
42,0,0,Manhattan (H),0.41662508249282837,0.2741444706916809,0.14248061180114746
65,0,0,Minkowski (P),0.518781840801239,0.7359129190444946,-0.21713107824325562
65,0,0,Minkowski (G),0.518781840801239,0.4739047884941101,0.044877052307128906
65,0,0,Minkowski (H),0.518781840801239,0.35676097869873047,0.16202086210250854
65,0,0,Euclidiana (P),0.518781840801239,0.3052505552768707,0.2135312855243683
65,0,0,Euclidiana (G),0.518781840801239,0.20892955362796783,0.3098522871732712
65,0,0,Euclidiana (H),0.518781840801239,0.21356016397476196,0.30522167682647705
65,0,0,Manhattan (P),0.518781840801239,0.11972782760858536,0.39905401319265366
65,0,0,Manhattan (G),0.518781840801239,0.22198905050754547,0.29679279029369354
65,0,0,Manhattan (H),0.518781840801239,0.3511452376842499,0.16763660311698914
87,0,0,Minkowski (P),0.4539150595664978,0.5615240931510925,-0.10760903358459473
87,0,0,Minkowski (G),0.4539150595664978,0.37178051471710205,0.08213454484939575
87,0,0,Minkowski (H),0.4539150595664978,0.25195398926734924,0.20196107029914856
87,0,0,Euclidiana (P),0.4539150595664978,0.18675094842910767,0.26716411113739014
87,0,0,Euclidiana (G),0.4539150595664978,0.2783012092113495,0.17561385035514832
87,0,0,Euclidiana (H),0.4539150595664978,0.20625588297843933,0.24765917658805847
87,0,0,Manhattan (P),0.4539150595664978,0.1915571093559265,0.2623579502105713
87,0,0,Manhattan (G),0.4539150595664978,0.26003754138946533,0.19387751817703247
87,0,0,Manhattan (H),0.4539150595664978,0.3310404419898987,0.12287461757659912
93,0,0,Minkowski (P),0.6918190121650696,0.7359155416488647,-0.044096529483795166
93,0,0,Minkowski (G),0.6918190121650696,0.5023109316825867,0.1895080804824829
93,0,0,Minkowski (H),0.6918190121650696,0.3365101218223572,0.3553088903427124
93,0,0,Euclidiana (P),0.6918190121650696,0.06665721535682678,0.6251617968082428
93,0,0,Euclidiana (G),0.6918190121650696,0.05459030717611313,0.6372287049889565
93,0,0,Euclidiana (H),0.6918190121650696,0.05910047888755798,0.6327185332775116
93,0,0,Manhattan (P),0.6918190121650696,0.16574408113956451,0.5260749310255051
93,0,0,Manhattan (G),0.6918190121650696,0.5458680987358093,0.14595091342926025
93,0,0,Manhattan (H),0.6918190121650696,0.5572109222412109,0.13460808992385864
107,0,0,Minkowski (P),0.2141246497631073,0.22375307977199554,-0.009628430008888245
107,0,0,Minkowski (G),0.2141246497631073,0.30558326840400696,-0.09145861864089966
107,0,0,Minkowski (H),0.2141246497631073,0.36267146468162537,-0.14854681491851807
107,0,0,Euclidiana (P),0.2141246497631073,0.3845357298851013,-0.17041108012199402
107,0,0,Euclidiana (G),0.2141246497631073,0.19417919218540192,0.019945457577705383
107,0,0,Euclidiana (H),0.2141246497631073,0.1549762338399887,0.05914841592311859
107,0,0,Manhattan (P),0.2141246497631073,0.1199822798371315,0.0941423699259758
107,0,0,Manhattan (G),0.2141246497631073,0.09539718925952911,0.11872746050357819
107,0,0,Manhattan (H),0.2141246497631073,0.08410292118787766,0.13002172857522964
121,0,0,Minkowski (P),0.32316073775291443,0.41114747524261475,-0.08798673748970032
121,0,0,Minkowski (G),0.32316073775291443,0.11703519523143768,0.20612554252147675
121,0,0,Minkowski (H),0.32316073775291443,0.18232303857803345,0.14083769917488098
121,0,0,Euclidiana (P),0.32316073775291443,0.09961137920618057,0.22354935854673386
121,0,0,Euclidiana (G),0.32316073775291443,0.15541714429855347,0.16774359345436096
121,0,0,Euclidiana (H),0.32316073775291443,0.08592640608549118,0.23723433166742325
121,0,0,Manhattan (P),0.32316073775291443,0.06637029349803925,0.2567904442548752
121,0,0,Manhattan (G),0.32316073775291443,0.07022248953580856,0.25293824821710587
121,0,0,Manhattan (H),0.32316073775291443,0.20244942605495453,0.1207113116979599
7,1,0,Minkowski (P),0.6493756771087646,0.3782632350921631,0.27111244201660156
7,1,0,Minkowski (G),0.6493756771087646,0.5667570233345032,0.08261865377426147
7,1,0,Minkowski (H),0.6493756771087646,0.15972532331943512,0.48965035378932953
7,1,0,Euclidiana (P),0.6493756771087646,0.2161916196346283,0.43318405747413635
7,1,0,Euclidiana (G),0.6493756771087646,0.08336050808429718,0.5660151690244675
7,1,0,Euclidiana (H),0.6493756771087646,0.46833378076553345,0.1810418963432312
7,1,0,Manhattan (P),0.6493756771087646,0.5208621025085449,0.12851357460021973
7,1,0,Manhattan (G),0.6493756771087646,0.4296397268772125,0.21973595023155212
7,1,0,Manhattan (H),0.6493756771087646,0.45810210704803467,0.19127357006072998
12,1,0,Minkowski (P),0.7694082260131836,0.1828763335943222,0.5865318924188614
12,1,0,Minkowski (G),0.7694082260131836,0.5118522644042969,0.2575559616088867
12,1,0,Minkowski (H),0.7694082260131836,0.1738593876361847,0.5955488383769989
12,1,0,Euclidiana (P),0.7694082260131836,0.25480103492736816,0.5146071910858154
12,1,0,Euclidiana (G),0.7694082260131836,0.14653204381465912,0.6228761821985245
12,1,0,Euclidiana (H),0.7694082260131836,0.2788461744785309,0.4905620515346527
12,1,0,Manhattan (P),0.7694082260131836,0.6493690609931946,0.12003916501998901
12,1,0,Manhattan (G),0.7694082260131836,0.6664034724235535,0.10300475358963013
12,1,0,Manhattan (H),0.7694082260131836,0.751508891582489,0.01789933443069458
42,1,0,Minkowski (P),0.8357059359550476,0.4240267872810364,0.41167914867401123
42,1,0,Minkowski (G),0.8357059359550476,0.42356055974960327,0.41214537620544434
42,1,0,Minkowski (H),0.8357059359550476,0.43627944588661194,0.39942649006843567
42,1,0,Euclidiana (P),0.8357059359550476,0.6434854865074158,0.19222044944763184
42,1,0,Euclidiana (G),0.8357059359550476,0.23782294988632202,0.5978829860687256
42,1,0,Euclidiana (H),0.8357059359550476,0.5401785969734192,0.2955273389816284
42,1,0,Manhattan (P),0.8357059359550476,0.7667317390441895,0.06897419691085815
42,1,0,Manhattan (G),0.8357059359550476,0.7413395047187805,0.09436643123626709
42,1,0,Manhattan (H),0.8357059359550476,0.6124939322471619,0.22321200370788574
65,1,0,Minkowski (P),0.8866121172904968,0.33024537563323975,0.5563667416572571
65,1,0,Minkowski (G),0.8866121172904968,0.4434061348438263,0.44320598244667053
65,1,0,Minkowski (H),0.8866121172904968,0.2415560781955719,0.6450560390949249
65,1,0,Euclidiana (P),0.8866121172904968,0.49979060888290405,0.3868215084075928
65,1,0,Euclidiana (G),0.8866121172904968,0.4289238750934601,0.45768824219703674
