sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,orig,0,0.44319815933275813,0.6981369449273721,7,0,0,True
1,orig,0,0.026805811336198075,0.3329725519889764,7,0,0,True
2,orig,0,0.0,0.18951182010785825,7,0,0,True
3,orig,0,0.05089005235602094,0.49375709921883365,7,0,0,True
4,orig,0,0.5171579743008314,0.5221778779649663,7,0,0,True
5,orig,0,0.14631639063392346,0.48225555997928166,7,0,0,True
6,orig,0,0.4312606959498003,0.6870797045798581,7,0,0,True
7,orig,0,0.07242042298654133,0.25966088676073973,7,0,0,True
8,orig,0,0.34765677454008326,0.37293182428434973,7,0,0,True
9,orig,0,0.0,0.2456123559096313,7,0,0,True
10,orig,0,0.3118954248366013,0.4894358712150089,7,0,0,True
11,orig,0,0.05954391891891892,0.23462754191079668,7,0,0,True
12,orig,0,0.0,0.2322040965727933,7,0,0,True
13,orig,0,0.035604978575800854,0.28260710091363905,7,0,0,True
14,orig,0,0.22298038260021932,0.1961191095019782,7,0,0,True
15,orig,0,0.0,0.27002054793858793,7,0,0,True
16,orig,0,0.1273871040215682,0.472355414928558,7,0,0,True
17,orig,0,0.2349686462559941,0.3840019401546092,7,0,0,True
18,orig,0,9.96512207274539e-05,0.35424161441967317,7,0,0,True
19,orig,0,0.20930232558139536,0.3836943092097458,7,0,0,True
0,orig,0,0.4316690442225392,0.4677809873330573,12,0,0,True
1,orig,0,0.026070953890195276,0.33674547641091157,12,0,1,False
2,orig,0,0.0,0.1994803034854756,12,0,0,True
3,orig,0,0.15237111034561948,0.5119983217125733,12,0,0,True
4,orig,0,0.4314648409641991,0.49660986589689093,12,0,0,True
5,orig,0,0.058426492301202275,0.39696234225273375,12,0,0,True
6,orig,0,0.30236179600311447,0.6362732949460285,12,0,0,True
7,orig,0,0.027436527436527438,0.3833270009157952,12,0,0,True
8,orig,0,0.0146021654912089,0.24998873055089268,12,0,0,True
9,orig,0,0.0,0.1596369692675755,12,0,0,True
10,orig,0,0.12134078212290503,0.5131035388972915,12,0,0,True
11,orig,0,0.0,0.4390365839403733,12,0,1,False
12,orig,0,0.0,0.3513314904095647,12,0,0,True
13,orig,0,0.0,0.28335776851160993,12,0,0,True
14,orig,0,0.28363171355498723,0.34441261780727,12,0,0,True
15,orig,0,0.0,0.2272017614413181,12,0,0,True
16,orig,0,0.04593271534215186,0.1755428418376131,12,0,0,True
17,orig,0,0.0,0.27578916984140045,12,0,1,False
18,orig,0,0.15250344510794672,0.45019145415194073,12,0,0,True
19,orig,0,0.011387685175854076,0.2765584247588386,12,0,0,True
0,orig,0,0.353655246830321,0.5674432068083048,42,0,0,True
1,orig,0,0.5048703731455118,0.4407116230408553,42,0,1,False
