sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,orig,0,0.11350271829579496,0.3786475196448179,7,0,0,True
1,orig,0,0.11239193083573487,0.38138326422834856,7,0,0,True
2,orig,0,0.08873942286830115,0.3508566009191203,7,0,0,True
3,orig,0,0.08567719601903938,0.3291748154410874,7,0,0,True
4,orig,0,0.09947414548641542,0.17713984899464819,7,0,0,True
5,orig,0,0.08462120393385929,0.2572643195853989,7,0,0,True
6,orig,0,0.08462120393385929,0.40152916305501274,7,0,0,True
7,orig,0,0.09015859222246361,0.28684631477244,7,0,0,True
8,orig,0,0.07440316882560753,0.3860098717165822,7,0,0,True
9,orig,0,0.08767746829955565,0.3918576995138044,7,0,0,True
10,orig,0,0.08169864194869585,0.4406907233415939,7,0,0,True
11,orig,0,0.09551359021940836,0.13227493643444027,7,0,0,True
12,orig,0,0.08298262652422575,0.42407259886124665,7,0,0,True
13,orig,0,0.07016421411814885,0.36511588087450475,7,0,0,True
14,orig,0,0.08509028003027354,0.4120252037053465,7,0,0,True
15,orig,0,0.0666383250079711,0.38617445697428515,7,0,0,True
16,orig,0,0.10092145677928917,0.18650044548265388,7,0,0,True
17,orig,0,0.08638233383849318,0.1464418872541492,7,0,0,True
18,orig,0,0.08018512539016252,0.38098481534191225,7,0,0,True
19,orig,0,0.11461572634384717,0.48968392829829227,7,0,0,True
0,orig,0,0.09170020667899488,0.4135774058471014,12,0,0,True
1,orig,0,0.09122539958682178,0.24984799610304356,12,0,1,False
2,orig,0,0.07199316385387737,0.38122753000428344,12,0,0,True
3,orig,0,0.09611183923110529,0.34458166809545226,12,0,0,True
4,orig,0,0.0813489925654563,0.3501512115348648,12,0,0,True
5,orig,0,0.0907510053255081,0.3921365107563205,12,0,0,True
6,orig,0,0.07440316882560753,0.46434561440395905,12,0,0,True
7,orig,0,0.09515495416848538,0.1867712915346378,12,0,0,True
8,orig,0,0.0813489925654563,0.4631006631309051,12,0,0,True
9,orig,0,0.08204851752021564,0.3198506406714016,12,0,0,True
10,orig,0,0.076939585792467,0.5500948219518076,12,0,0,True
11,orig,0,0.060663707461424646,0.43780930744995766,12,0,1,False
12,orig,0,0.08111601852849294,0.2789533937329641,12,0,0,True
13,orig,0,0.06527969429996816,0.3859887367829035,12,0,0,True
14,orig,0,0.09467713787085515,0.3581037444768101,12,0,0,True
15,orig,0,0.06302298485329944,0.3286826740518671,12,0,0,True
16,orig,0,0.0680004256677663,0.26516851159553756,12,0,0,True
17,orig,0,0.062122975976293786,0.343011106391779,12,0,1,False
18,orig,0,0.10116304586350669,0.4138951125345049,12,0,0,True
19,orig,0,0.13606520262621688,0.3198967394073682,12,0,0,True
0,orig,0,0.08555976203353163,0.4275322493434639,42,0,0,True
1,orig,0,0.0937227550130776,0.3398021565392463,42,0,1,False
2,orig,0,0.09336529033663797,0.3319172478225933,42,0,0,True
3,orig,0,0.09791051307296794,0.40682560264510503,42,0,0,True
4,orig,0,0.08649994586987117,0.3484167169347274,42,0,0,True
5,orig,0,0.09384196185286103,0.33911876691055787,42,0,0,True
6,orig,0,0.10213046343070503,0.29200582321460916,42,0,0,True
7,orig,0,0.11054553502268452,0.38415425510907736,42,0,0,True
8,orig,0,0.08274894810659186,0.3075276673020939,42,0,0,True
9,orig,0,0.08649994586987117,0.4762624434308829,42,0,0,True
10,orig,0,0.10334212840809147,0.4352183294146711,42,0,0,True
11,orig,0,0.06178586542530681,0.39818240500584573,42,0,0,True
12,orig,0,0.08649994586987117,0.48837626936652734,42,0,0,True
13,orig,0,0.08193186718413109,0.29661835680818543,42,0,0,True
14,orig,0,0.08885754583921016,0.4226402373499079,42,0,0,True
15,orig,0,0.07417317778015627,0.34009942759844264,42,0,0,True
16,orig,0,0.07256599337394463,0.32685391343762915,42,0,0,True
17,orig,0,0.07728638900815801,0.6134897277886424,42,0,1,False
18,orig,0,0.08485569127661874,0.3468783613873479,42,0,0,True
19,orig,0,0.09731029958451783,0.3652600393083214,42,0,0,True
0,orig,0,0.09004018681438036,0.41330363504091805,65,0,0,True
1,orig,0,0.10104223806911684,0.2876537821239881,65,0,0,True
2,orig,0,0.0925321140866536,0.4335418028084356,65,0,0,True
3,orig,0,0.09719033562916804,0.4563815129778084,65,0,0,True
4,orig,0,0.09419973833406019,0.4302955626796437,65,0,0,True
5,orig,0,0.11921489907438385,0.42743526880432575,65,0,0,True
6,orig,0,0.0908695652173913,0.36738147778827585,65,0,0,True
7,orig,0,0.0907510053255081,0.34450487723055745,65,0,0,True
8,orig,0,0.0713065755764304,0.3307465696146205,65,0,0,True
9,orig,0,0.09491599389046476,0.3683380971810883,65,0,0,True
10,orig,0,0.08193186718413109,0.30816830573520154,65,0,0,True
11,orig,0,0.06010351748177881,0.6692436354660427,65,0,0,True
12,orig,0,0.09683060109289618,0.3096173781056393,65,0,0,True
13,orig,0,0.0737134909596662,0.3273008283402571,65,0,0,True
14,orig,0,0.1096859796550199,0.4207027869386912,65,0,0,True
15,orig,0,0.10080070198530218,0.3184007167454512,65,0,0,True
16,orig,0,0.07142094587381231,0.4539845900696215,65,0,0,True
17,orig,0,0.0782122905027933,0.336561277727337,65,0,0,True
18,orig,0,0.10067997367843826,0.41321136629946675,65,0,0,True
19,orig,0,0.08614718614718615,0.6206975227620266,65,0,0,True
0,orig,0,0.08298262652422575,0.24720580165405392,87,0,0,True
1,orig,0,0.10031794759346563,0.3149152266777106,87,0,0,True
2,orig,0,0.12637485970819304,0.140281071825592,87,0,0,True
3,orig,0,0.11288534043025061,0.2902602558829956,87,0,0,True
4,orig,0,0.11412078152753108,0.28282631144549325,87,0,0,True
5,orig,0,0.12309758281110117,0.16081794749358452,87,0,0,True
6,orig,0,0.10080070198530218,0.4159092936328692,87,0,0,True
7,orig,0,0.11313220940550132,0.17301118001611304,87,0,0,True
8,orig,0,0.07153534059363656,0.5061461124216166,87,0,0,True
9,orig,0,0.103220842035836,0.37795623354951513,87,0,0,True
10,orig,0,0.10944063674552289,0.2648771691168773,87,0,0,True
11,orig,0,0.08169864194869585,0.13630196980435325,87,0,0,True
12,orig,0,0.09241319255469685,0.3925509161553799,87,0,0,True
13,orig,0,0.09479655285262355,0.110172026300428,87,0,0,True
14,orig,0,0.08216519301272375,0.4116095191770683,87,0,0,True
15,orig,0,0.07578518597920463,0.37829345795900254,87,0,0,True
16,orig,0,0.1030995823257859,0.16696304663080225,87,0,0,True
17,orig,0,0.11498722364181757,0.21877035818203927,87,0,0,True
18,orig,0,0.10846034901700906,0.3149349037801558,87,0,0,True
19,orig,0,0.12916291629162915,0.07244883742187612,87,0,0,True
0,orig,0,0.08567719601903938,0.31636756233561464,93,0,0,True
1,orig,0,0.09971509971509972,0.3355911200437701,93,0,0,True
2,orig,0,0.08720615317950385,0.4353729765313381,93,0,0,True
3,orig,0,0.08626474726702024,0.35502390939420203,93,0,0,True
