sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,orig,0,0.0,0.3699806509852239,7,0,0,True
1,orig,0,0.08108108108108109,0.4507810984044114,7,0,0,True
2,orig,0,0.0,0.3261670007062367,7,0,0,True
3,orig,0,0.05263157894736842,0.31508704878380384,7,0,0,True
4,orig,0,0.08108108108108109,0.4175564538822997,7,0,0,True
5,orig,0,0.17647058823529413,0.4330617634816614,7,0,0,True
6,orig,0,0.0,0.38067074722258176,7,0,0,True
7,orig,0,0.1111111111111111,0.30217571352342043,7,0,0,True
8,orig,0,0.02564102564102564,0.2624047577054989,7,0,0,True
9,orig,0,0.02564102564102564,0.2679816384268943,7,0,0,True
10,orig,0,0.02564102564102564,0.38183050156314885,7,0,0,True
11,orig,0,0.08108108108108109,0.3491517286083212,7,0,0,True
12,orig,0,0.14285714285714285,0.3647771402446931,7,0,0,True
13,orig,0,0.02564102564102564,0.3048135088080154,7,0,0,True
14,orig,0,0.0,0.3256566070038594,7,0,0,True
15,orig,0,0.0,0.3485466569618642,7,0,0,True
16,orig,0,0.0,0.3073492546614662,7,0,0,True
17,orig,0,0.1111111111111111,0.3395851572961595,7,0,0,True
18,orig,0,0.05263157894736842,0.34092980939588763,7,0,0,True
19,orig,0,0.0,0.31673214304726677,7,0,0,True
0,orig,0,0.0,0.2564864513528554,12,0,0,True
1,orig,0,0.17647058823529413,0.40022103868700587,12,0,1,False
2,orig,0,0.08108108108108109,0.3334140731696464,12,0,0,True
3,orig,0,0.08108108108108109,0.4121309394321541,12,0,0,True
4,orig,0,0.08108108108108109,0.34285645659664854,12,0,0,True
5,orig,0,0.1111111111111111,0.3512284295786782,12,0,0,True
6,orig,0,0.1111111111111111,0.3113486402041588,12,0,0,True
7,orig,0,0.14285714285714285,0.3548733417836511,12,0,0,True
8,orig,0,0.17647058823529413,0.350558362236209,12,0,0,True
9,orig,0,0.0,0.31469449280609135,12,0,0,True
10,orig,0,0.0,0.40533219239628343,12,0,0,True
11,orig,0,0.05263157894736842,0.41666951315178313,12,0,1,False
12,orig,0,0.1111111111111111,0.4342534337675226,12,0,0,True
13,orig,0,0.0,0.36377683394297605,12,0,0,True
14,orig,0,0.08108108108108109,0.3492033454619241,12,0,0,True
15,orig,0,0.21212121212121213,0.41673748223480334,12,0,0,True
16,orig,0,0.05263157894736842,0.2956747483910163,12,0,0,True
17,orig,0,0.02564102564102564,0.3384448962015019,12,0,1,False
18,orig,0,0.1111111111111111,0.3719447297009678,12,0,0,True
19,orig,0,0.05263157894736842,0.4033266188125759,12,0,0,True
0,orig,0,0.0,0.34281036285399435,42,0,0,True
1,orig,0,0.02564102564102564,0.32619605475652536,42,0,1,False
2,orig,0,0.0,0.26769017193302475,42,0,0,True
3,orig,0,0.0,0.308806067845871,42,0,0,True
4,orig,0,0.0,0.3313682493009743,42,0,0,True
5,orig,0,0.02564102564102564,0.34062921123267226,42,0,0,True
6,orig,0,0.0,0.29520405037749375,42,0,0,True
7,orig,0,0.02564102564102564,0.3157223386323379,42,0,0,True
8,orig,0,0.08108108108108109,0.2891996727352506,42,0,0,True
9,orig,0,0.0,0.25997656604055597,42,0,0,True
10,orig,0,0.05263157894736842,0.41727603928113016,42,0,0,True
11,orig,0,0.1111111111111111,0.38357440490211486,42,0,0,True
12,orig,0,0.1111111111111111,0.3429013702557428,42,0,0,True
13,orig,0,0.08108108108108109,0.36570784988205,42,0,0,True
14,orig,0,0.3333333333333333,0.41406069951423385,42,0,0,True
15,orig,0,0.0,0.21749367864840488,42,0,0,True
16,orig,0,0.0,0.29184921633168026,42,0,0,True
17,orig,0,0.0,0.3093460417084383,42,0,1,False
18,orig,0,0.05263157894736842,0.39432103212079334,42,0,0,True
19,orig,0,0.02564102564102564,0.32123504255450414,42,0,0,True
0,orig,0,0.02564102564102564,0.297940168608697,65,0,0,True
1,orig,0,0.25,0.4176180493491751,65,0,0,True
2,orig,0,0.14285714285714285,0.3861161930911603,65,0,0,True
3,orig,0,0.0,0.22814363878118596,65,0,0,True
4,orig,0,0.02564102564102564,0.30546515253724993,65,0,0,True
5,orig,0,0.1111111111111111,0.3560809507027076,65,0,0,True
6,orig,0,0.1111111111111111,0.3988081463326799,65,0,0,True
7,orig,0,0.0,0.37179030857363626,65,0,0,True
8,orig,0,0.05263157894736842,0.3311898995334932,65,0,0,True
9,orig,0,0.05263157894736842,0.37126850304345227,65,0,0,True
10,orig,0,0.08108108108108109,0.3858762672564444,65,0,0,True
11,orig,0,0.05263157894736842,0.27133204852630305,65,0,0,True
12,orig,0,0.08108108108108109,0.4068743160475349,65,0,0,True
13,orig,0,0.0,0.3504963209788239,65,0,0,True
14,orig,0,0.0,0.32054535749505764,65,0,0,True
15,orig,0,0.17647058823529413,0.5096387031641236,65,0,0,True
16,orig,0,0.0,0.32892107049158986,65,0,0,True
17,orig,0,0.05263157894736842,0.3717806928168971,65,0,0,True
18,orig,0,0.05263157894736842,0.3899185807279186,65,0,0,True
19,orig,0,0.17647058823529413,0.38049334782999267,65,0,0,True
0,orig,0,0.0,0.27161321943700384,87,0,0,True
1,orig,0,0.1111111111111111,0.4117838515359732,87,0,0,True
2,orig,0,0.0,0.25130012050997913,87,0,0,True
3,orig,0,0.05263157894736842,0.3179560889148604,87,0,0,True
4,orig,0,0.02564102564102564,0.3007030141593929,87,0,0,True
5,orig,0,0.1111111111111111,0.38447999535774713,87,0,0,True
6,orig,0,0.05263157894736842,0.34777981803799357,87,0,0,True
7,orig,0,0.02564102564102564,0.2877836951671911,87,0,0,True
8,orig,0,0.1111111111111111,0.30906453199219536,87,0,0,True
9,orig,0,0.17647058823529413,0.36232669100066894,87,0,0,True
10,orig,0,0.0,0.3862877458717277,87,0,0,True
11,orig,0,0.0,0.2887125713375979,87,0,0,True
12,orig,0,0.05263157894736842,0.4232503580520166,87,0,0,True
13,orig,0,0.02564102564102564,0.449713824375062,87,0,0,True
14,orig,0,0.08108108108108109,0.3164245458474652,87,0,0,True
