sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,recplot,0,0.1111111111111111,0.2595246770949161,7,0,0,True
1,recplot,0,0.0,0.29832177372308194,7,0,1,False
2,recplot,0,0.05263157894736842,0.2947581378750777,7,0,0,True
3,recplot,0,0.02564102564102564,0.26343746512237026,7,0,0,True
4,recplot,0,0.02564102564102564,0.26660415698840495,7,0,0,True
5,recplot,0,0.02564102564102564,0.3352371251205461,7,0,0,True
6,recplot,0,0.21212121212121213,0.3314413053094769,7,0,0,True
7,recplot,0,0.0,0.22225960081226503,7,0,0,True
8,recplot,0,0.05263157894736842,0.2858577788674891,7,0,0,True
9,recplot,0,0.08108108108108109,0.2495287140760306,7,0,0,True
10,recplot,0,0.0,0.3590386019478506,7,0,0,True
11,recplot,0,0.0,0.2752110717070516,7,0,0,True
12,recplot,0,0.08108108108108109,0.3163040927519403,7,0,0,True
13,recplot,0,0.08108108108108109,0.3422640083905041,7,0,0,True
14,recplot,0,0.02564102564102564,0.22762163803286276,7,0,0,True
15,recplot,0,0.05263157894736842,0.18520059252929533,7,0,0,True
16,recplot,0,0.14285714285714285,0.2887467054673284,7,0,0,True
17,recplot,0,0.0,0.30383624786992114,7,0,0,True
18,recplot,0,0.05263157894736842,0.29965828341749706,7,0,0,True
19,recplot,0,0.17647058823529413,0.32744254195470884,7,0,0,True
0,recplot,0,0.1111111111111111,0.3648985792601626,12,0,1,False
1,recplot,0,0.1111111111111111,0.2728527386237549,12,0,0,True
2,recplot,0,0.02564102564102564,0.2637101188066238,12,0,0,True
3,recplot,0,0.1111111111111111,0.27250275340814634,12,0,0,True
4,recplot,0,0.21212121212121213,0.32632398148539843,12,0,0,True
5,recplot,0,0.1111111111111111,0.3596786001157859,12,0,0,True
6,recplot,0,0.1111111111111111,0.3511050681824095,12,0,0,True
7,recplot,0,0.08108108108108109,0.24133323102133986,12,0,0,True
8,recplot,0,0.0,0.20463754558466168,12,0,0,True
9,recplot,0,0.05263157894736842,0.2584375563845031,12,0,0,True
10,recplot,0,0.0,0.2512041167275936,12,0,0,True
11,recplot,0,0.0,0.18355676355512973,12,0,0,True
12,recplot,0,0.02564102564102564,0.27274021638690144,12,0,0,True
13,recplot,0,0.1111111111111111,0.28750142534251516,12,0,0,True
14,recplot,0,0.21212121212121213,0.2560573185611859,12,0,0,True
15,recplot,0,0.02564102564102564,0.17738402858103716,12,0,0,True
16,recplot,0,0.02564102564102564,0.2486913009493024,12,0,0,True
17,recplot,0,0.0,0.18106971808217956,12,0,0,True
18,recplot,0,0.08108108108108109,0.3654566725989856,12,0,0,True
19,recplot,0,0.1111111111111111,0.25802515290254163,12,0,0,True
0,recplot,0,0.0,0.2839836260814135,42,0,1,False
1,recplot,0,0.0,0.28744091955823536,42,0,0,True
2,recplot,0,0.0,0.19966330898488815,42,0,0,True
3,recplot,0,0.05263157894736842,0.2333759878910147,42,0,0,True
4,recplot,0,0.02564102564102564,0.3577269671451774,42,0,0,True
5,recplot,0,0.0,0.34384985271584373,42,0,0,True
6,recplot,0,0.1111111111111111,0.4000374687307654,42,0,0,True
7,recplot,0,0.02564102564102564,0.2219226523117567,42,0,0,True
8,recplot,0,0.0,0.2568420853612689,42,0,0,True
9,recplot,0,0.02564102564102564,0.3303625113452264,42,0,0,True
10,recplot,0,0.08108108108108109,0.34366754834228996,42,0,0,True
11,recplot,0,0.05263157894736842,0.2579032142036465,42,0,0,True
12,recplot,0,0.05263157894736842,0.2721171409013825,42,0,0,True
13,recplot,0,0.08108108108108109,0.4385081928512754,42,0,0,True
14,recplot,0,0.0,0.31431643551649474,42,0,0,True
15,recplot,0,0.02564102564102564,0.25323405743870325,42,0,0,True
16,recplot,0,0.0,0.34279299717091877,42,0,0,True
17,recplot,0,0.1111111111111111,0.3261831788904535,42,0,0,True
18,recplot,0,0.0,0.2903503804355798,42,0,0,True
19,recplot,0,0.08108108108108109,0.2821616689557341,42,0,0,True
0,recplot,0,0.1111111111111111,0.3612029696851776,65,0,1,False
1,recplot,0,0.08108108108108109,0.3069911098996921,65,0,0,True
2,recplot,0,0.05263157894736842,0.30154815157702203,65,0,0,True
3,recplot,0,0.0,0.3246056644253233,65,0,0,True
4,recplot,0,0.17647058823529413,0.3612731471583216,65,0,0,True
5,recplot,0,0.0,0.2974860213594481,65,0,0,True
6,recplot,0,0.1111111111111111,0.34911475512949186,65,0,0,True
7,recplot,0,0.05263157894736842,0.29855522922662125,65,0,0,True
8,recplot,0,0.0,0.25020220936502025,65,0,0,True
9,recplot,0,0.0,0.23125581686439767,65,0,0,True
10,recplot,0,0.02564102564102564,0.30668496859908345,65,0,0,True
11,recplot,0,0.02564102564102564,0.27274585251292033,65,0,0,True
12,recplot,0,0.14285714285714285,0.3173678273107575,65,0,1,False
13,recplot,0,0.05263157894736842,0.2899751923892301,65,0,0,True
14,recplot,0,0.0,0.23339603559634278,65,0,0,True
15,recplot,0,0.02564102564102564,0.24146477586644677,65,0,0,True
16,recplot,0,0.0,0.2914285303116462,65,0,1,False
