dataset,seed,branch,sample,categoria,confianca,margem,acertou,complexidade_heatmap,ssim_vs_grupo_confiante,ensemble_salvaria
displasia,7,mobilenet_orig,34,acerto_confiante,0.9998335838317872,0.9996671566914304,True,0.5020379745992875,,False
displasia,7,mobilenet_orig,8,acerto_confiante,0.999730110168457,0.9994601974613033,True,0.5062770929301206,,False
displasia,7,mobilenet_orig,26,acerto_confiante,0.9995479583740234,0.9990959069109523,True,0.6202056212876661,,False
displasia,7,mobilenet_orig,44,acerto_confiante,0.999446451663971,0.9988928641541861,True,0.5641414431816192,,False
displasia,7,mobilenet_orig,25,acerto_confiante,0.998835027217865,0.9976701078703628,True,0.6188577570969739,,False
displasia,7,mobilenet_orig,24,acerto_confiante,0.9986982941627502,0.9973966073011981,True,0.5353454031464485,,False
displasia,7,mobilenet_orig,45,acerto_confiante,0.9986751675605774,0.9973503609653563,True,0.581388992787432,,False
displasia,7,mobilenet_orig,42,acerto_confiante,0.9982293248176576,0.9964586197165773,True,0.5550414265579217,,False
displasia,7,mobilenet_recplot,0,fronteira,0.5387073159217834,0.07741460204124456,False,0.6336997186177153,0.30345806798462716,True
displasia,7,mobilenet_recplot,16,fronteira,0.531333863735199,0.06266772747039795,False,0.5965686539658844,0.2747534956848395,True
displasia,7,mobilenet_recplot,25,fronteira,0.5421270132064819,0.08425399661064154,True,0.7276491437971546,0.3487523265386084,False
displasia,7,mobilenet_recplot,35,fronteira,0.52988600730896,0.059771955013275146,True,0.7344999510506646,0.24055149275809823,False
displasia,7,mobilenet_recplot,2,acerto_confiante,0.9948561191558838,0.9897122341208161,True,0.5605674437315817,,False
displasia,7,mobilenet_recplot,20,acerto_confiante,0.9943172335624696,0.988634458743036,True,0.5808484041149982,,False
displasia,7,mobilenet_recplot,37,acerto_confiante,0.9923755526542664,0.9847511146217586,True,0.5348677144458099,,False
displasia,7,mobilenet_recplot,8,acerto_confiante,0.9917880296707152,0.9835760332643986,True,0.6323840629727018,,False
displasia,7,mobilenet_recplot,11,acerto_confiante,0.991429328918457,0.982858636416495,True,0.5716755475891461,,False
displasia,7,mobilenet_recplot,7,acerto_confiante,0.9906612038612366,0.9813224328681827,True,0.697398034596908,,False
displasia,7,mobilenet_recplot,41,acerto_confiante,0.9905349016189576,0.9810698106884959,True,0.5298591413127256,,False
displasia,7,mobilenet_recplot,23,acerto_confiante,0.9890978932380676,0.9781957650557161,True,0.3585904832243945,,False
displasia,7,mobilenet_recplot,43,erro_confiante,0.9113133549690248,0.8226267099380494,False,0.775005153791714,0.32001122293103706,True
displasia,7,mobilenet_recplot,26,erro_confiante,0.6749541759490967,0.3499083817005158,False,0.7951231421009541,0.15740430743661682,True
displasia,7,mobilenet_recplot,10,erro_confiante,0.6304803490638733,0.2609606981277466,False,0.7112487947853745,0.22132744932827786,True
displasia,7,mobilenet_recplot,0,erro_confiante,0.5387073159217834,0.07741460204124456,False,0.6336997186177153,0.30345806798462716,True
displasia,7,mobilenet_recplot,16,erro_confiante,0.531333863735199,0.06266772747039795,False,0.5965686539658844,0.2747534956848395,True
displasia,7,effnet_orig,21,fronteira,0.5214422345161438,0.042884498834609985,False,0.8318508653508483,0.12634602081375973,True
displasia,7,effnet_orig,26,acerto_confiante,0.9998794198036194,0.9997588499754784,True,0.5052606402737703,,False
displasia,7,effnet_orig,24,acerto_confiante,0.99969744682312,0.999394839425804,True,0.42888330551043724,,False
displasia,7,effnet_orig,23,acerto_confiante,0.9995335340499878,0.9990670304978267,True,0.35611778668947336,,False
displasia,7,effnet_orig,32,acerto_confiante,0.9991946816444396,0.9983893346507102,True,0.4777634533825153,,False
displasia,7,effnet_orig,22,acerto_confiante,0.9989811778068542,0.9979623424587771,True,0.48584341864523417,,False
displasia,7,effnet_orig,36,acerto_confiante,0.998835027217865,0.9976701034465805,True,0.48832866153208565,,False
displasia,7,effnet_orig,39,acerto_confiante,0.9982889890670776,0.9965779830235988,True,0.5756339094771412,,False
displasia,7,effnet_orig,44,acerto_confiante,0.9974265098571776,0.9948530164547265,True,0.42520296001523805,,False
displasia,7,effnet_orig,7,erro_confiante,0.7871268391609192,0.574253648519516,False,0.7074814978548898,0.20727684788084838,True
displasia,7,effnet_orig,14,erro_confiante,0.6846829652786255,0.3693658709526062,False,0.5803302166982921,0.35598411187597284,True
displasia,7,effnet_orig,20,erro_confiante,0.6298729181289673,0.25974583625793457,False,0.7249201016703455,0.19221663841892672,True
displasia,7,effnet_orig,11,erro_confiante,0.623230516910553,0.2464610636234284,False,0.6937288019886616,0.21541845007198146,True
displasia,7,effnet_orig,21,erro_confiante,0.5214422345161438,0.042884498834609985,False,0.8318508653508483,0.12634602081375973,True
displasia,7,effnet_recplot,27,acerto_confiante,0.9994149208068848,0.9988297830568627,True,0.5772410656644528,,False
displasia,7,effnet_recplot,23,acerto_confiante,0.999350368976593,0.9987007401068695,True,0.652558745348893,,False
displasia,7,effnet_recplot,13,acerto_confiante,0.9992581009864808,0.9985161946970039,True,0.5907153688070523,,False
displasia,7,effnet_recplot,7,acerto_confiante,0.9992360472679138,0.9984720672946424,True,0.6119195630116422,,False
displasia,7,effnet_recplot,4,acerto_confiante,0.9987831115722656,0.9975662066135557,True,0.6291170516205811,,False
displasia,7,effnet_recplot,15,acerto_confiante,0.9986695051193236,0.9973390009254216,True,0.542061081764875,,False
displasia,7,effnet_recplot,24,acerto_confiante,0.9986177682876588,0.9972354909405114,True,0.4853912266755668,,False
displasia,7,effnet_recplot,11,acerto_confiante,0.9979581832885742,0.9959163670428098,True,0.6854835380520848,,False
displasia,7,effnet_recplot,34,erro_confiante,0.997239351272583,0.9944786743726582,False,0.6988912518463906,0.46883131461830146,True
displasia,7,effnet_recplot,26,erro_confiante,0.9581310749053956,0.9162621125578883,False,0.6613547419369604,0.6105587937848456,True
displasia,7,effnet_recplot,32,erro_confiante,0.9474825859069824,0.8949651569128038,False,0.6690863433511146,0.5003863252274008,True
displasia,7,effnet_recplot,36,erro_confiante,0.8605629801750183,0.721125990152359,False,0.685523546975758,0.5256093455686606,True
displasia,7,effnet_recplot,1,erro_confiante,0.7332031726837158,0.46640634536743164,False,0.848657151808457,0.2522035443339968,False
displasia,7,effnet_recplot,35,erro_confiante,0.6943942308425903,0.38878849148750305,False,0.6635381363989548,0.37258577812375565,True
displasia,7,effnet_recplot,21,erro_confiante,0.6000997424125671,0.20019951462745667,False,0.899302838529036,0.16463532316832852,True
displasia,12,mobilenet_orig,10,fronteira,0.5176107287406921,0.035221487283706665,False,0.7602151958866427,0.33676699771202145,True
displasia,12,mobilenet_orig,11,fronteira,0.5163565874099731,0.032713174819946345,False,0.6719558575393905,0.4311026996852089,True
displasia,12,mobilenet_orig,20,fronteira,0.5093442797660828,0.01868858933448797,False,0.6614317747598936,0.3748770163278782,True
displasia,12,mobilenet_orig,28,fronteira,0.5313339233398438,0.06266784667968756,False,0.7138509561159919,0.2334970326077824,True
displasia,12,mobilenet_orig,35,acerto_confiante,0.9990301728248596,0.9980603330768645,True,0.6056085296981524,,False
displasia,12,mobilenet_orig,25,acerto_confiante,0.9988645315170288,0.9977291112300009,True,0.6559574894811685,,False
displasia,12,mobilenet_orig,42,acerto_confiante,0.9988449811935424,0.9976899718167259,True,0.572828491943572,,False
displasia,12,mobilenet_orig,26,acerto_confiante,0.9986478686332704,0.9972957476275044,True,0.6040629262152689,,False
displasia,12,mobilenet_orig,34,acerto_confiante,0.9986154437065125,0.9972308850847186,True,0.4954987015320717,,False
displasia,12,mobilenet_orig,24,acerto_confiante,0.9985278248786926,0.9970556373009458,True,0.5123253602641148,,False
displasia,12,mobilenet_orig,8,acerto_confiante,0.9982507824897766,0.9965015650959687,True,0.6269778283448526,,False
displasia,12,mobilenet_orig,41,acerto_confiante,0.9977176189422609,0.9954352197237315,True,0.5379260487313817,,False
displasia,12,mobilenet_orig,17,erro_confiante,0.5826778411865234,0.16535571217536926,False,0.7231533531812957,0.3329855632956108,True
displasia,12,mobilenet_orig,28,erro_confiante,0.5313339233398438,0.06266784667968756,False,0.7138509561159919,0.2334970326077824,True
displasia,12,mobilenet_orig,10,erro_confiante,0.5176107287406921,0.035221487283706665,False,0.7602151958866427,0.33676699771202145,True
displasia,12,mobilenet_orig,11,erro_confiante,0.5163565874099731,0.032713174819946345,False,0.6719558575393905,0.4311026996852089,True
displasia,12,mobilenet_orig,20,erro_confiante,0.5093442797660828,0.01868858933448797,False,0.6614317747598936,0.3748770163278782,True
displasia,12,mobilenet_recplot,0,fronteira,0.5305740237236023,0.06114807724952698,False,0.5653538186182836,0.17554077107355082,True
displasia,12,mobilenet_recplot,26,fronteira,0.5293306112289429,0.058661252260208185,True,0.6332896746205954,0.3201521083612817,False
displasia,12,mobilenet_recplot,34,fronteira,0.519359290599823,0.038718581199645996,True,0.6367553708609808,0.34134407950128853,False
displasia,12,mobilenet_recplot,8,acerto_confiante,0.993506669998169,0.9870133264921607,True,0.7406791347566504,,False
displasia,12,mobilenet_recplot,21,acerto_confiante,0.9920241832733154,0.9840483190491797,True,0.6827834164342825,,False
displasia,12,mobilenet_recplot,20,acerto_confiante,0.9880235195159912,0.9760470846667886,True,0.5875998288246751,,False
displasia,12,mobilenet_recplot,7,acerto_confiante,0.9871250987052916,0.9742501918226479,True,0.73195766534632,,False
displasia,12,mobilenet_recplot,2,acerto_confiante,0.9870684742927552,0.9741369523108008,True,0.6283897442783564,,False
displasia,12,mobilenet_recplot,5,acerto_confiante,0.9869977235794068,0.9739954955875876,True,0.6315902841299935,,False
displasia,12,mobilenet_recplot,3,acerto_confiante,0.986135184764862,0.9722703890874982,True,0.6021844528319208,,False
displasia,12,mobilenet_recplot,15,acerto_confiante,0.980546772480011,0.9610935654491187,True,0.6710918998532202,,False
displasia,12,mobilenet_recplot,43,erro_confiante,0.81015545129776,0.6203109323978424,False,0.7941634669404009,0.4718014965806577,True
displasia,12,mobilenet_recplot,32,erro_confiante,0.5984305739402771,0.1968611776828766,False,0.6987714336358158,0.38162764056210224,True
displasia,12,mobilenet_recplot,0,erro_confiante,0.5305740237236023,0.06114807724952698,False,0.5653538186182836,0.17554077107355082,True
displasia,12,effnet_orig,7,fronteira,0.5178516507148743,0.03570330142974859,True,0.8515920211561404,0.12472427545407976,False
displasia,12,effnet_orig,17,fronteira,0.5341300368309021,0.0682600736618042,False,0.7256561019686101,0.20590614035626945,True
displasia,12,effnet_orig,23,acerto_confiante,0.999691128730774,0.9993822477990764,True,0.35865301113024134,,False
displasia,12,effnet_orig,24,acerto_confiante,0.999594748020172,0.9991894954000599,True,0.298643060564866,,False
displasia,12,effnet_orig,27,acerto_confiante,0.9995174407958984,0.9990348438732326,True,0.41892737657105444,,False
displasia,12,effnet_orig,32,acerto_confiante,0.9994854927062988,0.9989709911751561,True,0.4391026976261696,,False
displasia,12,effnet_orig,41,acerto_confiante,0.9992932677268982,0.998586553731002,True,0.3717570167163008,,False
displasia,12,effnet_orig,26,acerto_confiante,0.9991575479507446,0.9983151071355678,True,0.4298552030593148,,False
displasia,12,effnet_orig,25,acerto_confiante,0.99892395734787,0.9978478836128489,True,0.42642836219687613,,False
displasia,12,effnet_orig,44,acerto_confiante,0.9988197088241576,0.9976394030964001,True,0.42943875319319746,,False
displasia,12,effnet_orig,20,erro_confiante,0.9471882581710817,0.8943764977157117,False,0.36595691441712214,0.631978751829109,True
displasia,12,effnet_orig,21,erro_confiante,0.9387724995613098,0.8775449991226197,False,0.45373675901346266,0.5733228383257555,True
displasia,12,effnet_orig,14,erro_confiante,0.8858354091644287,0.7716707810759545,False,0.4959073183205352,0.5265945211937273,True
displasia,12,effnet_orig,11,erro_confiante,0.773303747177124,0.5466074943542482,False,0.5897163192747028,0.3847733530276348,True
displasia,12,effnet_orig,1,erro_confiante,0.6951772570610046,0.39035451412200933,False,0.5066934153342871,0.42691454808888707,True
displasia,12,effnet_orig,19,erro_confiante,0.6569257974624634,0.31385159492492676,False,0.39971854699997716,0.5168258581583433,True
displasia,12,effnet_orig,18,erro_confiante,0.6155757904052734,0.23115158081054693,False,0.5753114994379659,0.3403223548795131,True
displasia,12,effnet_orig,17,erro_confiante,0.5341300368309021,0.0682600736618042,False,0.7256561019686101,0.20590614035626945,True
displasia,12,effnet_recplot,0,fronteira,0.5283085703849792,0.05661717057228094,True,0.755542692357633,0.30260669026876397,False
