dataset,branch,categoria,n,complexidade_media,complexidade_std,ssim_medio_vs_confiante,ssim_std_vs_confiante,pct_acerto,pct_ensemble_salvaria
displasia,effnet_orig,acerto_confiante,64,0.5960998811892956,0.04323515313029092,,,1.0,0.0
displasia,effnet_orig,erro_confiante,40,0.622519248022748,0.042977134721205554,0.39681825777987606,0.08708796091407275,0.0,0.975
displasia,effnet_orig,fronteira,20,0.6211047940138872,0.04683072683210906,0.3892791698186219,0.08092427548187713,0.55,0.45
displasia,effnet_recplot,acerto_confiante,64,0.5876201146438876,0.028495227066739067,,,1.0,0.0
displasia,effnet_recplot,erro_confiante,53,0.5910578030056699,0.02614601225279166,0.37602872610512733,0.14045604946401893,0.0,0.9433962264150944
displasia,effnet_recplot,fronteira,12,0.5830538481889036,0.0296395548390935,0.372532658030555,0.16254285312803549,0.5,0.5
displasia,mobilenet_orig,acerto_confiante,64,0.6262309148311445,0.02913387444940587,,,1.0,0.0
displasia,mobilenet_orig,erro_confiante,8,0.6215398362540916,0.016347569465355972,0.3875774005076681,0.08110648213379655,0.0,1.0
displasia,mobilenet_orig,fronteira,12,0.6218730970855634,0.01221156559189327,0.4483355750210242,0.1136486629252789,0.4166666666666667,0.5833333333333334
displasia,mobilenet_recplot,acerto_confiante,64,0.6134277387830698,0.01722784409251714,,,1.0,0.0
displasia,mobilenet_recplot,erro_confiante,36,0.6093052372989975,0.02736904706694912,0.4677309939442808,0.09256659624929005,0.0,1.0
displasia,mobilenet_recplot,fronteira,16,0.5950830485851089,0.01913569687903212,0.4627445771140218,0.07225429499554639,0.5625,0.4375
