dataset,branch,categoria,n,complexidade_media,complexidade_std,ssim_medio_vs_confiante,ssim_std_vs_confiante,pct_acerto,pct_ensemble_salvaria
displasia,effnet_orig,acerto_confiante,64,0.23443547230047512,0.12181011458256205,,,1.0,0.0
displasia,effnet_orig,erro_confiante,40,0.2548315394655837,0.11793268081688049,0.47997415711142316,0.05586053133318542,0.0,0.975
displasia,effnet_orig,fronteira,20,0.2961918107205771,0.09527228880005473,0.4638018876799662,0.070784890851695,0.55,0.45
displasia,effnet_recplot,acerto_confiante,64,0.17008613978458603,0.1025068434488896,,,1.0,0.0
displasia,effnet_recplot,erro_confiante,53,0.26240977049021774,0.11402679975294831,0.48729745623102333,0.11115993096320187,0.0,0.9433962264150944
displasia,effnet_recplot,fronteira,12,0.3264599609039346,0.08895874746696296,0.4290165932292165,0.13514243637239595,0.5,0.5
displasia,mobilenet_orig,acerto_confiante,64,0.43215338245823104,0.05337086057656637,,,1.0,0.0
displasia,mobilenet_orig,erro_confiante,8,0.4065222241232684,0.0388306291412581,0.44864541780720457,0.09157094747441355,0.0,1.0
displasia,mobilenet_orig,fronteira,12,0.4000959013104057,0.03394293320009572,0.4094754952402966,0.09374993365009034,0.4166666666666667,0.5833333333333334
displasia,mobilenet_recplot,acerto_confiante,64,0.5101840672146829,0.06640548477067,,,1.0,0.0
displasia,mobilenet_recplot,erro_confiante,36,0.48338627894374103,0.0537375914724989,0.383357741329869,0.1172476600300312,0.0,1.0
displasia,mobilenet_recplot,fronteira,16,0.46630716581187975,0.04994334178335865,0.31887088215539516,0.08785347443750942,0.5625,0.4375
