seed,branch,amostra,metrica,valor
7,mobilenet_orig,0,faithfulness,-0.2168712168931961
7,mobilenet_orig,0,robustness,0.9958792328834534
7,mobilenet_orig,0,complexity,0.521364427762718
7,mobilenet_orig,1,faithfulness,-0.05385618656873703
7,mobilenet_orig,1,robustness,1.1490973234176636
7,mobilenet_orig,1,complexity,0.7529726866812356
7,mobilenet_orig,2,faithfulness,0.11535003781318665
7,mobilenet_orig,2,robustness,1.0128072500228882
7,mobilenet_orig,2,complexity,0.6332047540216512
7,mobilenet_orig,3,faithfulness,0.02419288456439972
7,mobilenet_orig,3,robustness,0.7527060508728027
7,mobilenet_orig,3,complexity,0.6210692193870576
7,mobilenet_orig,4,faithfulness,0.03681647405028343
7,mobilenet_orig,4,robustness,1.1241945028305054
7,mobilenet_orig,4,complexity,0.6493392062056988
7,mobilenet_orig,5,faithfulness,0.4463900625705719
7,mobilenet_orig,5,robustness,1.474826693534851
7,mobilenet_orig,5,complexity,0.5583100772076424
7,mobilenet_orig,6,faithfulness,0.2516613006591797
7,mobilenet_orig,6,robustness,0.7948653101921082
7,mobilenet_orig,6,complexity,0.5858784738180968
7,mobilenet_orig,7,faithfulness,0.18716534972190857
7,mobilenet_orig,7,robustness,1.026562213897705
7,mobilenet_orig,7,complexity,0.6007271859889889
7,mobilenet_orig,8,faithfulness,0.3728153705596924
7,mobilenet_orig,8,robustness,0.8589394092559814
7,mobilenet_orig,8,complexity,0.5062770211654362
7,mobilenet_orig,9,faithfulness,0.05819471925497055
7,mobilenet_orig,9,robustness,0.9053401947021484
7,mobilenet_orig,9,complexity,0.5424392213965448
7,mobilenet_orig,10,faithfulness,-0.1251414269208908
7,mobilenet_orig,10,robustness,0.8662161231040955
7,mobilenet_orig,10,complexity,0.6959506187483722
7,mobilenet_orig,11,faithfulness,0.44613930583000183
7,mobilenet_orig,11,robustness,1.010940670967102
7,mobilenet_orig,11,complexity,0.6549949100239897
7,mobilenet_orig,12,faithfulness,0.14359864592552185
7,mobilenet_orig,12,robustness,0.8078407645225525
7,mobilenet_orig,12,complexity,0.5559582903908735
7,mobilenet_orig,13,faithfulness,-0.5300031900405884
7,mobilenet_orig,13,robustness,0.9435253739356995
7,mobilenet_orig,13,complexity,0.5204616866113885
7,mobilenet_orig,14,faithfulness,-0.10632208734750748
7,mobilenet_orig,14,robustness,0.7307375073432922
7,mobilenet_orig,14,complexity,0.518918440802615
7,mobilenet_orig,15,faithfulness,0.13200052082538605
7,mobilenet_orig,15,robustness,1.143895149230957
7,mobilenet_orig,15,complexity,0.6613521387224124
7,mobilenet_orig,16,faithfulness,-0.03645778447389603
7,mobilenet_orig,16,robustness,0.8164157867431641
7,mobilenet_orig,16,complexity,0.5372164114288934
7,mobilenet_orig,17,faithfulness,0.17199726402759552
7,mobilenet_orig,17,robustness,1.1273292303085327
7,mobilenet_orig,17,complexity,0.6686096819560394
