seed,branch,amostra,metrica,valor
7,mobilenet_orig,0,faithfulness,-0.092357337474823
7,mobilenet_orig,0,robustness,0.9867186546325684
7,mobilenet_orig,0,complexity,0.47089781662592517
7,mobilenet_orig,1,faithfulness,0.17725618183612823
7,mobilenet_orig,1,robustness,1.5444762706756592
7,mobilenet_orig,1,complexity,0.37732215728844715
7,mobilenet_orig,2,faithfulness,0.3060145378112793
7,mobilenet_orig,2,robustness,3.04858660697937
7,mobilenet_orig,2,complexity,0.4369063390240876
7,mobilenet_orig,3,faithfulness,0.5208823084831238
7,mobilenet_orig,3,robustness,2.0639495849609375
7,mobilenet_orig,3,complexity,0.4941975513639771
7,mobilenet_orig,4,faithfulness,-0.007732793688774109
7,mobilenet_orig,4,robustness,2.1881840229034424
7,mobilenet_orig,4,complexity,0.3726459165336913
7,mobilenet_orig,5,faithfulness,0.10784699767827988
7,mobilenet_orig,5,robustness,3.551095962524414
7,mobilenet_orig,5,complexity,0.42409811148473725
7,mobilenet_orig,6,faithfulness,-0.16810159385204315
7,mobilenet_orig,6,robustness,2.1216835975646973
7,mobilenet_orig,6,complexity,0.4065664383074672
7,mobilenet_orig,7,faithfulness,0.3595476746559143
7,mobilenet_orig,7,robustness,1.3542362451553345
7,mobilenet_orig,7,complexity,0.4282766147354947
7,mobilenet_orig,8,faithfulness,0.12040452659130096
7,mobilenet_orig,8,robustness,1.7615966796875
7,mobilenet_orig,8,complexity,0.47349376698897644
7,mobilenet_orig,9,faithfulness,0.3482288122177124
7,mobilenet_orig,9,robustness,1.5468910932540894
7,mobilenet_orig,9,complexity,0.4140568025321423
7,mobilenet_orig,10,faithfulness,0.4569847285747528
7,mobilenet_orig,10,robustness,1.4181262254714966
7,mobilenet_orig,10,complexity,0.3839441223945247
7,mobilenet_orig,11,faithfulness,0.4214911460876465
7,mobilenet_orig,11,robustness,1.6878671646118164
7,mobilenet_orig,11,complexity,0.4506270973358847
7,mobilenet_orig,12,faithfulness,0.3879674971103668
7,mobilenet_orig,12,robustness,1.2647100687026978
7,mobilenet_orig,12,complexity,0.40566328230544096
7,mobilenet_orig,13,faithfulness,0.11937162280082703
7,mobilenet_orig,13,robustness,1.0623499155044556
7,mobilenet_orig,13,complexity,0.5366603173086917
7,mobilenet_orig,14,faithfulness,0.4968701899051666
7,mobilenet_orig,14,robustness,1.8505160808563232
7,mobilenet_orig,14,complexity,0.4297637715207986
7,mobilenet_orig,15,faithfulness,0.07978226244449615
7,mobilenet_orig,15,robustness,1.8900012969970703
7,mobilenet_orig,15,complexity,0.404736569624541
7,mobilenet_orig,16,faithfulness,-0.36146992444992065
7,mobilenet_orig,16,robustness,3.709937810897827
7,mobilenet_orig,16,complexity,0.447760175049981
7,mobilenet_orig,17,faithfulness,-0.152299702167511
7,mobilenet_orig,17,robustness,1.251947045326233
7,mobilenet_orig,17,complexity,0.45059282036036574
7,mobilenet_orig,18,faithfulness,0.362643301486969
7,mobilenet_orig,18,robustness,1.1633743047714233
7,mobilenet_orig,18,complexity,0.44124681577672875
7,mobilenet_orig,19,faithfulness,0.44176071882247925
7,mobilenet_orig,19,robustness,1.8553926944732666
7,mobilenet_orig,19,complexity,0.43227776989592354
7,mobilenet_orig,20,faithfulness,-0.07941465079784393
7,mobilenet_orig,20,robustness,1.9269957542419434
7,mobilenet_orig,20,complexity,0.39715121444523926
7,mobilenet_orig,21,faithfulness,0.17162343859672546
7,mobilenet_orig,21,robustness,1.6278936862945557
7,mobilenet_orig,21,complexity,0.4450106701013385
7,mobilenet_orig,22,faithfulness,-0.03946727514266968
7,mobilenet_orig,22,robustness,1.0337011814117432
7,mobilenet_orig,22,complexity,0.44942664790936515
7,mobilenet_orig,23,faithfulness,-0.17818155884742737
7,mobilenet_orig,23,robustness,1.1807297468185425
7,mobilenet_orig,23,complexity,0.3927785299306063
7,mobilenet_orig,24,faithfulness,-0.1556912362575531
7,mobilenet_orig,24,robustness,1.0183815956115723
7,mobilenet_orig,24,complexity,0.40355576779345476
7,mobilenet_orig,25,faithfulness,0.40093547105789185
7,mobilenet_orig,25,robustness,0.9450095295906067
7,mobilenet_orig,25,complexity,0.39260637481613975
7,mobilenet_orig,26,faithfulness,0.08036324381828308
7,mobilenet_orig,26,robustness,0.9923592209815979
7,mobilenet_orig,26,complexity,0.5303869154131264
7,mobilenet_orig,27,faithfulness,-0.34702709317207336
7,mobilenet_orig,27,robustness,0.8822499513626099
7,mobilenet_orig,27,complexity,0.3590317030661757
7,mobilenet_orig,28,faithfulness,0.0858701840043068
7,mobilenet_orig,28,robustness,1.631212830543518
7,mobilenet_orig,28,complexity,0.4658835227307174
7,mobilenet_orig,29,faithfulness,0.1310124397277832
7,mobilenet_orig,29,robustness,1.5906944274902344
7,mobilenet_orig,29,complexity,0.424463407619927
7,mobilenet_orig,30,faithfulness,0.09054404497146606
7,mobilenet_orig,30,robustness,1.2185307741165161
7,mobilenet_orig,30,complexity,0.47107800882471895
7,mobilenet_orig,31,faithfulness,0.3062015175819397
7,mobilenet_orig,31,robustness,0.9353907108306885
7,mobilenet_orig,31,complexity,0.4191962090620401
7,mobilenet_orig,32,faithfulness,0.32156240940093994
7,mobilenet_orig,32,robustness,0.9054965376853943
7,mobilenet_orig,32,complexity,0.4374736808274636
7,mobilenet_orig,33,faithfulness,0.3987162411212921
7,mobilenet_orig,33,robustness,0.9555227756500244
7,mobilenet_orig,33,complexity,0.4194026238394156
7,mobilenet_orig,34,faithfulness,0.06257911771535873
7,mobilenet_orig,34,robustness,0.9303320646286011
7,mobilenet_orig,34,complexity,0.35724954203322173
7,mobilenet_orig,35,faithfulness,0.3306828737258911
7,mobilenet_orig,35,robustness,0.986214816570282
7,mobilenet_orig,35,complexity,0.5541802880553419
7,mobilenet_orig,36,faithfulness,0.4168049097061157
7,mobilenet_orig,36,robustness,1.1210991144180298
7,mobilenet_orig,36,complexity,0.4882678631136567
7,mobilenet_orig,37,faithfulness,0.3858228325843811
7,mobilenet_orig,37,robustness,1.0968233346939087
7,mobilenet_orig,37,complexity,0.4514664862035492
7,mobilenet_orig,38,faithfulness,-0.0347527414560318
7,mobilenet_orig,38,robustness,1.2357697486877441
7,mobilenet_orig,38,complexity,0.3483765976670728
7,mobilenet_orig,39,faithfulness,0.08902262151241302
7,mobilenet_orig,39,robustness,0.8874931931495667
7,mobilenet_orig,39,complexity,0.43986004171281873
7,mobilenet_orig,40,faithfulness,0.5650094747543335
7,mobilenet_orig,40,robustness,0.9829466938972473
7,mobilenet_orig,40,complexity,0.44980488527254875
7,mobilenet_orig,41,faithfulness,-0.06472635269165039
7,mobilenet_orig,41,robustness,1.6880933046340942
7,mobilenet_orig,41,complexity,0.47329624679658977
7,mobilenet_orig,42,faithfulness,-0.20933735370635986
7,mobilenet_orig,42,robustness,1.8394460678100586
7,mobilenet_orig,42,complexity,0.46652208048575294
7,mobilenet_orig,43,faithfulness,0.49217888712882996
7,mobilenet_orig,43,robustness,0.9895485043525696
7,mobilenet_orig,43,complexity,0.48116111859420546
7,mobilenet_orig,44,faithfulness,0.29928159713745117
7,mobilenet_orig,44,robustness,1.1371636390686035
7,mobilenet_orig,44,complexity,0.4912019260839491
7,mobilenet_orig,45,faithfulness,-0.05196377635002136
7,mobilenet_orig,45,robustness,1.0959163904190063
7,mobilenet_orig,45,complexity,0.4086416574685705
7,mobilenet_recplot,0,faithfulness,0.16285236179828644
7,mobilenet_recplot,0,robustness,4.7638115882873535
7,mobilenet_recplot,0,complexity,0.5836678231059644
7,mobilenet_recplot,1,faithfulness,0.05481719225645065
7,mobilenet_recplot,1,robustness,4.173952102661133
7,mobilenet_recplot,1,complexity,0.455229126048501
