sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,orig,0,0.057980181319839764,0.4474977116631313,7,0,0,True
1,orig,0,0.2860071758072783,0.5939573500793199,7,0,0,True
2,orig,0,0.22494812644940804,0.438144858326435,7,0,0,True
3,orig,0,0.0668651004571064,0.5251043182209539,7,0,1,False
4,orig,0,0.13761051915665382,0.6233088519895068,7,0,0,True
5,orig,0,0.08944854537559704,0.5016833576928837,7,0,0,True
6,orig,0,0.19632852544999405,0.6490461063632228,7,0,0,True
7,orig,0,0.304901833311663,0.27761779360724964,7,0,0,True
8,orig,0,0.0,0.3495949113790986,7,0,0,True
9,orig,0,0.0022970138819534604,0.22208261972595233,7,0,0,True
10,orig,0,0.776283185840708,0.7233153995945518,7,0,0,True
11,orig,0,0.0640373197625106,0.4204672042300079,7,0,0,True
12,orig,0,0.13209249858996053,0.48255751577043143,7,0,0,True
13,orig,0,0.0,0.4501628132912051,7,0,0,True
14,orig,0,0.0,0.5596007442408685,7,0,0,True
15,orig,0,0.12662775033677592,0.38173461888612964,7,0,2,False
16,orig,0,0.36377225166462834,0.39221096783394505,7,0,0,True
17,orig,0,0.16265060240963855,0.5974586390297693,7,0,0,True
18,orig,1,0.0,0.1670947413655514,7,1,1,True
19,orig,1,0.0,0.2129450269372353,7,1,1,True
0,orig,0,0.2663722397476341,0.5345398699434915,12,0,0,True
1,orig,0,0.2823920265780731,0.5688947182566153,12,0,0,True
2,orig,0,0.0,0.3920467356438871,12,0,0,True
3,orig,0,0.0,0.2865642544558665,12,0,1,False
4,orig,0,0.15648766997003918,0.5420522517581754,12,0,0,True
5,orig,0,0.0451989168923141,0.3581566443669671,12,0,0,True
6,orig,0,0.18001175778953557,0.6421493969316375,12,0,0,True
7,orig,0,0.2882813502759594,0.3232749296553828,12,0,0,True
8,orig,0,0.03599793708096957,0.28339844405677445,12,0,0,True
9,orig,0,0.06856899488926746,0.37578414863790693,12,0,0,True
10,orig,0,0.6490305619454486,0.6580763448035204,12,0,0,True
11,orig,0,0.27944926058133607,0.3015150733478896,12,0,0,True
12,orig,0,0.16265060240963855,0.42939750180188896,12,0,0,True
13,orig,0,0.3103538320929625,0.4936588128280177,12,0,0,True
14,orig,0,0.2014844965880522,0.5414540698490623,12,0,0,True
15,orig,0,0.23231827111984282,0.3409621161258007,12,0,0,True
16,orig,0,0.536906584992343,0.5093861845136607,12,0,0,True
17,orig,0,0.2689341256796055,0.5832754369592997,12,0,0,True
18,orig,1,0.06183932346723044,0.29134576955657276,12,1,1,True
19,orig,1,0.0,0.33698611454254185,12,1,1,True
0,orig,0,0.6114322414900449,0.5713029558576611,42,0,0,True
1,orig,0,0.37272602927096155,0.346603240428511,42,0,0,True
2,orig,0,0.031025272241627287,0.44916469600761416,42,0,0,True
3,orig,0,0.0,0.2930964398771254,42,0,0,True
4,orig,0,0.0,0.563305337888603,42,0,0,True
5,orig,0,0.024910668708524757,0.3578839783604125,42,0,0,True
6,orig,0,0.076939585792467,0.5329900743186562,42,0,0,True
7,orig,0,0.05133040016760947,0.3386906685360031,42,0,0,True
8,orig,0,0.0,0.28984329824659383,42,0,0,True
9,orig,0,0.017746678835817868,0.32201877098731047,42,0,0,True
10,orig,0,0.270379746835443,0.4389785154284082,42,0,0,True
11,orig,0,0.3964101850563517,0.5175368725044802,42,0,0,True
12,orig,0,0.30422352176738143,0.4953942926500707,42,0,0,True
13,orig,0,0.0,0.3394914566932922,42,0,0,True
14,orig,0,0.0,0.4480631143766841,42,0,0,True
15,orig,0,0.3742297685882514,0.3806150365803416,42,0,0,True
16,orig,0,0.02712107256166206,0.2844132718770652,42,0,0,True
17,orig,0,0.17682926829268292,0.4672592102804624,42,0,0,True
18,orig,1,0.0,0.17489866074234117,42,1,1,True
19,orig,1,0.0,0.23042008466432964,42,1,1,True
0,orig,0,0.2566992236413724,0.40592354210679016,65,0,0,True
1,orig,0,0.013532619672793376,0.3357749983414727,65,0,0,True
2,orig,0,0.062122975976293786,0.3255917542448204,65,0,0,True
3,orig,0,0.0,0.426594654670885,65,0,0,True
4,orig,0,0.009556382657680313,0.5967884001313463,65,0,0,True
5,orig,0,0.12134078212290503,0.4314825281105459,65,0,0,True
6,orig,0,0.185307665052557,0.6362022286855374,65,0,0,True
7,orig,0,0.20105313547151749,0.3472652116903511,65,0,1,False
8,orig,0,0.0317672458106302,0.3136964774500414,65,0,0,True
9,orig,0,0.05155071248952221,0.267653948673573,65,0,0,True
10,orig,0,0.46425444995622994,0.695266544846941,65,0,0,True
11,orig,0,0.1447473480095814,0.47646407883596237,65,0,0,True
12,orig,0,0.14946741495819493,0.6305665047717759,65,0,0,True
13,orig,0,0.3193111607729723,0.48499113808029326,65,0,0,True
14,orig,0,0.121466085596156,0.5646600592868398,65,0,0,True
15,orig,0,0.2647763074984247,0.326317279487723,65,0,0,True
16,orig,0,0.34983187626092804,0.3437827228731,65,0,0,True
17,orig,0,0.06913816980931074,0.622911946082971,65,0,0,True
18,orig,1,0.0,0.31332261609042716,65,1,1,True
19,orig,1,0.008845999195818254,0.40172247261652844,65,1,1,True
0,orig,0,0.28108246106714324,0.5700161849769034,87,0,0,True
1,orig,0,0.2689341256796055,0.5111923776447107,87,0,0,True
2,orig,0,0.0,0.34445935569618724,87,0,0,True
3,orig,0,0.0,0.31398613888506827,87,0,1,False
4,orig,0,0.36007589104214666,0.5358733824912945,87,0,0,True
5,orig,0,0.017746678835817868,0.4595684211162299,87,0,0,True
6,orig,0,0.011387685175854076,0.5929229423577498,87,0,0,True
7,orig,0,0.2216676810712112,0.2678098384599374,87,0,0,True
8,orig,0,0.037178560363523704,0.2628428199310211,87,0,0,True
9,orig,0,0.02712107256166206,0.4354357406662663,87,0,0,True
10,orig,0,0.38065758701334435,0.7032748032060653,87,0,0,True
11,orig,0,0.6124678663239075,0.5645396502137179,87,0,0,True
12,orig,0,0.3960216998191682,0.61398041141299,87,0,0,True
13,orig,0,0.1347806422433288,0.5276442962637614,87,0,0,True
14,orig,0,0.0,0.642910631253239,87,0,0,True
15,orig,0,0.016921673928462864,0.1583562645514622,87,0,2,False
16,orig,0,0.19789925996657914,0.3882887640737779,87,0,0,True
17,orig,0,0.10273596308098011,0.633431321350142,87,0,0,True
18,orig,1,0.0,0.27180862045837734,87,1,1,True
