sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,orig,0,0.0925321140866536,0.3028882979077332,7,0,0,True
1,orig,0,0.1314543404735062,0.314017993864976,7,0,0,True
2,orig,0,0.09134406263592866,0.2682342514125101,7,0,0,True
3,orig,0,0.06392452030107071,0.2816871656133603,7,0,1,False
4,orig,0,0.13786848072562358,0.3447952616068803,7,0,0,True
5,orig,0,0.08193186718413109,0.3437335911676255,7,0,0,True
6,orig,0,0.11747021489811825,0.3220911734102279,7,0,0,True
7,orig,0,0.11672415711583398,0.39808622876808086,7,0,0,True
8,orig,0,0.07624664879356569,0.27050446878885903,7,0,0,True
9,orig,0,0.07636207636207636,0.1897041419770105,7,0,0,True
10,orig,0,0.12624845696330378,0.29693451128901593,7,0,0,True
11,orig,0,0.11042265988050454,0.3826019220776365,7,0,0,True
12,orig,0,0.1238521836506159,0.27934002057078405,7,0,0,True
13,orig,0,0.07164975974372664,0.3630195837378088,7,0,0,True
14,orig,0,0.08509028003027354,0.27417981664256963,7,0,0,True
15,orig,0,0.08532497026062506,0.21923094644881916,7,0,2,False
16,orig,0,0.11424447651826357,0.32987969953060337,7,0,0,True
17,orig,0,0.12234399463207336,0.2501727545511718,7,0,0,True
18,orig,1,0.07798066595059076,0.2568020288370558,7,1,1,True
19,orig,1,0.08181524199633503,0.3906032619771518,7,1,1,True
0,orig,0,0.09995615957913195,0.2599385855354727,12,0,0,True
1,orig,0,0.10116304586350669,0.28134838682945723,12,0,0,True
2,orig,0,0.0755546029364484,0.2675036433390417,12,0,0,True
3,orig,0,0.06925207756232687,0.3006638208667964,12,0,1,False
4,orig,0,0.10895027624309392,0.30469603929850797,12,0,0,True
5,orig,0,0.10919540229885058,0.2461097119347559,12,0,0,True
6,orig,0,0.121466085596156,0.37070806963289293,12,0,0,True
7,orig,0,0.09205658324265506,0.4194519465559187,12,0,0,True
8,orig,0,0.061448968799576946,0.25078999550206066,12,0,0,True
9,orig,0,0.06743246117847267,0.23047344342169035,12,0,0,True
10,orig,0,0.10601719197707736,0.2659587505803383,12,0,0,True
11,orig,0,0.09110676233963905,0.2406117566467961,12,0,0,True
12,orig,0,0.10273596308098011,0.27823255837471267,12,0,0,True
13,orig,0,0.07084933845497225,0.19773080581105473,12,0,0,True
14,orig,0,0.08368426735773675,0.25113119087749736,12,0,0,True
15,orig,0,0.07763341565553528,0.14735540104133063,12,0,0,True
16,orig,0,0.11202216066481994,0.2756632045922275,12,0,0,True
17,orig,0,0.11909009812667261,0.2785341492328077,12,0,0,True
18,orig,1,0.09419973833406019,0.3034552682190716,12,1,1,True
19,orig,1,0.0814655172413793,0.32095443384174704,12,1,1,True
0,orig,0,0.1322202166064982,0.26167796651584485,42,0,0,True
1,orig,0,0.10067997367843826,0.2926497577633335,42,0,0,True
2,orig,0,0.08897569444444445,0.23194657033909036,42,0,0,True
3,orig,0,0.08415253321810522,0.38836649232449416,42,0,0,True
4,orig,0,0.10699316126185748,0.350679303473084,42,0,0,True
5,orig,0,0.10601719197707736,0.3780394999006187,42,0,0,True
6,orig,0,0.10540808459081397,0.4097603501171628,42,0,0,True
7,orig,0,0.10699316126185748,0.31575469168330994,42,0,0,True
8,orig,0,0.04858426496708808,0.29728411238442287,42,0,0,True
9,orig,0,0.07844401461422738,0.21667614179949696,42,0,0,True
10,orig,0,0.11214539007092199,0.29889980098151187,42,0,0,True
11,orig,0,0.09815078236130868,0.30684592287372314,42,0,0,True
12,orig,0,0.0907510053255081,0.2722413902302134,42,0,0,True
13,orig,0,0.07084933845497225,0.2605533268635332,42,0,0,True
14,orig,0,0.06347356151319275,0.21084054223399662,42,0,0,True
15,orig,0,0.06167354279064847,0.18897545872602936,42,0,0,True
16,orig,0,0.12536443148688048,0.33538058453610603,42,0,0,True
17,orig,0,0.10152562836132148,0.2922658759001722,42,0,0,True
18,orig,1,0.07705516205194247,0.4175368831607183,42,1,1,True
19,orig,1,0.08791327913279133,0.29060686337967984,42,1,1,True
0,orig,0,0.09791051307296794,0.39225574279472936,65,0,0,True
1,orig,0,0.09923329682365827,0.4507284679779574,65,0,0,True
2,orig,0,0.09396119468061914,0.37338375120959216,65,0,0,True
3,orig,0,0.049132343717332216,0.2383255070918593,65,0,0,True
4,orig,0,0.1044349070100143,0.3674842206754261,65,0,0,True
5,orig,0,0.08555976203353163,0.345587057829945,65,0,0,True
6,orig,0,0.08873942286830115,0.38625143499468206,65,0,0,True
7,orig,0,0.10213046343070503,0.4129044917429292,65,0,1,False
8,orig,0,0.05133040016760947,0.29680109830744944,65,0,0,True
9,orig,0,0.07867583834909717,0.28684635341785897,65,0,0,True
10,orig,0,0.11809269162210338,0.4168913075530714,65,0,0,True
11,orig,0,0.09004018681438036,0.34144178317386426,65,0,0,True
12,orig,0,0.11336661120354964,0.21252678113760234,65,0,0,True
13,orig,0,0.09384196185286103,0.2666774531785202,65,0,0,True
14,orig,0,0.09467713787085515,0.39834019829537853,65,0,0,True
