sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,recplot,0,0.09146275149537793,0.44224747500885087,7,0,2,False
1,recplot,0,0.08169864194869585,0.39004841028534454,7,0,2,False
2,recplot,0,0.11946458449525935,0.3935881573500049,7,0,2,False
3,recplot,0,0.09731029958451783,0.46300655188763207,7,0,0,True
4,recplot,0,0.09336529033663797,0.497350991627961,7,0,0,True
5,recplot,0,0.0700501119522337,0.3929752993643331,7,0,0,True
6,recplot,0,0.06302298485329944,0.431271456951916,7,0,0,True
7,recplot,0,0.06482758620689655,0.45658660752927516,7,0,1,False
8,recplot,0,0.06970795139629077,0.35399893743398536,7,0,2,False
9,recplot,0,0.10662697100011026,0.3161324347966332,7,0,2,False
10,recplot,0,0.0882671871611364,0.35646479937818576,7,0,0,True
11,recplot,0,0.07855991402471789,0.543591553368982,7,0,1,False
12,recplot,0,0.09755030621172353,0.3627984040537895,7,0,2,False
13,recplot,0,0.10067997367843826,0.40406853677484184,7,0,2,False
14,recplot,0,0.13941871026339692,0.4094257467760452,7,0,0,True
15,recplot,0,0.08181524199633503,0.35379075287549844,7,0,1,False
16,recplot,0,0.1035847811744007,0.2668696186629267,7,0,2,False
17,recplot,0,0.07774914089347079,0.43671744596043993,7,0,0,True
18,recplot,1,0.08298262652422575,0.29622108022116594,7,1,1,True
19,recplot,1,0.08228189366979402,0.4383241962432868,7,1,1,True
0,recplot,0,0.08803122289679098,0.49271205908775934,12,0,2,False
1,recplot,0,0.06167354279064847,0.5074177146098953,12,0,1,False
2,recplot,0,0.08123249299719888,0.18199981818536923,12,0,2,False
3,recplot,0,0.07717076312117635,0.41971074375091827,12,0,1,False
4,recplot,0,0.13388317704214214,0.5155116779348456,12,0,0,True
5,recplot,0,0.06675170068027211,0.486728852646194,12,0,0,True
6,recplot,0,0.11709706144256456,0.5248704809397191,12,0,0,True
7,recplot,0,0.04770852907401608,0.3767535825900765,12,0,1,False
8,recplot,0,0.07682403433476395,0.4534924495538545,12,0,0,True
9,recplot,0,0.0814655172413793,0.37093221666116066,12,0,0,True
10,recplot,0,0.06550589234525958,0.4344024562897444,12,0,0,True
11,recplot,0,0.08239861949956859,0.4211243865599158,12,0,1,False
12,recplot,0,0.07543934847835405,0.2697372197124773,12,0,0,True
13,recplot,0,0.09134406263592866,0.4957954936909637,12,0,0,True
14,recplot,0,0.07268063274903805,0.4947189591050409,12,0,0,True
15,recplot,0,0.057868662380099085,0.3512727648266606,12,0,1,False
16,recplot,0,0.0653927813163482,0.31629387058084213,12,0,0,True
17,recplot,0,0.12033936146461263,0.4716605940178418,12,0,0,True
18,recplot,1,0.046834254719933244,0.26277266232942875,12,1,1,True
19,recplot,1,0.09004018681438036,0.47201561079531557,12,1,1,True
0,recplot,0,0.10748179209887442,0.22338268541442835,42,0,2,False
1,recplot,0,0.1096859796550199,0.06775653728493215,42,0,2,False
2,recplot,0,0.141362447401342,0.20916708581363558,42,0,2,False
