sample,tipo_representacao,target_class,iou_top_k,ssim,seed,y_true,y_pred,acerto_ensemble
0,recplot,0,0.08108108108108109,0.24665250275925707,7,0,2,False
1,recplot,0,0.0,0.3477653690012022,7,0,2,False
2,recplot,0,0.0,0.31936195181275223,7,0,2,False
3,recplot,0,0.0,0.26605185343261195,7,0,0,True
4,recplot,0,0.0,0.31064162525299094,7,0,0,True
5,recplot,0,0.0,0.29859185682325057,7,0,0,True
6,recplot,0,0.0,0.2828427216688816,7,0,0,True
7,recplot,0,0.08108108108108109,0.3399859845488105,7,0,1,False
8,recplot,0,0.05263157894736842,0.29701009869766604,7,0,2,False
9,recplot,0,0.02564102564102564,0.31764640530999094,7,0,2,False
10,recplot,0,0.02564102564102564,0.34904807251717285,7,0,0,True
11,recplot,0,0.05263157894736842,0.25415283327221083,7,0,1,False
12,recplot,0,0.1111111111111111,0.3313853633113573,7,0,2,False
13,recplot,0,0.08108108108108109,0.3128587198712252,7,0,2,False
14,recplot,0,0.0,0.1984364959248401,7,0,0,True
15,recplot,0,0.0,0.34132082529367036,7,0,1,False
16,recplot,0,0.05263157894736842,0.34390050424156776,7,0,2,False
17,recplot,0,0.1111111111111111,0.3256208992900553,7,0,0,True
18,recplot,1,0.05263157894736842,0.2980177403134131,7,1,1,True
19,recplot,1,0.02564102564102564,0.30838276475848564,7,1,1,True
0,recplot,0,0.05263157894736842,0.28218768438272,12,0,2,False
1,recplot,0,0.0,0.343887033302056,12,0,1,False
2,recplot,0,0.05263157894736842,0.2959327002391813,12,0,2,False
3,recplot,0,0.0,0.3576827347633634,12,0,1,False
4,recplot,0,0.17647058823529413,0.3599671220306982,12,0,0,True
5,recplot,0,0.05263157894736842,0.35933931358231336,12,0,0,True
6,recplot,0,0.08108108108108109,0.2864366969774354,12,0,0,True
7,recplot,0,0.17647058823529413,0.3393979020809429,12,0,1,False
8,recplot,0,0.05263157894736842,0.28500422319880486,12,0,0,True
9,recplot,0,0.1111111111111111,0.35022882577748676,12,0,0,True
10,recplot,0,0.0,0.3735507696561851,12,0,0,True
11,recplot,0,0.08108108108108109,0.26972474543723673,12,0,1,False
12,recplot,0,0.02564102564102564,0.3346779499843116,12,0,0,True
13,recplot,0,0.0,0.2546626627342749,12,0,0,True
14,recplot,0,0.02564102564102564,0.24928952002968371,12,0,0,True
15,recplot,0,0.0,0.2594037798932513,12,0,1,False
16,recplot,0,0.1111111111111111,0.360328169329314,12,0,0,True
17,recplot,0,0.17647058823529413,0.30972421794669464,12,0,0,True
18,recplot,1,0.08108108108108109,0.33760570416275354,12,1,1,True
19,recplot,1,0.02564102564102564,0.3042085625056591,12,1,1,True
0,recplot,0,0.0,0.274330755835285,42,0,2,False
1,recplot,0,0.02564102564102564,0.3389975047759757,42,0,2,False
2,recplot,0,0.0,0.18256457651817543,42,0,2,False
3,recplot,0,0.0,0.26132057379729445,42,0,0,True
4,recplot,0,0.1111111111111111,0.37153717476186787,42,0,0,True
5,recplot,0,0.02564102564102564,0.3390415190591955,42,0,0,True
6,recplot,0,0.08108108108108109,0.2301500456571982,42,0,0,True
7,recplot,0,0.1111111111111111,0.31895984421460666,42,0,1,False
8,recplot,0,0.0,0.24792370191416385,42,0,0,True
9,recplot,0,0.08108108108108109,0.35013453150620905,42,0,0,True
10,recplot,0,0.05263157894736842,0.330745859778997,42,0,0,True
11,recplot,0,0.0,0.31559272934088006,42,0,1,False
12,recplot,0,0.0,0.35568658769533334,42,0,0,True
13,recplot,0,0.0,0.2283962160923778,42,0,2,False
14,recplot,0,0.05263157894736842,0.38637657795705016,42,0,0,True
15,recplot,0,0.02564102564102564,0.41681486084566494,42,0,1,False
16,recplot,0,0.0,0.3645281807951695,42,0,0,True
17,recplot,0,0.02564102564102564,0.28703820177309364,42,0,0,True
18,recplot,1,0.0,0.23613798440303024,42,1,1,True
19,recplot,1,0.2903225806451613,0.33101146840176465,42,1,1,True
0,recplot,0,0.0,0.35700078382146233,65,0,2,False
1,recplot,0,0.0,0.35345494400469957,65,0,2,False
2,recplot,0,0.2903225806451613,0.46470156798668577,65,0,2,False
3,recplot,0,0.0,0.2783292699400968,65,0,0,True
4,recplot,0,0.0,0.3540768864529285,65,0,0,True
5,recplot,0,0.0,0.26375779051848935,65,0,0,True
6,recplot,0,0.05263157894736842,0.2781766074565077,65,0,0,True
7,recplot,0,0.02564102564102564,0.3474257941444871,65,0,1,False
8,recplot,0,0.02564102564102564,0.3185040925280451,65,0,0,True
9,recplot,0,0.02564102564102564,0.2986766937107467,65,0,2,False
10,recplot,0,0.02564102564102564,0.38773964450363596,65,0,0,True
11,recplot,0,0.0,0.36063287761103147,65,0,1,False
12,recplot,0,0.0,0.279994575390819,65,0,0,True
13,recplot,0,0.0,0.2763347966985897,65,0,0,True
14,recplot,0,0.08108108108108109,0.3270639137865835,65,0,0,True
15,recplot,0,0.02564102564102564,0.3424758258148642,65,0,1,False
16,recplot,0,0.0,0.2555782542507615,65,0,2,False
17,recplot,0,0.0,0.27244281059210984,65,0,0,True
18,recplot,1,0.02564102564102564,0.35223858540869524,65,1,1,True
19,recplot,1,0.3333333333333333,0.36450730307270224,65,1,1,True
0,recplot,0,0.02564102564102564,0.3648604659416169,87,0,2,False
1,recplot,0,0.02564102564102564,0.2892407480247055,87,0,2,False
2,recplot,0,0.0,0.35173625478433,87,0,2,False
3,recplot,0,0.0,0.3482057801670089,87,0,1,False
4,recplot,0,0.08108108108108109,0.30441393391753774,87,0,0,True
5,recplot,0,0.02564102564102564,0.3080604487393031,87,0,0,True
6,recplot,0,0.21212121212121213,0.45418025814211216,87,0,0,True
7,recplot,0,0.02564102564102564,0.269434997094312,87,0,1,False
8,recplot,0,0.0,0.25177041429568603,87,0,0,True
