dataset,branch,categoria,n,complexidade_media,complexidade_std,ssim_medio_vs_confiante,ssim_std_vs_confiante,pct_acerto,pct_ensemble_salvaria
pulmao,effnet_orig,acerto_confiante,64,0.4480519550345521,0.11298929376201369,,,1.0,0.0
pulmao,effnet_orig,erro_confiante,21,0.5020846030648238,0.10848268368569945,0.43549639415902053,0.12055147588839424,0.0,0.6666666666666666
pulmao,effnet_orig,fronteira,10,0.5851304294345944,0.11576774856234462,0.3691823733172136,0.10286361603017954,0.6,0.3
pulmao,effnet_recplot,acerto_confiante,64,0.5552752928603335,0.14543379133503592,,,1.0,0.0
pulmao,effnet_recplot,erro_confiante,64,0.5503894315509107,0.18091938069692137,0.45572336427007737,0.11688634998421077,0.0,0.609375
pulmao,effnet_recplot,fronteira,21,0.5468948702042309,0.14555981535937407,0.37420467307944305,0.11538386174524062,0.3333333333333333,0.6666666666666666
pulmao,mobilenet_orig,acerto_confiante,64,0.4878618172742639,0.06735016307712387,,,1.0,0.0
pulmao,mobilenet_orig,erro_confiante,43,0.6530244162329193,0.07899904004780799,0.3940696863950301,0.10438555471707804,0.0,0.7906976744186046
pulmao,mobilenet_orig,fronteira,17,0.6515452992707343,0.0777651357283975,0.396613889570371,0.09872604664683161,0.47058823529411764,0.5294117647058824
pulmao,mobilenet_recplot,acerto_confiante,64,0.5325946754629143,0.09679543282529493,,,1.0,0.0
pulmao,mobilenet_recplot,erro_confiante,64,0.5635850080215439,0.08737257039600164,0.5423638291071207,0.10214249905512347,0.0,0.6875
pulmao,mobilenet_recplot,fronteira,24,0.6642966572782932,0.08912537685764604,0.335918953626786,0.08057572606308307,0.5833333333333334,0.4166666666666667
