,acc,acc,f1_macro,f1_macro,recall_macro,recall_macro,specificity_macro,specificity_macro
cenario,,,,,,,,
,mean,std,mean,std,mean,std,mean,std
MobileNet_Original + EffNet_RecPlot,0.9918478260869565,0.011251068902320978,0.9918130042714761,0.011299127573474703,0.9914772727272727,0.011762481125153811,0.9914772727272727,0.011762481125153811
MobileNet_Original + MobileNet_RecPlot,0.9809782608695652,0.013931955314383767,0.9808891390961795,0.014025762206070618,0.9803503787878788,0.014527797357861916,0.9803503787878788,0.014527797357861916
MobileNet_Original + MobileNet_Original,0.9402173913043479,0.03437258326269977,0.9397302687382383,0.0347257901774551,0.9384469696969697,0.03508355218994687,0.9384469696969697,0.03508355218994687
EffNet_Original + EffNet_RecPlot,0.9184782608695652,0.04895615767215671,0.9163495276653171,0.05176946861541125,0.9147727272727273,0.05118143756634564,0.9147727272727273,0.05118143756634564
MobileNet_RecPlot + MobileNet_RecPlot,0.9021739130434783,0.020126523908099003,0.9020787342668124,0.02016319727965863,0.9043560606060607,0.021065705259547304,0.9043560606060607,0.021065705259547304
MobileNet_RecPlot + EffNet_Original,0.8967391304347826,0.04611565964260097,0.8937023826287483,0.04859471600930447,0.8920454545454546,0.0482118259899919,0.8920454545454546,0.0482118259899919
MobileNet_RecPlot + EffNet_RecPlot,0.875,0.022502137804641976,0.874741804132166,0.022661307643853063,0.8780776515151515,0.021922472662874188,0.8780776515151515,0.021922472662874188
MobileNet_Original + EffNet_Original,0.8641304347826086,0.04755712059352034,0.8593622414235191,0.050934095997013075,0.8584280303030303,0.049291829195345,0.8584280303030303,0.049291829195345
EffNet_RecPlot + EffNet_RecPlot,0.8342391304347826,0.0478225577466909,0.8340472537319032,0.0479105601663672,0.8359375,0.048465582913122564,0.8359375,0.048465582913122564
EffNet_Original + EffNet_Original,0.7581521739130435,0.033753206706962996,0.7377953166859078,0.03929254245866866,0.7476325757575758,0.03481597274083538,0.7476325757575758,0.03481597274083538
