"                                       "," acc               "," acc                 "," f1_macro          "," f1_macro            "," recall_macro      "," recall_macro        "," specificity_macro "," specificity_macro"
"cenario                                ","                   ","                     ","                   ","                     ","                   ","                     ","                   "," "
"                                       "," mean              "," std                 "," mean              "," std                 "," mean              "," std                 "," mean              "," std"
"MobileNet_Original + EffNet_Original   "," 0.9597457627118644"," 0.02996215174519269 "," 0.9540803188794464"," 0.03378218567974454 "," 0.9528655810983397"," 0.034652094867189925"," 0.9784884391397106"," 0.016594593123545217"
"EffNet_Original + EffNet_Original      "," 0.9385593220338984"," 0.03728538400589467 "," 0.9265319471848463"," 0.0413316884380757  "," 0.9277618135376756"," 0.04139556350755512 "," 0.9692339848930405"," 0.01948899940048435"
"EffNet_Original + EffNet_RecPlot       "," 0.9258474576271186"," 0.029962151745192688"," 0.916828048910445 "," 0.037690323456425735"," 0.9074074074074073"," 0.03990238923015437 "," 0.9567685809836822"," 0.01644107047926718"
"MobileNet_RecPlot + EffNet_Original    "," 0.923728813559322 "," 0.02025811202261679 "," 0.915710373889904 "," 0.024834113863021604"," 0.900183588761175 "," 0.03230120770078056 "," 0.9536131292163985"," 0.013033872926676056"
MobileNet_Original + MobileNet_Original," 0.9173728813559322"," 0.05238788504459761 "," 0.9022537793725072"," 0.059047673271636646"," 0.8961526181353767"," 0.059934431370253935"," 0.9551987833708124"," 0.028782886799665154"
"MobileNet_Original + MobileNet_RecPlot "," 0.8728813559322034"," 0.03735411288266708 "," 0.85460672088779  "," 0.04651186143383989 "," 0.8423531289910601"," 0.04978759230416931 "," 0.9267939514501529"," 0.02170642612799928"
"MobileNet_Original + EffNet_RecPlot    "," 0.864406779661017 "," 0.03138373219567977 "," 0.8386601049101474"," 0.04021718782060754 "," 0.8365261813537676"," 0.039525417316567425"," 0.9249012569912933"," 0.017981768478355233"
"EffNet_RecPlot + EffNet_RecPlot        "," 0.7733050847457628"," 0.032586607345507966"," 0.7435563232404723"," 0.03885337739787495 "," 0.7583812260536399"," 0.04296613982962352 "," 0.8836036152914721"," 0.015940911844687825"
"MobileNet_RecPlot + EffNet_RecPlot     "," 0.7563559322033898"," 0.03130189703110868 "," 0.7183436140714257"," 0.03407939824693964 "," 0.7247765006385696"," 0.03360235534335345 "," 0.8734640777258836"," 0.015302301540572286"
"MobileNet_RecPlot + MobileNet_RecPlot  "," 0.7309322033898304"," 0.035596102731208584"," 0.6946844604597667"," 0.04206217044275077 "," 0.6973579182630907"," 0.039893788650416546"," 0.8566676757193104"," 0.018571191736963803"
