,acc,acc,f1_macro,f1_macro,recall_macro,recall_macro,specificity_macro,specificity_macro
cenario,,,,,,,,
,mean,std,mean,std,mean,std,mean,std
MobileNet_Original + EffNet_Original,0.961864406779661,0.02828891391173835,0.9560998945892673,0.03620227195448765,0.9534243295019157,0.03897869778782303,0.9790023352361183,0.01483373700360749
EffNet_Original + EffNet_Original,0.9555084745762712,0.033822554587648886,0.9477023801099826,0.04201612814233076,0.9499920178799489,0.039575840174337955,0.9778498529666148,0.015920484575789165
MobileNet_Original + MobileNet_Original,0.9088983050847458,0.025524417242503646,0.8956739897985387,0.03169509921576511,0.8894875478927202,0.029515871245397885,0.9494003344288762,0.012557825695212336
MobileNet_RecPlot + EffNet_Original,0.4533898305084746,0.18000104877420714,0.3612440997576487,0.2500434079077898,0.4734195402298851,0.17715598800025803,0.7397509081473793,0.08942432186176325
EffNet_Original + EffNet_RecPlot,0.3877118644067796,0.055432872752751036,0.30633096309043106,0.07588871440586399,0.3626277139208174,0.04000108334586704,0.6819199388802399,0.022523471674848982
MobileNet_Original + MobileNet_RecPlot,0.4067796610169492,0.1364981906969046,0.3059220855882227,0.2006858923592664,0.4249281609195402,0.12780595998200114,0.7169073977973822,0.06732306677735214
MobileNet_Original + EffNet_RecPlot,0.3813559322033898,0.05435821869405244,0.29533903621925217,0.0758438524163081,0.3545258620689655,0.0404518804871681,0.6777532722135732,0.02288613958079581
EffNet_RecPlot + EffNet_RecPlot,0.3771186440677966,0.051846520836232105,0.29002336721591787,0.07450593116878174,0.3507742656449553,0.040322428223967546,0.6758504872282766,0.023126141058935033
MobileNet_RecPlot + EffNet_RecPlot,0.3559322033898305,0.04051622404523371,0.26366149798739963,0.08317795013199689,0.3498962324393359,0.03329559787653881,0.675845441965058,0.01645962383812328
MobileNet_RecPlot + MobileNet_RecPlot,0.3029661016949153,0.022986486133229456,0.17518987403154412,0.03600178711924772,0.3402777777777778,0.019641855032959656,0.6701911434007957,0.008245167589278058
