dataset,branch,categoria,n,complexidade_media,complexidade_std,ssim_medio_vs_confiante,ssim_std_vs_confiante,pct_acerto,pct_ensemble_salvaria
displasia,effnet_orig,acerto_confiante,120,0.438785164994904,0.06536559385757754,,,1.0,0.0
displasia,effnet_orig,erro_confiante,40,0.59903408659743,0.1211174434633327,0.3415566976694141,0.1503114797975078,0.0,0.975
displasia,effnet_orig,fronteira,20,0.7097133695025684,0.06678480428096366,0.21813283485981083,0.07242739451800864,0.55,0.45
displasia,effnet_recplot,acerto_confiante,120,0.5416828706051497,0.12333326505331994,,,1.0,0.0
displasia,effnet_recplot,erro_confiante,59,0.7113039949684236,0.09078412351974885,0.3687635424845005,0.11378546278365413,0.0,0.9491525423728814
displasia,effnet_recplot,fronteira,12,0.7361811115208964,0.09459738091929348,0.31498074670957177,0.1013014462691475,0.5,0.5
displasia,mobilenet_orig,acerto_confiante,120,0.5527738529960077,0.05810707694011758,,,1.0,0.0
displasia,mobilenet_orig,erro_confiante,8,0.7080109850323107,0.0342869495860654,0.32140103622790506,0.07481700977587917,0.0,1.0
displasia,mobilenet_orig,fronteira,12,0.7065793447384171,0.04383600849264885,0.31705341293098765,0.08192343308237988,0.4166666666666667,0.5833333333333334
displasia,mobilenet_recplot,acerto_confiante,120,0.5540857446788546,0.11293814249933959,,,1.0,0.0
displasia,mobilenet_recplot,erro_confiante,36,0.6931212721321187,0.08826640169775536,0.3221322126093281,0.10985060454943579,0.0,1.0
displasia,mobilenet_recplot,fronteira,16,0.6810250305092935,0.0791424740338324,0.2772583238783705,0.06801328477285809,0.5625,0.4375
