acertos,acc,f1_macro,recall_macro,specificity_macro,seed,cenario
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,7,MobileNet_Original + MobileNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,7,MobileNet_Original + EffNet_Original
44/46,0.9565217391304348,0.9561904761904761,0.9545454545454546,0.9545454545454546,7,MobileNet_Original + EffNet_RecPlot
44/46,0.9565217391304348,0.9561904761904761,0.9545454545454546,0.9545454545454546,7,MobileNet_RecPlot + EffNet_Original
40/46,0.8695652173913043,0.8693181818181819,0.8693181818181819,0.8693181818181819,7,MobileNet_RecPlot + EffNet_RecPlot
43/46,0.9347826086956522,0.9340028694404592,0.9318181818181819,0.9318181818181819,7,EffNet_Original + EffNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,7,MobileNet_Original + MobileNet_Original
41/46,0.8913043478260869,0.8908400569530137,0.8901515151515151,0.8901515151515151,7,MobileNet_RecPlot + MobileNet_RecPlot
38/46,0.8260869565217391,0.8174603174603174,0.8181818181818181,0.8181818181818181,7,EffNet_Original + EffNet_Original
37/46,0.8043478260869565,0.8035121025154248,0.803030303030303,0.803030303030303,7,EffNet_RecPlot + EffNet_RecPlot
44/46,0.9565217391304348,0.9561904761904761,0.9545454545454546,0.9545454545454546,12,MobileNet_Original + MobileNet_RecPlot
37/46,0.8043478260869565,0.7924812030075188,0.7954545454545454,0.7954545454545454,12,MobileNet_Original + EffNet_Original
43/46,0.9347826086956522,0.9340028694404592,0.9318181818181819,0.9318181818181819,12,MobileNet_Original + EffNet_RecPlot
37/46,0.8043478260869565,0.7924812030075188,0.7954545454545454,0.7954545454545454,12,MobileNet_RecPlot + EffNet_Original
39/46,0.8478260869565217,0.8460066953610712,0.8446969696969697,0.8446969696969697,12,MobileNet_RecPlot + EffNet_RecPlot
32/46,0.6956521739130435,0.6537634408602151,0.6818181818181819,0.6818181818181819,12,EffNet_Original + EffNet_RecPlot
44/46,0.9565217391304348,0.9561904761904761,0.9545454545454546,0.9545454545454546,12,MobileNet_Original + MobileNet_Original
39/46,0.8478260869565217,0.8471760797342193,0.8465909090909092,0.8465909090909092,12,MobileNet_RecPlot + MobileNet_RecPlot
33/46,0.717391304347826,0.6837652035959809,0.7045454545454546,0.7045454545454546,12,EffNet_Original + EffNet_Original
34/46,0.7391304347826086,0.7125,0.7272727272727273,0.7272727272727273,12,EffNet_RecPlot + EffNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,42,MobileNet_Original + MobileNet_RecPlot
42/46,0.9130434782608695,0.9115384615384616,0.9090909090909092,0.9090909090909092,42,MobileNet_Original + EffNet_Original
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,42,MobileNet_Original + EffNet_RecPlot
44/46,0.9565217391304348,0.9561904761904761,0.9545454545454546,0.9545454545454546,42,MobileNet_RecPlot + EffNet_Original
40/46,0.8695652173913043,0.8693181818181819,0.8731060606060606,0.8731060606060606,42,MobileNet_RecPlot + EffNet_RecPlot
43/46,0.9347826086956522,0.9340028694404592,0.9318181818181819,0.9318181818181819,42,EffNet_Original + EffNet_RecPlot
44/46,0.9565217391304348,0.9561904761904761,0.9545454545454546,0.9545454545454546,42,MobileNet_Original + MobileNet_Original
40/46,0.8695652173913043,0.8685714285714285,0.875,0.875,42,MobileNet_RecPlot + MobileNet_RecPlot
38/46,0.8260869565217391,0.8174603174603174,0.8181818181818181,0.8181818181818181,42,EffNet_Original + EffNet_Original
33/46,0.717391304347826,0.7140124342419896,0.7140151515151515,0.7140151515151515,42,EffNet_RecPlot + EffNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,65,MobileNet_Original + MobileNet_RecPlot
42/46,0.9130434782608695,0.9115384615384616,0.9090909090909092,0.9090909090909092,65,MobileNet_Original + EffNet_Original
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,65,MobileNet_Original + EffNet_RecPlot
43/46,0.9347826086956522,0.9340028694404592,0.9318181818181819,0.9318181818181819,65,MobileNet_RecPlot + EffNet_Original
42/46,0.9130434782608695,0.9128787878787878,0.9166666666666667,0.9166666666666667,65,MobileNet_RecPlot + EffNet_RecPlot
43/46,0.9347826086956522,0.9340028694404592,0.9318181818181819,0.9318181818181819,65,EffNet_Original + EffNet_RecPlot
43/46,0.9347826086956522,0.9340028694404592,0.9318181818181819,0.9318181818181819,65,MobileNet_Original + MobileNet_Original
42/46,0.9130434782608695,0.9130434782608695,0.9147727272727273,0.9147727272727273,65,MobileNet_RecPlot + MobileNet_RecPlot
39/46,0.8478260869565217,0.8417690417690418,0.8409090909090908,0.8409090909090908,65,EffNet_Original + EffNet_Original
38/46,0.8260869565217391,0.8260869565217391,0.8276515151515151,0.8276515151515151,65,EffNet_RecPlot + EffNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,87,MobileNet_Original + MobileNet_RecPlot
43/46,0.9347826086956522,0.9340028694404592,0.9318181818181819,0.9318181818181819,87,MobileNet_Original + EffNet_Original
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,87,MobileNet_Original + EffNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,87,MobileNet_RecPlot + EffNet_Original
39/46,0.8478260869565217,0.8477541371158392,0.8484848484848485,0.8484848484848485,87,MobileNet_RecPlot + EffNet_RecPlot
43/46,0.9347826086956522,0.9340028694404592,0.9318181818181819,0.9318181818181819,87,EffNet_Original + EffNet_RecPlot
43/46,0.9347826086956522,0.9340028694404592,0.9318181818181819,0.9318181818181819,87,MobileNet_Original + MobileNet_Original
42/46,0.9130434782608695,0.9128787878787878,0.9166666666666667,0.9166666666666667,87,MobileNet_RecPlot + MobileNet_RecPlot
42/46,0.9130434782608695,0.9115384615384616,0.9090909090909092,0.9090909090909092,87,EffNet_Original + EffNet_Original
36/46,0.782608695652174,0.780952380952381,0.7803030303030303,0.7803030303030303,87,EffNet_RecPlot + EffNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,93,MobileNet_Original + MobileNet_RecPlot
41/46,0.8913043478260869,0.8887276245766812,0.8863636363636364,0.8863636363636364,93,MobileNet_Original + EffNet_Original
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,93,MobileNet_Original + EffNet_RecPlot
42/46,0.9130434782608695,0.9115384615384616,0.9090909090909092,0.9090909090909092,93,MobileNet_RecPlot + EffNet_Original
41/46,0.8913043478260869,0.8912529550827423,0.893939393939394,0.893939393939394,93,MobileNet_RecPlot + EffNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,93,EffNet_Original + EffNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,93,MobileNet_Original + MobileNet_Original
42/46,0.9130434782608695,0.9130434782608695,0.9147727272727273,0.9147727272727273,93,MobileNet_RecPlot + MobileNet_RecPlot
38/46,0.8260869565217391,0.8174603174603174,0.8181818181818181,0.8181818181818181,93,EffNet_Original + EffNet_Original
41/46,0.8913043478260869,0.8912529550827423,0.893939393939394,0.893939393939394,93,EffNet_RecPlot + EffNet_RecPlot
46/46,1.0,1.0,1.0,1.0,107,MobileNet_Original + MobileNet_RecPlot
41/46,0.8913043478260869,0.8887276245766812,0.8863636363636364,0.8863636363636364,107,MobileNet_Original + EffNet_Original
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,107,MobileNet_Original + EffNet_RecPlot
42/46,0.9130434782608695,0.9115384615384616,0.9090909090909092,0.9090909090909092,107,MobileNet_RecPlot + EffNet_Original
41/46,0.8913043478260869,0.8908400569530137,0.8958333333333333,0.8958333333333333,107,MobileNet_RecPlot + EffNet_RecPlot
40/46,0.8695652173913043,0.8654970760233918,0.8636363636363636,0.8636363636363636,107,EffNet_Original + EffNet_RecPlot
46/46,1.0,1.0,1.0,1.0,107,MobileNet_Original + MobileNet_Original
42/46,0.9130434782608695,0.9128787878787878,0.9166666666666667,0.9166666666666667,107,MobileNet_RecPlot + MobileNet_RecPlot
38/46,0.8260869565217391,0.8174603174603174,0.8181818181818181,0.8181818181818181,107,EffNet_Original + EffNet_Original
36/46,0.782608695652174,0.782608695652174,0.7840909090909092,0.7840909090909092,107,EffNet_RecPlot + EffNet_RecPlot
46/46,1.0,1.0,1.0,1.0,121,MobileNet_Original + MobileNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,121,MobileNet_Original + EffNet_Original
45/46,0.9782608695652174,0.9782505910165484,0.9791666666666667,0.9791666666666667,121,MobileNet_Original + EffNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,121,MobileNet_RecPlot + EffNet_Original
43/46,0.9347826086956522,0.9347517730496454,0.9375,0.9375,121,MobileNet_RecPlot + EffNet_RecPlot
45/46,0.9782608695652174,0.9781680113906027,0.9772727272727273,0.9772727272727273,121,EffNet_Original + EffNet_RecPlot
45/46,0.9782608695652174,0.9782505910165484,0.9791666666666667,0.9791666666666667,121,MobileNet_Original + MobileNet_Original
39/46,0.8478260869565217,0.8477541371158392,0.8484848484848485,0.8484848484848485,121,MobileNet_RecPlot + MobileNet_RecPlot
40/46,0.8695652173913043,0.8654970760233918,0.8636363636363636,0.8636363636363636,121,EffNet_Original + EffNet_Original
42/46,0.9130434782608695,0.9128787878787878,0.9166666666666667,0.9166666666666667,121,EffNet_RecPlot + EffNet_RecPlot
