cenario,acc_mean,acc_std,f1_mean,f1_std,recall_mean,recall_std,spec_mean,spec_std
MobileNet_Original + MobileNet_RecPlot,0.9972826086956522,0.007685943273766825,0.9972813238770686,0.007689577289499115,0.9973958333333334,0.00736569563735985,0.9973958333333334,0.00736569563735985
MobileNet_RecPlot + EffNet_Original,0.9945652173913043,0.01006326195404946,0.9945420028476507,0.010106246936292682,0.9943181818181819,0.010520682951960804,0.9943181818181819,0.010520682951960804
MobileNet_Original + EffNet_RecPlot,0.9836956521739131,0.015371886547533643,0.9836181376723541,0.015470225046353153,0.9831912878787878,0.015988691681159954,0.9831912878787878,0.015988691681159954
MobileNet_Original + MobileNet_Original,0.9782608695652174,0.03853935914903995,0.9780765234663452,0.03896518489101609,0.9777462121212122,0.03953041523747137,0.9777462121212122,0.03953041523747137
MobileNet_Original + EffNet_Original,0.9619565217391304,0.043088313433265905,0.9614309336474123,0.043861712393953395,0.9604640151515151,0.044743691874725176,0.9604640151515151,0.044743691874725176
EffNet_Original + EffNet_RecPlot,0.9483695652173914,0.0306062163733339,0.9477414884989616,0.03135982625272621,0.9462594696969697,0.03188410346682161,0.9462594696969697,0.03188410346682161
MobileNet_RecPlot + MobileNet_RecPlot,0.9021739130434783,0.030743773095067314,0.9017397774905992,0.031168081737873787,0.9024621212121212,0.03164312283701043,0.9024621212121212,0.03164312283701043
MobileNet_RecPlot + EffNet_RecPlot,0.8885869565217391,0.02709616205996142,0.8881695088023545,0.0274855644324826,0.8894412878787878,0.028017457495953874,0.8894412878787878,0.028017457495953874
EffNet_Original + EffNet_Original,0.8913043478260869,0.06469772253416045,0.8875549558686747,0.0680717837607739,0.8868371212121212,0.06773505322983664,0.8868371212121212,0.06773505322983664
EffNet_RecPlot + EffNet_RecPlot,0.8396739130434783,0.059179624224097824,0.8381896296718165,0.06126195510208875,0.8390151515151515,0.06136230023664279,0.8390151515151515,0.06136230023664279
