acertos,acc,f1_macro,recall_macro,specificity_macro,seed,cenario
59/59,1.0,1.0,1.0,1.0,42,MobileNet_Original + EffNet_Original
59/59,1.0,1.0,1.0,1.0,42,MobileNet_Original + MobileNet_Original
59/59,1.0,1.0,1.0,1.0,87,EffNet_Original + EffNet_Original
58/59,0.9830508474576272,0.9764982373678026,0.9722222222222222,0.991869918699187,12,MobileNet_Original + EffNet_Original
58/59,0.9830508474576272,0.9764982373678026,0.9722222222222222,0.991869918699187,42,EffNet_Original + EffNet_Original
58/59,0.9830508474576272,0.9764982373678026,0.9722222222222222,0.991869918699187,107,MobileNet_Original + EffNet_Original
57/59,0.9661016949152542,0.969281045751634,0.9629629629629629,0.9777777777777779,12,EffNet_Original + EffNet_RecPlot
57/59,0.9661016949152542,0.9613390103441688,0.9537037037037037,0.9807588075880759,87,MobileNet_Original + EffNet_Original
57/59,0.9661016949152542,0.957365259996839,0.960727969348659,0.9847777201176267,12,EffNet_Original + EffNet_Original
57/59,0.9661016949152542,0.9537037037037037,0.9537037037037037,0.9847777201176267,65,MobileNet_Original + EffNet_Original
57/59,0.9661016949152542,0.9537037037037037,0.9537037037037037,0.9847777201176267,65,EffNet_Original + EffNet_Original
56/59,0.9491525423728814,0.945824706694272,0.9351851851851851,0.9696476964769648,93,MobileNet_Original + EffNet_Original
56/59,0.9491525423728814,0.9457492601560399,0.9422094508301404,0.9706855791962176,12,MobileNet_RecPlot + EffNet_Original
56/59,0.9491525423728814,0.9415032679738561,0.9351851851851851,0.9706855791962176,87,MobileNet_RecPlot + EffNet_Original
56/59,0.9491525423728814,0.9360184772478625,0.9329501915708813,0.9736666090065156,107,EffNet_Original + EffNet_Original
55/59,0.9322033898305084,0.9286065573770491,0.9259259259259259,0.9595744680851063,42,MobileNet_Original + MobileNet_RecPlot
55/59,0.9322033898305084,0.9199343185550082,0.9236909323116219,0.9665744104249554,7,MobileNet_Original + EffNet_Original
55/59,0.9322033898305084,0.9185858585858586,0.9166666666666666,0.9635933806146572,87,EffNet_Original + EffNet_RecPlot
54/59,0.9152542372881356,0.9113978494623657,0.9074074074074074,0.9484633569739952,107,MobileNet_Original + MobileNet_Original
54/59,0.9152542372881356,0.908975907078374,0.888888888888889,0.9474254742547426,42,MobileNet_RecPlot + EffNet_Original
54/59,0.9152542372881356,0.9023041474654377,0.8796296296296297,0.9474254742547426,65,MobileNet_RecPlot + EffNet_Original
54/59,0.9152542372881356,0.9023041474654377,0.8796296296296297,0.9474254742547426,107,MobileNet_RecPlot + EffNet_Original
54/59,0.9152542372881356,0.9019398907103825,0.898148148148148,0.9524822695035461,42,MobileNet_Original + EffNet_RecPlot
54/59,0.9152542372881356,0.9009126102329742,0.888888888888889,0.9514443867842933,42,EffNet_Original + EffNet_RecPlot
54/59,0.9152542372881356,0.9009126102329742,0.888888888888889,0.9514443867842933,65,EffNet_Original + EffNet_RecPlot
54/59,0.9152542372881356,0.8977915804002761,0.888888888888889,0.9544254165945915,7,MobileNet_Original + MobileNet_Original
54/59,0.9152542372881356,0.8977915804002761,0.888888888888889,0.9544254165945915,87,MobileNet_Original + MobileNet_Original
53/59,0.8983050847457628,0.8965522199217851,0.8796296296296297,0.9363143631436315,107,MobileNet_Original + MobileNet_RecPlot
53/59,0.8983050847457628,0.8926178621918986,0.9169859514687101,0.9534278959810875,7,EffNet_Original + EffNet_Original
53/59,0.8983050847457628,0.8899836484843403,0.8773946360153256,0.9403332756731823,93,MobileNet_RecPlot + EffNet_Original
53/59,0.8983050847457628,0.8893680639411189,0.8703703703703703,0.9392953929539295,121,MobileNet_Original + MobileNet_RecPlot
