cenario,acc_mean,acc_std,f1_mean,f1_std,recall_mean,recall_std,spec_mean,spec_std
MobileNet_Original + EffNet_Original,0.961864406779661,0.028288913911738357,0.9560998945892671,0.03620227195448763,0.9534243295019157,0.03897869778782304,0.9790023352361183,0.01483373700360749
EffNet_Original + EffNet_Original,0.9555084745762712,0.03382255458764889,0.9477023801099826,0.042016128142330654,0.9499920178799489,0.039575840174337865,0.9778498529666148,0.015920484575789175
EffNet_Original + EffNet_RecPlot,0.9322033898305084,0.025624710034523865,0.9249320187266278,0.033147205937861114,0.9143518518518519,0.029175588624487818,0.9596876261315804,0.01233674816407989
MobileNet_RecPlot + EffNet_Original,0.9300847457627118,0.019084603838298343,0.9212866140653443,0.0229766214313644,0.9108796296296295,0.026623964560675034,0.9586713659689788,0.011900072562017585
MobileNet_Original + MobileNet_Original,0.9088983050847458,0.02552441724250362,0.8956739897985387,0.03169509921576513,0.8894875478927202,0.029515871245397816,0.9494003344288762,0.012557825695212358
MobileNet_Original + MobileNet_RecPlot,0.864406779661017,0.03389830508474578,0.8408533266780377,0.038941165197966296,0.8333732439335888,0.03658461600114354,0.9246417863114802,0.01892394159652253
MobileNet_Original + EffNet_RecPlot,0.8601694915254238,0.03707843300511755,0.8396368731944643,0.04747174272171157,0.8330938697318008,0.04677860925905012,0.9208758576947471,0.01891893788313812
MobileNet_RecPlot + MobileNet_RecPlot,0.7478813559322034,0.036730923622949295,0.7173906955716625,0.03974954596929527,0.7158764367816092,0.034143832583541,0.8644885544600127,0.016751786067278205
MobileNet_RecPlot + EffNet_RecPlot,0.7478813559322034,0.03559610273120862,0.7130503951992277,0.045481963327752534,0.7199074074074074,0.044220245252613755,0.8690098310557575,0.016658725140533702
EffNet_RecPlot + EffNet_RecPlot,0.7372881355932204,0.06077433606785053,0.7035482365199105,0.06872760563573577,0.7132822477650064,0.06674503499478569,0.8638319494897078,0.03018304828205696
