dataset,branch,categoria,n,complexidade_media,complexidade_std,ssim_medio_vs_confiante,ssim_std_vs_confiante,pct_acerto,pct_ensemble_salvaria
pulmao,effnet_orig,acerto_confiante,120,0.46675663878610946,0.11974133160367326,,,1.0,0.0
pulmao,effnet_orig,erro_confiante,21,0.5020846030648238,0.10848268368569945,0.4139509099360777,0.13701815418241772,0.0,0.6666666666666666
pulmao,effnet_orig,fronteira,10,0.5851304294345944,0.11576774856234462,0.3298813319047915,0.053463276730895855,0.6,0.3
pulmao,effnet_recplot,acerto_confiante,120,0.5546254755714825,0.150839989069483,,,1.0,0.0
pulmao,effnet_recplot,erro_confiante,112,0.5310024698480421,0.17230331629821144,0.4380067067821196,0.12775842473152488,0.0,0.75
pulmao,effnet_recplot,fronteira,21,0.5468948702042309,0.14555981535937407,0.38697456169411143,0.11512778344586017,0.3333333333333333,0.6666666666666666
pulmao,mobilenet_orig,acerto_confiante,120,0.494116115631768,0.07133601638971855,,,1.0,0.0
pulmao,mobilenet_orig,erro_confiante,43,0.6530244162329193,0.07899904004780799,0.38664594829865345,0.10118078322840007,0.0,0.7906976744186046
pulmao,mobilenet_orig,fronteira,17,0.6515452992707343,0.0777651357283975,0.38737222068345617,0.10192476815082145,0.47058823529411764,0.5294117647058824
pulmao,mobilenet_recplot,acerto_confiante,120,0.5337079646170246,0.08901187181193045,,,1.0,0.0
pulmao,mobilenet_recplot,erro_confiante,113,0.6050643046670303,0.09749521643593148,0.47892831669755054,0.1282404845147356,0.0,0.7964601769911505
pulmao,mobilenet_recplot,fronteira,24,0.6642966572782932,0.08912537685764604,0.33826377268457075,0.07520841714336686,0.5833333333333334,0.4166666666666667
