acertos,acc,f1_macro,recall_macro,specificity_macro,seed,cenario
28/43,0.6511627906976745,0.6098003629764065,0.6590909090909091,0.6590909090909091,7,MobileNet_Original + MobileNet_RecPlot
30/43,0.6976744186046512,0.6721407624633431,0.7045454545454546,0.7045454545454546,7,MobileNet_Original + EffNet_Original
32/43,0.7441860465116279,0.729559748427673,0.75,0.75,7,MobileNet_Original + EffNet_RecPlot
33/43,0.7674418604651163,0.7567873303167421,0.7727272727272727,0.7727272727272727,7,MobileNet_RecPlot + EffNet_Original
29/43,0.6744186046511628,0.6699561403508771,0.6774891774891775,0.6774891774891775,7,MobileNet_RecPlot + EffNet_RecPlot
33/43,0.7674418604651163,0.7567873303167421,0.7727272727272727,0.7727272727272727,7,EffNet_Original + EffNet_RecPlot
29/43,0.6744186046511628,0.6416666666666666,0.6818181818181819,0.6818181818181819,7,MobileNet_Original + MobileNet_Original
25/43,0.5813953488372093,0.5622171945701357,0.5865800865800865,0.5865800865800865,7,MobileNet_RecPlot + MobileNet_RecPlot
34/43,0.7906976744186046,0.7831932773109244,0.7954545454545454,0.7954545454545454,7,EffNet_Original + EffNet_Original
30/43,0.6976744186046512,0.6916712630998345,0.7012987012987013,0.7012987012987013,7,EffNet_RecPlot + EffNet_RecPlot
32/43,0.7441860465116279,0.729559748427673,0.75,0.75,12,MobileNet_Original + MobileNet_RecPlot
36/43,0.8372093023255814,0.833976833976834,0.8409090909090908,0.8409090909090908,12,MobileNet_Original + EffNet_Original
32/43,0.7441860465116279,0.735014005602241,0.7489177489177489,0.7489177489177489,12,MobileNet_Original + EffNet_RecPlot
35/43,0.813953488372093,0.8088888888888889,0.8181818181818181,0.8181818181818181,12,MobileNet_RecPlot + EffNet_Original
30/43,0.6976744186046512,0.6950354609929078,0.7002164502164503,0.7002164502164503,12,MobileNet_RecPlot + EffNet_RecPlot
37/43,0.8604651162790697,0.8597826086956522,0.8625541125541125,0.8625541125541125,12,EffNet_Original + EffNet_RecPlot
30/43,0.6976744186046512,0.6721407624633431,0.7045454545454546,0.7045454545454546,12,MobileNet_Original + MobileNet_Original
28/43,0.6511627906976745,0.6442360728075014,0.6547619047619048,0.6547619047619048,12,MobileNet_RecPlot + MobileNet_RecPlot
41/43,0.9534883720930233,0.9534632034632035,0.9545454545454546,0.9545454545454546,12,EffNet_Original + EffNet_Original
